"","dictionary"
"1","exhibit"
"2","d"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","manufacturing"
"10","chemists"
"11","association"
"12","bailey"
"13","barton"
"14","chairman"
"15","air"
"16","quality"
"17","committee"
"18","april"
"19","it"
"20","is"
"21","a"
"22","pleasure"
"23","be"
"24","here"
"25","today"
"26","on"
"27","committees"
"28","activities"
"29","since"
"30","my"
"31","last"
"32","presentation"
"33","in"
"34","february"
"35","we"
"36","have"
"37","i"
"38","believe"
"39","made"
"40","some"
"41","substantial"
"42","contributions"
"43","interests"
"44","would"
"45","remiss"
"46","however"
"47","if"
"48","characterized"
"49","our"
"50","efforts"
"51","as"
"52","being"
"53","successful"
"54","meeting"
"55","objectives"
"56","you"
"57","may"
"58","recall"
"59","that"
"60","described"
"61","year"
"62","opportunity"
"63","for"
"64","amending"
"65","clean"
"66","act"
"67","positive"
"68","way"
"69","true"
"70","activity"
"71","congress"
"72","legislation"
"73","served"
"74","restrain"
"75","fervor"
"76","epa"
"77","enforcing"
"78","deadlines"
"79","alp"
"80","did"
"81","few"
"82","court"
"83","cases"
"84","but"
"85","actually"
"86","emerging"
"87","from"
"88","congressional"
"89","com­"
"90","mittees"
"91","offers"
"92","precious"
"93","little"
"94","prospect"
"95","making"
"96","more"
"97","rea­"
"98","sonable"
"99","appears"
"100","fact"
"101","environmentalist"
"102","friends"
"103","also"
"104","saw"
"105","and"
"106","seized"
"107","initiative"
"108","in­"
"109","fluencing"
"110","even"
"111","stringent"
"112","provisions"
"113","than"
"114","previously"
"115","existed"
"116","industry"
"117","example"
"118","petition"
"119","extension"
"120","previous"
"121","dead­"
"122","lines"
"123","must"
"124","meet"
"125","rigid"
"126","criteria"
"127","waive"
"128","its"
"129","rights"
"130","prepared"
"131","either"
"132","post"
"133","performance"
"134","bonds"
"135","or"
"136","pay"
"137","penalties"
"138","delay"
"139","most"
"140","critical"
"141","are"
"142","both"
"143","house"
"144","senate"
"145","defining"
"146","antidegradation"
"147","significant"
"148","deteri­"
"149","oration"
"150","arbitrary"
"151","numerical"
"152","percentage"
"153","terms"
"154","these"
"155","provi­"
"156","sions"
"157","coupled"
"158","with"
"159","another"
"160","planning"
"161","process"
"162","cannot"
"163","avoid"
"164","inevitable"
"165","confrontation"
"166","industrial"
"167","growth"
"168","development"
"169","undoubtedly"
"170","already"
"171","aware"
"172","other"
"173","extra­"
"174","polations"
"175","amendments"
"176","so"
"177","wont"
"178","belabor"
"179","issues"
"180","mca"
"181","submitted"
"182","several"
"183","commentaries"
"184","position"
"185","papers"
"186","many"
"187","trade"
"188","associations"
"189","concessions"
"190","been"
"191","obtained"
"192","only"
"193","can"
"194","make"
"195","not"
"196","yet"
"197","law"
"198","until"
"199","they"
"200","become"
"201","pledge"
"202","committ"
"203","s"
"204","continued"
"205","diligence"
"206","attempting"
"207","bring"
"208","about"
"209","constructive"
"210","leg­"
"211","islation"
"212","cma"
"213","l"
"214","very"
"215","active"
"216","environmental"
"217","protection"
"218","ag"
"219","ncy"
"220","r"
"221","gulatory"
"222","proceedings"
"223","two"
"224","areas"
"225","which"
"226","were"
"227","cited"
"228","still"
"229","hot"
"230","ones"
"231","one"
"232","notable"
"233","exception"
"234","has"
"235","elected"
"236","j"
"237","employ"
"238","section"
"239","iii"
"240","regulate"
"241","emissions"
"242","substances"
"243","admin"
"244","istrator"
"245","reasonably"
"246","constitute"
"247","hazard"
"248","course"
"249","agencys"
"250","choice"
