"","dictionary"
"1","r"
"2","agenda"
"3","meeting"
"4","of"
"5","cma"
"6","board"
"7","directors"
"8","monday"
"9","and"
"10","tuesday"
"11","september"
"12","the"
"13","rltz"
"14","carlton"
"15","ballroom"
"16","iv"
"17","room"
"18","laguna"
"19","niguel"
"20","california"
"21","tab"
"22","call"
"23","to"
"24","order"
"25","approval"
"26","minutes"
"27","june"
"28","chairman"
"29","sella"
"30","annual"
"31","report"
"32","environmental"
"33","manage­"
"34","ment"
"35","committee"
"36","frank"
"37","v"
"38","berryman"
"39","chevron"
"40","chemical"
"41","company"
"42","management"
"43","analysis"
"44","dlngell"
"45","survey"
"46","on"
"47","air"
"48","emissions"
"49","emergency"
"50","response"
"51","w"
"52","state"
"53","affairs"
"54","commit­"
"55","tee"
"56","garth"
"57","f"
"58","fort"
"59","monsanto"
"60","conalttee"
"61","special"
"62","status"
"63","programs"
"64","industry"
"65","associa­"
"66","pont"
"67","de"
"68","nemours"
"69","ad"
"70","hoc"
"71","council"
"72","work"
"73","group"
"74","government"
"75","relations"
"76","kenneth"
"77","e"
"78","davis"
"79","rohm"
"80","haas"
"81","tax"
"82","reform"
"83","legislation"
"84","william"
"85","m"
"86","bellamy"
"87","union"
"88","carbide"
"89","corporation"
"90","policy"
"91","superfund"
"92","reauthorization"
"93","a"
"94","overview"
"95","association"
"96","activities"
"97","stover"
"98","b"
"99","legislative"
"100","wells"
"101","denyes"
"102","eastman"
"103","kodak"
"104","task"
"105","c"
"106","communications"
"107","support"
"108","jon"
"109","holtzman"
"110","presidents"
"111","robert"
"112","roland"
"113","chemnet"
"114","geraldine"
"115","cox"
"116","program"
"117","issue"
"118","noon"
"119","viewing"
"120","new"
"121","film"
"122","adjournment"
"123","executive"
"124","clark"
"125","treasurers"
"126","gary"
"127","herman"
"128","nominating"
"129","corless"
"130","international"
"131","thomas"
"132","mooney"
"133","procter"
"134","gamble"
"135","vice"
"136","inter­"
"137","national"
"138","trade"
"139","issues"
"140","consi­"
"141","deration"
"142","recom­"
"143","mendations"
"144","allan"
"145","j"
"146","spliner"
"147","uscanada"
"148","free"
"149","agreement"
"150","multilateral"
"151","negotiations"
"152","tariff"
"153","cutting"
"154","protection"
"155","groundwater"
"156","quality"
"157","consideration"
"158","recommendations"
"159","energy"
"160","cosnlttee"
"161","s"
"162","furman"
"163","american"
"164","cyanamid"
"165","engineering"
"166","advisory"
"167","ray"
"168","olsen"
"169","exxon"
"170","post"
"171","institute"
"172","isact"
"173","business"
"174","three"
"175","hundred"
"176","fourth"
"177","manufacturers"
"178","inc"
"179","held"
"180","at"
"181","ritzcarlton"
"182","hotel"
"183","ball­"
"184","am"
"185","there"
"186","were"
"187","present"
"188","george"
"189","jr"
"190","harold"
"191","sorgenti"
"192","president"
"193","arthur"
"194","biggs"
"195","hans"
"196","h"
"197","kopper"
"198","d"
"199","cadleux"
"200","sidney"
"201","leahy"
"202","carlyle"
"203","g"
"204","caldwell"
"205","carl"
"206","lorentzen"
"207","paul"
"208","chellgren"
"209","malott"
"210","eugene"
"211","mcbrayer"
"212","harry"
"213","keith"
"214","mckennon"
"215","ralph"
"216","cunningham"
"217","l"
"218","mitchell"
"219","edmondson"
"220","john"
"221","polite"
"222","seymour"
"223","preston"
"224","iii"
"225","jack"
"226","fitzgerald"
"227","reilly"
"228","forney"
"229","whitson"
"230","sadler"
"231","charles"
"232","stewart"
"233","jay"
"234","u"
"235","johnstone"
"236","kennedy"
"237","konrad"
"238","weis"
"239","secretary"
"240","treasurer"
"241","general"
"242","counsel"
"243","van"
"244","vlack"
"245","david"
"246","zoll"
"247","by"
"248","invitation"
"249","stuart"
"250","t"
"251","allen"
"252","socma"
"253","i"
"254","du"
"255","cyanamld"
"256","edward"
"257","griffith"
"258","arco"
"259","hamilton"
"260","hurst"
"261","nalco"
"262","spilner"
"263","juliane"
"264","egmond"
"265","james"
"266","p"
"267","watkins"
"268","only"
"269","last"
"270","meetings"
"271","called"
"272","vere"
"273","approved"
"274","as"
"275","distributed"
"276","summary"
"277","committees"
"278","is"
"279","attached"
"280","exhibit"
"281","dingell"
"282","mr"
"283","reviewed"
"284","results"
"285","capabilities"
"286","practices"
"287","key"
"288","findings"
"289","included"
"290","significant"
"291","amount"
"292","safety"
"293","equipment"
"294","procedures"
"295","are"
"296","in"
"297","place"
"298","has"
"299","very"
"300","active"
"301","inspection"
"302","review"
"303","emission"
"304","measuring"
"305","apparatus"
"306","techniques"
"307","or"
"308","applied"
"309","near"
"310","process"
"311","unit"
"312","rather"
"313","than"
"314","fenceline"
"315","community"
"316","substantial"
"317","operator"
"318","input"
"319","human"
"320","factor"
"321","most"
"322","these"
"323","monitoring"
"324","systems"
"325","will"
"326","be"
"327","delivered"
"328","congressman"
"329","later"
"330","following"
"331","completion"
"332","final"
"333","contractors"
"334","data"
"335","was"
"336","considerable"
"337","discussion"
"338","concerning"
"339","ultimate"
"340","public"
"341","release"
"342","individual"
"343","companys"
"344","ability"
"345","able"
"346","effectively"
"347","respond"
"348","that"
"349","might"
"350","raised"
"351","comnlttees"
"352","supplemented"
"353","with"
"354","forts"
"355","associations"
"356","wood"
"357","presented"
"358","an"
"359","which"
"360","had"
"361","studied"
"362","various"
"363","ass"
"364","clations"
"365","highlighted"
"366","groups"
"367","represent"
"368","resource"
"369","done"
"370","good"
"371","job"
"372","past"
"373","years"
"374","nurturing"
"375","supporting"
"376","needs"
"377","co"
"378","continue"
"379","evaluate"
"380","find"
"381","appropriate"
"382","ways"
"383","utilize"
"384","chat"
"385","while"
"386","recognizing"
"387","some"
"388","states"
"389","always"
"390","do"
"391","more"
"392","chan"
"393","others"
"394","member"
"395","senior"
"396","executives"
"397","need"
"398","provide"
"399","strong"
"400","top"
"401","down"
"402","personal"
"403","corporate"
"404","for"
"405","additional"
"406","expenditure"
"407","resources"
"408","form"
"409","seed"
"410","money"
"411","would"
"412","desirable"
"413","relative"
"414","strengths"
"415","organizations"
"416","role"
"417","moving"
"418","forward"
"419","resolving"
"420","any"
"421","problems"
"422","shortfalls"
"423","involvement"
"424","view"
"425","expressed"
"426","feel"
"427","have"
"428","continuing"
"429","those"
"430","areas"
"431","where"
"432","their"
"433","action"
"434","either"
"435","individually"
"436","collec­"
"437","tively"
"438","warranted"
"439","indicated"
"440","followup"
"441","based"
"442","boards"
"443","request"
"444","bellamys"
"445","including"
"446","he"
"447","several"
"448","preparation"
"449","two"
"450","studies"
"451","effective"
"452","rates"
"453","price"
"454","waterhouse"
"455","economic"
"456","impact"
"457","administrations"
"458","series"
"459","papers"
"460","contacts"
"461","means"
"462","members"
"463","his"
"464","presentation"
"465","how"
"466","should"
"467","it"
"468","ranked"
"469","overall"
"470","list"
"471","priorities"
"472","further"
"473","deferred"
"474","afternoon"
"475","respect"
"476","reauthorlzation"
"477","pending"
"478","senate"
"479","floor"
"480","house"
"481","works"
"482","transportation"
"483","presenta­"
"484","tion"
"485","assignments"
"486","visit"
"487","congress"
"488","che"
"489","points"
"490","made"
"491","during"
"492","visits"
"493","strategies"
"494","hr"
"495","rolands"
"496","dr"
"497","chemnets"
"498","implementation"
"499","companies"
"500","signed"
"501","scheduled"
"502","begin"
"503","operations"
"504","october"
"505","reported"
"506","august"
"507","cha"
"508","conference"
"509","insurance"
"510","its"
"511","discussed"
"512","possible"
"513","avenues"
"514","other"
"515","formation"
"516","captive"
"517","requested"
"518","from"
"519","what"
"520","direction"
"521","effort"
"522","take"
"523","regarding"
"524","reauthorizatlon"
"525","clean"
"526","water"
"527","act"
"528","described"
"529","upcoming"
"530","open"
"531","comtlttee"
"532","caer"
"533","plans"
"534","adjourned"
"535","until"
"536","cleaning"
"537","up"
"538","filh"
"539","prior"
"540","beginning"
"541","formal"
"542","recent"
"543","entitled"
"544","who"
"545","est"
"546","cohmittee"
"547","items"
"548","actions"
"549","taken"
"550","preceding"
"551","day"
"552","execu­"
"553","tive"
"554","rccommendstlons"
"555","subjects"
"556","coming"
"557","before"
"558","each"
"559","item"
"560","but"
"561","took"
"562","four"
"563","standing"
"564","lag"
"565","appointments"
"566","recommended"
"567","revisions"
"568","comittee"
"569","charter"
"570","principles"
"571","operating"
"572","guidelines"
"573","proposed"
"574","position"
"575","mtn"
"576","revise"
"577","proposal"
"578","toxics"
"579","reiterated"
"580","importance"
"581","congressional"
"582","incidents"
"583","fund"
"584","crc"
"585","funding"
"586","referred"
"587","finance"
"588","impacted"
"589","plant"
"590","risk"
"591","perception"
"592","acceptance"
"593","priority"
"594","agreed"
"595","high"
"596","noc"
"597","divert"
"598","therefore"
"599","addressed"
"600","utilizing"
"601","principally"
"602","personnel"
"603","plan"
"604","prepared"
"605","current"
"606","financial"
"607","available"
"608","covered"
"609","first"
"610","months"
"611","fiscal"
"612","year"
"613","through"
"614","july"
"615","this"
"616","period"
"617","revenue"
"618","expenses"
"619","dues"
"620","been"
"621","received"
"622","all"
"623","nine"
"624","no"
"625","problem"
"626","anticipated"
"627","time"
"628","payment"
"629","also"
"630","budgeted"
"631","outside"
"632","earlier"
"633","normal"
"634","addition"
"635","previous"
"636","consulting"
"637","funds"
"638","being"
"639","committed"
"640","somewhat"
"641","transferred"
"642","internally"
"643","reporting"
"644","nomination"
"645","fill"
"646","vacancy"
"647","caused"
"648","resignation"
"649","richard"
"650","mahoney"
"651","motion"
"652","duly"
"653","seconded"
"654","voted"
"655","chemicals"
"656","plastics"
"657","fibers"
"658","elected"
"659","director"
"660","may"
"661","area"
"662","generally"
"663","well"
"664","although"
"665","attention"
"666","offers"
"667","many"
"668","advantages"
"669","desiring"
"670","establish"
"671","activi­"
"672","ties"
"673","spllner"
"674","bilateral"
"675","between"
"676","united"
"677","canada"
"678","mended"
"679","state­"
"680","set"
"681","forth"
"682","background"
"683","statement"
"684","acrosstheboard"
"685","reductions"
"686","next"
"687","round"
"688","concern"
"689","require"
"690","without"
"691","prejudice"
"692","original"
"693","light"
"694","concerns"
"695","bring"
"696","revised"
"697","urged"
"698","written"
"699","comments"
"700","soon"
"701","cmas"
"702","jl"
"703","endorsed"
"704","amendments"
"705","protec­"
"706","furmans"
"707","k"
"708","olsens"
"709","feasibility"
"710","sharing"
"711","accident"
"712","information"
"713","among"
"714","provid­"
"715","ing"
"716","longstanding"
"717","health"
"718","examine"
"719","locations"
"720","major"
"721","ha"
"722","believed"
"723","needed"
"724","focus"
"725","efforts"
"726","meet"
"727","heightened"
"728","potential"
"729","regulatory"
"730","activity"
"731","full"
"732","aggressive"
"733","ncric"
"734","vith"
"735","staff"
"736","referral"
"737","center"
"738","remainder"
"739","closer"
"740","liaison"
"741","engineers"
"742","aiche"
"743","necessary"
"744","ft"
"745","working"
"746","expanded"
"747","we"
"748","look"
"749","creative"
"750","communicate"
"751","sites"
"752","update"
"753","accomplishments"
"754","csi"
"755","end"
"756","submit"
"757","candidates"
"758","names"
"759","fernandez"
"760","heading"
"761","search"
"762","lead"
"763","such"
"764","capital"
"765","cost"
"766","recovery"
"767","competi­"
"768","tiveness"
"769","debate"
"770","accelerates"
"771","degree"
"772","participation"
"773","brought"
"774","assigned"
"775","emphasized"
"776","coordinate"
"777","department"
"778","posture"
"779","weeks"
"780","maintaining"
"781","solidarity"
"782","positions"
"783","stressed"
"784","conittaes"
"785","once"
"786","again"
"787","diversified"
"788","productive"
"789","successfully"
"790","managed"
"791","environental"
"792","matter"
"793","agencies"
"794","federal"
"795","courts"
"796","wc"
"797","closely"
"798","address"
"799","evolving"
"800","aate"
"801","description"
"802","imcs"
"803","qiapter"
"804","z"
"805","swaary"
"806","includes"
"807","o"
"808","mc"
"809","conjunction"
"810","actively"
"811","advocated"
"812","reauthorisation"
"813","amendment"
"814","spectrum"
