"","dictionary"
"1","agenda"
"2","meeting"
"3","of"
"4","the"
"5","mca"
"6","board"
"7","directors"
"8","tab"
"9","opening"
"10","remarks"
"11","and"
"12","introduction"
"13","guests"
"14","chairman"
"15","donley"
"16","approval"
"17","september"
"18","minutes"
"19","financial"
"20","report"
"21","treasurer"
"22","herrman"
"23","finance"
"24","committee"
"25","j"
"26","e"
"27","burrell"
"28","proposed"
"29","amendment"
"30","to"
"31","bylaws"
"32","secretary"
"33","barackman"
"34","association"
"35","activitiesr"
"36","a"
"37","roland"
"38","government"
"39","relations"
"40","w"
"41","m"
"42","stover"
"43","by"
"44","general"
"45","counsel"
"46","b"
"47","frost"
"48","semiannual"
"49","new"
"50","business"
"51","adjournment"
"52","next"
"53","p"
"54","tuesday"
"55","january"
"56","cma"
"57","two"
"58","hundred"
"59","seventieth"
"60","manufacturing"
"61","chemists"
"62","inc"
"63","held"
"64","at"
"65","pinnacle"
"66","invitation"
"67","edward"
"68","william"
"69","r"
"70","barrett"
"71","sr"
"72","h"
"73","barclay"
"74","morley"
"75","bricker"
"76","paul"
"77","f"
"78","oreffice"
"79","earl"
"80","george"
"81","polzer"
"82","blouke"
"83","carus"
"84","seymour"
"85","s"
"86","preston"
"87","iii"
"88","peter"
"89","fass"
"90","toy"
"91","reid"
"92","ferracone"
"93","robert"
"94","john"
"95","t"
"96","files"
"97","jack"
"98","st"
"99","clair"
"100","charles"
"101","fogarty"
"102","sachs"
"103","henske"
"104","g"
"105","simeral"
"106","jackson"
"107","smith"
"108","richard"
"109","jay"
"110","eugene"
"111","sullivan"
"112","emerson"
"113","kampen"
"114","raymond"
"115","c"
"116","tower"
"117","krumrei"
"118","alexander"
"119","trowbridge"
"120","duncan"
"121","maclennan"
"122","hugh"
"123","vanderbilt"
"124","james"
"125","mcgowan"
"126","kent"
"127","vanderhoef"
"128","l"
"129","mitchell"
"130","harriette"
"131","witmer"
"132","alfred"
"133","stepan"
"134","jr"
"135","bruce"
"136","edmund"
"137","gary"
"138","dieter"
"139","ambros"
"140","basf"
"141","wyandotte"
"142","corporation"
"143","beavers"
"144","rohm"
"145","haas"
"146","company"
"147","buchanan"
"148","virginia"
"149","chemicals"
"150","coey"
"151","hooker"
"152","chemical"
"153","thomas"
"154","dabovich"
"155","morton"
"156","division"
"157","norwich"
"158","products"
"159","morris"
"160","evans"
"161","pq"
"162","myron"
"163","foveaux"
"164","gill"
"165","ethyl"
"166","stephen"
"167","goldstein"
"168","olin"
"169","huisking"
"170","glyco"
"171","ingle"
"172","klecka"
"173","lester"
"174","krogh"
"175","minnesota"
"176","mining"
"177","malott"
"178","fmc"
"179","harry"
"180","d"
"181","mcneeley"
"182","eastman"
"183","kodak"
"184","max"
"185","minnig"
"186","borden"
"187","donald"
"188","pascal"
"189","national"
"190","starch"
"191","victor"
"192","peterson"
"193","pitts"
"194","arcochemical"
"195","atlantic"
"196","richfield"
"197","polite"
"198","essex"
"199","reilly"
"200","tar"
"201","slavick"
"202","tritsch"
"203","konrad"
"204","weis"
"205","mobay"
"206","with"
"207","special"
"208","welcome"
"209","past"
"210","other"
"211","opened"
"212","calling"
"213","for"
"214","selfintroduction"
"215","those"
"216","present"
"217","in"
"218","turn"
"219","as"
"220","distributed"
"221","including"
"222","statement"
"223","three"
"224","months"
"225","ending"
"226","august"
"227","were"
"228","approved"
"229","summarized"
"230","five"
"231","october"
"232","exhibit"
"233","was"
"234","reviewed"
"235","mr"
"236","noting"
"237","that"
"238","assets"
"239","totaled"
"240","approximately"
"241","million"
"242","which"
"243","related"
"244","proj­"
"245","ects"
"246","he"
"247","emphasized"
"248","budget"
"249","amendments"
"250","this"
"251","year"
"252","we"
"253","currently"
"254","have"
"255","budgeted"
"256","revenues"
"257","total"
"258","expenses"
"259","assuming"
"260","no"
"261","further"
"262","changes"
"263","are"
"264","looking"
"265","forward"
"266","deficit"
"267","end"
"268","fiscal"
"269","monthly"
"270","treasurers"
"271","period"
"272","june"
"273","will"
"274","be"
"275","mailed"
"276","activities"
"277","com­"
"278","mittee"
"279","addressing"
"280","impact"
"281","on"
"282","resulting"
"283","from"
"284","reorganization"
"285","date"
"286","would"
"287","create"
"288","expected"
"289","mention­"
"290","ed"
"291","result"
"292","additional"
"293","funding"
"294","executive"
"295","could"
"296","increase"
"297","if"
"298","contemplated"
"299","requests"
"300","standing"
"301","committees"
"302","alternatives"
"303","financing"
"304","presented"
"305","reserves"
"306","or"
"307","levying"
"308","assessment"
"309","former"
"310","approach"
"311","reduce"
"312","operating"
"313","while"
"314","drop"
"315","against"
"316","criteria"
"317","has"
"318","followed"
"319","reserve"
"320","about"
