"","word","correct_word","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8"
"1","staff","TRUE","0","0","0","0","0","0","0","0"
"2","reprt","TRUE","0","0","0","0","0","0","0","0"
"3","january","TRUE","0","0","0","0","0","0","0","0"
"4","by","TRUE","0","0","0","0","0","0","0","0"
"5","wllllam","TRUE","0","0","0","0","0","0","0","0"
"6","drlver","FALSE","reprt","january","by","wllllam","tax","reformhearngs","before","the"
"7","tax","TRUE","0","0","0","0","0","0","0","0"
"8","reformhearngs","FALSE","by","wllllam","drlver","tax","before","the","house","ways"
"9","before","TRUE","0","0","0","0","0","0","0","0"
"10","the","TRUE","0","0","0","0","0","0","0","0"
"11","house","TRUE","0","0","0","0","0","0","0","0"
"12","ways","TRUE","0","0","0","0","0","0","0","0"
"13","and","TRUE","0","0","0","0","0","0","0","0"
"14","mlttee","FALSE","the","house","ways","and","ar","llkely","begln","early"
"15","ar","FALSE","house","ways","and","mlttee","llkely","begln","early","the"
"16","llkely","TRUE","0","0","0","0","0","0","0","0"
"17","begln","FALSE","and","mlttee","ar","llkely","early","the","next","sesslon"
"18","early","TRUE","0","0","0","0","0","0","0","0"
"19","the","TRUE","0","0","0","0","0","0","0","0"
"20","next","TRUE","0","0","0","0","0","0","0","0"
"21","sesslon","FALSE","begln","early","the","next","as","long","so","as"
"22","as","TRUE","0","0","0","0","0","0","0","0"
"23","long","TRUE","0","0","0","0","0","0","0","0"
"24","so","TRUE","0","0","0","0","0","0","0","0"
"25","as","TRUE","0","0","0","0","0","0","0","0"
"26","last","TRUE","0","0","0","0","0","0","0","0"
"27","june","TRUE","0","0","0","0","0","0","0","0"
"28","that","TRUE","0","0","0","0","0","0","0","0"
"29","commlttees","FALSE","as","last","june","that","chalman","orlty","means","com"
"30","chalman","FALSE","last","june","that","commlttees","orlty","means","com","of"
"31","orlty","FALSE","june","that","commlttees","chalman","means","com","of","congres"
"32","means","TRUE","0","0","0","0","0","0","0","0"
"33","com","TRUE","0","0","0","0","0","0","0","0"
"34","of","TRUE","0","0","0","0","0","0","0","0"
"35","congres","FALSE","orlty","means","com","of","wllbur","one","pry","sponsor"
"36","wllbur","TRUE","0","0","0","0","0","0","0","0"
"37","one","TRUE","0","0","0","0","0","0","0","0"
"38","pry","FALSE","of","congres","wllbur","one","sponsor","oopholejolugglng","bllls","has"
"39","sponsor","TRUE","0","0","0","0","0","0","0","0"
"40","oopholejolugglng","FALSE","wllbur","one","pry","sponsor","bllls","has","avolded","advocatlng"
"41","bllls","TRUE","0","0","0","0","0","0","0","0"
"42","has","TRUE","0","0","0","0","0","0","0","0"
"43","avolded","TRUE","0","0","0","0","0","0","0","0"
"44","advocatlng","TRUE","0","0","0","0","0","0","0","0"
"45","sweeplng","FALSE","bllls","has","avolded","advocatlng","efoms","proposal","arly","order"
"46","efoms","FALSE","has","avolded","advocatlng","sweeplng","proposal","arly","order","to"
"47","proposal","TRUE","0","0","0","0","0","0","0","0"
"48","arly","FALSE","advocatlng","sweeplng","efoms","proposal","order","to","take","the"
"49","order","TRUE","0","0","0","0","0","0","0","0"
"50","to","TRUE","0","0","0","0","0","0","0","0"
"51","take","TRUE","0","0","0","0","0","0","0","0"
"52","the","TRUE","0","0","0","0","0","0","0","0"
"53","initiative","TRUE","0","0","0","0","0","0","0","0"
"54","comments","TRUE","0","0","0","0","0","0","0","0"
"55","varlous","FALSE","take","the","initiative","comments","teasury","department","offlclals","ndcate"
"56","teasury","FALSE","the","initiative","comments","varlous","department","offlclals","ndcate","the"
"57","department","TRUE","0","0","0","0","0","0","0","0"
"58","offlclals","TRUE","0","0","0","0","0","0","0","0"
"59","ndcate","FALSE","varlous","teasury","department","offlclals","the","admmsmr","tlon","emphaslze"
"60","the","TRUE","0","0","0","0","0","0","0","0"
"61","admmsmr","FALSE","department","offlclals","ndcate","the","tlon","emphaslze","tax","simplification"
"62","tlon","FALSE","offlclals","ndcate","the","admmsmr","emphaslze","tax","simplification","rather"
"63","emphaslze","FALSE","ndcate","the","admmsmr","tlon","tax","simplification","rather","than"
"64","tax","TRUE","0","0","0","0","0","0","0","0"
"65","simplification","TRUE","0","0","0","0","0","0","0","0"
"66","rather","TRUE","0","0","0","0","0","0","0","0"
"67","than","TRUE","0","0","0","0","0","0","0","0"
"68","substantlve","FALSE","tax","simplification","rather","than","reform","that","he","specter"
"69","reform","TRUE","0","0","0","0","0","0","0","0"
"70","that","TRUE","0","0","0","0","0","0","0","0"
"71","he","TRUE","0","0","0","0","0","0","0","0"
"72","specter","TRUE","0","0","0","0","0","0","0","0"
"73","congress","TRUE","0","0","0","0","0","0","0","0"
"74","to","TRUE","0","0","0","0","0","0","0","0"
"75","take","TRUE","0","0","0","0","0","0","0","0"
"76","under","TRUE","0","0","0","0","0","0","0","0"
"77","conslderatlon","FALSE","congress","to","take","under","the","asset","the","mm"
"78","the","TRUE","0","0","0","0","0","0","0","0"
"79","asset","TRUE","0","0","0","0","0","0","0","0"
"80","the","TRUE","0","0","0","0","0","0","0","0"
"81","mm","FALSE","conslderatlon","the","asset","the","tax","on","tax","preference"
"82","tax","TRUE","0","0","0","0","0","0","0","0"
"83","on","TRUE","0","0","0","0","0","0","0","0"
"84","tax","TRUE","0","0","0","0","0","0","0","0"
"85","preference","TRUE","0","0","0","0","0","0","0","0"
"86","ncome","FALSE","tax","on","tax","preference","that","capl","galns","come"
"87","that","TRUE","0","0","0","0","0","0","0","0"
"88","capl","FALSE","tax","preference","ncome","that","galns","come","up","for"
"89","galns","FALSE","preference","ncome","that","capl","come","up","for","congresslonal"
"90","come","TRUE","0","0","0","0","0","0","0","0"
"91","up","TRUE","0","0","0","0","0","0","0","0"
"92","for","TRUE","0","0","0","0","0","0","0","0"
"93","congresslonal","TRUE","0","0","0","0","0","0","0","0"
"94","revlew","FALSE","come","up","for","congresslonal","congresslonal","conslderatlon","of","trade"
