5_gram,freq
a a complete presentation *,1
a aajor favorable iapaet *,1
a agreement with the *,1
a and chemical industry *,1
a assess the extent *,1
a baby food manufacturer *,1
a background and experience *,1
a balanced and equitable *,1
a balanced budget by *,1
a ban on open *,1
a barrier to otherwise *,1
a baseset european style *,1
a basic change in *,1
a basic cma statement *,1
a basis for establishing *,1
a beneficial balance between *,1
a better approach than *,1
a better insight into *,1
a better understanding and *,1
a better understanding of *,1
a between mca and *,1
a biennium budget deficit *,1
a bill amending the *,1
a bill are uncertain *,1
a bill by senator *,1
a bill calling in *,1
a bill from his *,1
a bill hr and *,1
a bill in the *,1
a bill s intended *,1
a bill to amend *,1
a bill to be *,1
a bill to promote *,1
a bill was introduced *,1
a bill was not *,1
a bill which allows *,1
a bill which passed *,1
a bill which would *,1
a bill whose basic *,1
a bill will no *,1
a billion cut in *,1
a binding dispute settlement *,1
a bioassay was planned *,1
a blanket organization for *,1
a block of committee *,1
a board committee to *,1
a bond for the *,1
a briaf raviaw of *,1
a brief comment concerning *,1
a brief discussion of *,1
a brief in the *,1
a brief legislative report *,1
a brief organizational meeting *,1
a brief review of *,1
a brief update of *,1
a briefing by cma *,1
a briefing on the *,1
a briefing package and *,1
a briefing schedule by *,1
a broad agenda focussing *,1
a broad based advocacy *,1
a broad based funding *,1
a broad based tax *,1
a broad business coalition *,1
a broad coalition has *,1
a broad new public *,1
a broad public inquiry *,1
a broad range of *,1
a broad spectrum of *,1
a broadbased consumption sales *,1
a broadbased excise tax *,1
a broadbased percent minimum *,1
a broadbased tax and *,1
a broader coverage and *,1
a broader much more *,1
a broadly based one *,1
a brochure which will *,1
a btu excise tax *,1
a btu tax a *,1
a budget of million *,1
a buildup of oxides *,1
a business advisor to *,1
a business coalition to *,1
a busy but a *,1
a bypass around the *,1
a bypass provision the *,1
a byyourleave the prospect *,1
a cabinet shakeout appears *,1
a caer planning committee *,1
a campaign among member *,1
a campaign to enlist *,1
a canadian product in *,1
a canadian value added *,1
a cap on the *,1
a captive insurance company *,1
a car had a *,1
a car owner or *,1
a car valued in *,1
a carcinogen a special *,1
a career guidance booklet *,1
a career information booklet *,1
a casebycase baaia opan *,1
a casebycase philosophy tsca *,1
a ceiling of credit *,1
a center and various *,1
a center of excellence *,1
a central focus for *,1
a central need and *,1
a certain date and *,1
a challenge by the *,1
a challenge to epas *,1
a challenge to his *,1
a chance that companies *,1
a change in circumstances *,1
a changes in the *,1
a chart which represents *,1
a check once a *,1
a chemical health effects *,1
a chemical in epas *,1
a chemical industry committee *,1
a chemical or chemicals *,1
a chemical process as *,1
a chemical substance would *,1
a chemical trade balance *,1
a chemical trade surplus *,1
