"","dictionary"
"1","exhibit"
"2","g"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","manufacturing"
"10","chemists"
"11","association"
"12","joseph"
"13","sandford"
"14","jr"
"15","chairman"
"16","chemical"
"17","packaging"
"18","committee"
"19","november"
"20","the"
"21","activities"
"22","of"
"23","the"
"24","chemical"
"25","packaging"
"26","committee"
"27","emphasize"
"28","two"
"29","major"
"30","areas"
"31","regulations"
"32","and"
"33","legislation"
"34","our"
"35","objective"
"36","today"
"37","is"
"38","to"
"39","provide"
"40","background"
"41","on"
"42","our"
"43","committee"
"44","oper­"
"45","ations"
"46","and"
"47","how"
"48","we"
"49","are"
"50","assisting"
"51","each"
"52","of"
"53","our"
"54","companies"
"55","to"
"56","achieve"
"57","both"
"58","safety"
"59","in"
"60","packaging"
"61","and"
"62","regulatory"
"63","compliance"
"64","times"
"65","have"
"66","changed"
"67","just"
"68","a"
"69","few"
"70","years"
"71","ago"
"72","a"
"73","chemical"
"74","packaging"
"75","engineer"
"76","might"
"77","be"
"78","concentrating"
"79","on"
"80","the"
"81","steel"
"82","thickness"
"83","of"
"84","a"
"85","drum"
"86","for"
"87","solvents"
"88","the"
"89","moisture"
"90","barrier"
"91","in"
"92","a"
"93","bag"
"94","for"
"95","plastic"
"96","resins"
"97","or"
"98","a"
"99","fungicide"
"100","box"
"101","closure"
"102","today"
"103","he"
"104","must"
"105","also"
"106","know"
"107","about"
"108","the"
"109","transportation"
"110","safety"
"111","act"
"112","of"
"113","the"
"114","consolidation"
"115","of"
"116","dot"
"117","regulations"
"118","the"
"119","metric"
"120","conversion"
"121","act"
"122","of"
"123","inter­"
"124","national"
"125","shipping"
"126","regulations"
"127","and"
"128","looking"
"129","to"
"130","the"
"131","future"
"132","reg­"
"133","ulations"
"134","on"
"135","solid"
"136","waste"
"137","disposal"
"138","and"
"139","carcinogens"
"140","what"
"141","has"
"142","caused"
"143","this"
"144","change"
"145","in"
"146","our"
"147","committees"
"148","activ­"
"149","ities"
"150","we"
"151","believe"
"152","the"
"153","most"
"154","important"
"155","factor"
"156","is"
"157","the"
"158","concern"
"159","on"
"160","the"
"161","part"
"162","of"
"163","both"
"164","the"
"165","private"
"166","and"
"167","public"
"168","sectors"
"169","for"
"170","greater"
"171","safety"
"172","in"
"173","the"
"174","packaging"
"175","transportation"
"176","and"
"177","distribution"
"178","of"
"179","haz­"
"180","ardous"
"181","materials"
"182","the"
"183","department"
"184","of"
"185","transportations"
"186","past"
"187","two"
"188","annual"
"189","reports"
"190","on"
"191","hazardous"
"192","materials"
"193","control"
"194","are"
"195","more"
"196","specific"
"197","about"
"198","this"
"199","concern"
"200","over"
"201","safety"
"202","in"
"203","these"
"204","two"
"205","years"
"206","fatalities"
"207","and"
"208","over"
"209","injuries"
"210","occurred"
"211","in"
"212","all"
"213","hazardous"
"214","materials"
"215","incidents"
"216","of"
"217","which"
"218","over"
"219","involved"
"220","chemical"
"221","products"
"222","the"
"223","de­"
"224","partment"
"225","of"
"226","transportation"
"227","or"
"228","as"
"229","we"
"230","usually"
