"","dictionary"
"1","exhibit"
"2","staff"
"3","report"
"4","february"
"5","by"
"6","william"
"7","j"
"8","driver"
"9","v"
"10","b"
"11","azflacjt"
"12","ui"
"13","president"
"14","nixon"
"15","in"
"16","his"
"17","state"
"18","of"
"19","the"
"20","union"
"21","message"
"22","emphasised"
"23","the"
"24","admin­"
"25","istrations"
"26","legislative"
"27","proposals"
"28","which"
"29","were"
"30","introduced"
"31","last"
"32","year"
"33","and"
"34","on"
"35","which"
"36","congressional"
"37","action"
"38","has"
"39","not"
"40","yet"
"41","been"
"42","com­"
"43","pleted"
"44","specifically"
"45","the"
"46","president"
"47","urged"
"48","the"
"49","congress"
"50","to"
"51","take"
"52","early"
"53","action"
"54","on"
"55","welfare"
"56","reform"
"57","health"
"58","services"
"59","revenue"
"60","sharing"
"61","the"
"62","environment"
"63","consumer"
"64","protection"
"65","and"
"66","transporta­"
"67","tion"
"68","in"
"69","addition"
"70","to"
"71","stressing"
"72","the"
"73","need"
"74","for"
"75","action"
"76","on"
"77","proposed"
"78","en­"
"79","vironmental"
"80","legislation"
"81","the"
"82","president"
"83","stated"
"84","he"
"85","would"
"86","soon"
"87","be"
"88","sending"
"89","to"
"90","the"
"91","congress"
"92","a"
"93","message"
"94","on"
"95","the"
"96","environment"
"97","that"
"98","would"
"99","present"
"100","further"
"101","administrative"
"102","and"
"103","legislative"
"104","initiatives"
"105","the"
"106","president"
"107","also"
"108","indicated"
"109","that"
"110","he"
"111","would"
"112","soon"
"113","propose"
"114","new"
"115","legis"
"116","lation"
"117","concerning"
"118","a"
"119","new"
"120","technology"
"121","program"
"122","with"
"123","federal"
"124","increase"
"125","private"
"126","research"
"127","and"
"128","incentives"
"129","to"
"130","federally"
"131","supported"
"132","research"
"133","on"
"134","a"
"135","range"
"136","of"
"137","projects"
"138","designed"
"139","to"
"140","improve"
"141","our"
"142","everyday"
"143","lives"
"144","another"
"145","area"
"146","involving"
"147","new"
"148","legislative"
"149","proposals"
"150","concerns"
"151","edu­"
"152","cation"
"153","the"
"154","president"
"155","stated"
"156","he"
"157","would"
"158","recommend"
"159","later"
"160","in"
"161","the"
"162","year"
"163","a"
"164","new"
"165","way"
"166","of"
"167","financing"
"168","public"
"169","schools"
"170","to"
"171","supplant"
"172","reliance"
"173","on"
"174","local"
"175","property"
"176","taxes"
"177","while"
"178","no"
"179","details"
"180","were"
"181","given"
"182","it"
"183","is"
"184","under­"
"185","stood"
"186","the"
"187","administration"
"188","has"
"189","been"
"190","studying"
"191","the"
"192","concept"
"193","of"
"194","a"
"195","valueadded"
"196","tax"
"197","as"
"198","a"
"199","means"
"200","of"
"201","raising"
"202","revenue"
"203","to"
"204","pay"
"205","for"
"206","local"
"207","schools"
"208","however"
"209","passage"
"210","of"
"211","such"
"212","legislation"
"213","this"
"214","year"
"215","is"
"216","improbable"
"217","the"
"218","nd"
"219","congress"
"220","reconvened"
"221","on"
"222","january"
"223","to"
"224","start"
"225","what"
"226","leaders"
"227","in"
"228","both"
