"","dictionary"
"1","exhibit"
"2","g"
"3","report"
"4","to"
"5","board"
"6","of"
"7","directors"
"8","manufacturing"
"9","chemists"
"10","association"
"11","fletcher"
"12","l"
"13","byrom"
"14","chairman"
"15","economic"
"16","policy"
"17","review"
"18","committee"
"19","september"
"20","the"
"21","economic"
"22","outlook"
"23","there"
"24","is"
"25","some"
"26","concern"
"27","by"
"28","many"
"29","in"
"30","industry"
"31","that"
"32","july"
"33","and"
"34","august"
"35","have"
"36","been"
"37","more"
"38","than"
"39","the"
"40","normal"
"41","doldrums"
"42","of"
"43","summer"
"44","certainly"
"45","many"
"46","areas"
"47","have"
"48","been"
"49","fitful"
"50","at"
"51","best"
"52","on"
"53","the"
"54","other"
"55","hand"
"56","early"
"57","august"
"58","sales"
"59","in"
"60","major"
"61","retail"
"62","chains"
"63","have"
"64","evidenced"
"65","encouraging"
"66","strength"
"67","the"
"68","real"
"69","nagging"
"70","concern"
"71","is"
"72","the"
"73","lack"
"74","of"
"75","any"
"76","strength"
"77","in"
"78","the"
"79","housing"
"80","market"
"81","and"
"82","no"
"83","signs"
"84","yet"
"85","of"
"86","any"
"87","major"
"88","move"
"89","in"
"90","plant"
"91","and"
"92","equipment"
"93","expenditures"
"94","inflationary"
"95","pressures"
"96","are"
"97","at"
"98","least"
"99","passive"
"100","for"
"101","the"
"102","present"
"103","but"
"104","again"
"105","projections"
"106","of"
"107","shortages"
"108","in"
"109","primary"
"110","industry"
"111","with"
"112","only"
"113","slight"
"114","increases"
"115","in"
"116","capacity"
"117","utilization"
"118","due"
"119","to"
"120","the"
"121","lack"
"122","of"
"123","new"
"124","capacity"
"125","installations"
"126","in"
"127","recent"
"128","years"
"129","are"
"130","a"
"131","cause"
"132","for"
"133","real"
"134","concern"
"135","to"
"136","many"
"137","the"
"138","question"
"139","of"
"140","where"
"141","eight"
"142","million"
"143","college"
"144","students"
"145","will"
"146","get"
"147","jobs"
"148","and"
"149","what"
"150","their"
"151","reactions"
"152","will"
"153","be"
"154","if"
"155","they"
"156","do"
"157","not"
"158","find"
"159","the"
"160","kind"
"161","of"
"162","employment"
"163","to"
"164","which"
"165","they"
"166","feel"
"167","they"
"168","are"
"169","entitled"
"170","the"
"171","continuing"
"172","decapitalization"
"173","of"
"174","primary"
"175","capitalintensive"
"176","industry"
"177","due"
"178","to"
"179","inadequate"
"180","depreciation"
"181","policy"
"182","and"
"183","the"
"184","failure"
"185","to"
"186","date"
"187","of"
"188","much"
"189","of"
"190","industry"
"191","to"
"192","reduce"
"193","its"
"194","dividendpayout"
"195","ratios"
"196","in"
"197","order"
"198","to"
"199","compensate"
"200","for"
"201","the"
"202","shortfall"
"203","in"
"204","depreciation"
"205","the"
"206","inability"
"207","to"
"208","economically"
"209","justify"
"210","new"
"211","plant"
"212","expenditures"
"213","on"
"214","the"
"215","basis"
"216","of"
"217","present"
"218","profit"
"219","levels"
"220","all"
"221","these"
"222","concerns"
"223","hang"
"224","like"
"225","a"
"226","heavy"
"227","cloud"
"228","over"
"229","a"
"230","recovery"
"231","which"
"232","to"
"233","many"
