"","dictionary"
"1","exhibit"
"2","h"
"3","report"
"4","to"
"5","board"
"6","of"
"7","directors"
"8","manufacturing"
"9","chemists"
"10","association"
"11","james"
"12","e"
"13","mckee"
"14","jr"
"15","chairman"
"16","public"
"17","relations"
"18","committee"
"19","november"
"20","th"
"21","hazards"
"22","of"
"23","holding"
"24","the"
"25","same"
"26","office"
"27","for"
"28","two"
"29","years"
"30","are"
"31","obvious"
"32","my"
"33","position"
"34","today"
"35","is"
"36","not"
"37","unlike"
"38","that"
"39","of"
"40","a"
"41","reelected"
"42","politician"
"43","its"
"44","important"
"45","to"
"46","assess"
"47","what"
"48","was"
"49","said"
"50","to"
"51","this"
"52","audience"
"53","last"
"54","year"
"55","in"
"56","the"
"57","public"
"58","relations"
"59","committee"
"60","report"
"61","covered"
"62","two"
"63","main"
"64","points"
"65","for"
"66","future"
"67","action"
"68","that"
"69","we"
"70","would"
"71","focus"
"72","more"
"73","sharply"
"74","on"
"75","major"
"76","opportunities"
"77","as"
"78","well"
"79","as"
"80","the"
"81","larger"
"82","problems"
"83","of"
"84","the"
"85","chemical"
"86","industry"
"87","and"
"88","that"
"89","we"
"90","would"
"91","establish"
"92","closer"
"93","relationships"
"94","with"
"95","other"
"96","functional"
"97","areas"
"98","of"
"99","mca"
"100","so"
"101","a"
"102","more"
"103","meaningful"
"104","contribution"
"105","to"
"106","the"
"107","industrys"
"108","total"
"109","communications"
"110","could"
"111","be"
"112","made"
"113","these"
"114","things"
"115","have"
"116","been"
"117","done"
"118","the"
"119","assaults"
"120","on"
"121","the"
"122","chemical"
"123","industry"
"124","by"
"125","media"
"126","and"
"127","government"
"128","in"
"129","the"
"130","past"
"131","months"
"132","have"
"133","made"
"134","it"
"135","imperative"
"136","in"
"137","addition"
"138","the"
"139","opportunity"
"140","to"
"141","participate"
"142","in"
"143","dr"
"144","heckerts"
"145","special"
"146","committee"
"147","on"
"148","toxic"
"149","substances"
"150","legislation"
"151","demonstrated"
"152","what"
"153","can"
"154","be"
"155","accomplished"
"156","through"
"157","interaction"
"158","of"
"159","functions"
"160","when"
"161","proper"
"162","leadership"
"163","is"
"164","provided"
"165","spurred"
"166","by"
"167","todays"
"168","public"
"169","demands"
"170","and"
"171","the"
"172","proof"
"173","that"
"174","joint"
"175","committee"
"176","action"
"177","can"
"178","get"
"179","things"
"180","done"
"181","the"
"182","public"
"183","relations"
"184","committee"
"185","stepped"
"186","tip"
"187","its"
"188","practice"
"189","of"
"190","meeting"
"191","with"
"192","the"
"193","leadership"
"194","of"
"195","certain"
"196","other"
"197","functional"
"198","committees"
"199","particularly"
"200","government"
"201","relations"
"202","technical"
"203","and"
"204","legal"
"205","advisory"
"206","this"
"207","was"
"208","started"
"209","about"
"210","months"
"211","ago"
"212","to"
"213","gain"
"214","a"
"215","better"
"216","perspective"
"217","of"
"218","mcas"
"219","needs"
"220","what"
"221","we"
"222","have"
"223","found"
"224","is"
"225","that"
"226","we"
"227","can"
"228","work"
"229","together"
"230","that"
"231","we"
"232","can"
"233","have"
"234","a"
"235","common"
"236","purpose"
"237","and"
"238","pursuit"
"239","we"
"240","have"
"241","agreed"
"242","upon"
"243","issues"
"244","that"
"245","should"
"246","be"
"247","the"
"248","greatest"
"249","concern"
"250","of"
"251","the"
"252","association"
"253","these"
"254","are"
"255","human"
"256","health"
"257","and"
"258","the"
"259","environment"
"260","and"
"261","increasing"
"262","govern­"
"263","ment"
"264","constraints"
"265","which"
"266","erode"
"267","industrys"
"268","management"
"269","of"
"270","its"
"271","resources"
"272","cooperation"
"273","to"
"274","date"
"275","has"
"276","prompted"
"277","us"
"278","to"
"279","adopt"
"280","a"
"281","plan"
"282","for"
"283","industry"
"284","spokesmanship"
"285","encompassing"
"286","an"
"287","even"
"288","larger"
"289","number"
"290","of"
"291","functional"
"292","committees"
"293","the"
"294","plan"
"295","was"
"296","proposed"
"297","by"
"298","a"
"299","former"
"300","chairman"
"301","of"
"302","our"
"303","committee"
"304","ned"
"305","brandt"
"306","of"
"307","dow"
"308","and"
"309","adopted"
"310","at"
"311","our"
"312","september"
"313","meeting"
"314","most"
"315","of"
