"","dictionary"
"1","exhibit"
"2","e"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","manufacturing"
"10","chemists"
"11","association"
"12","george"
"13","dominguez"
"14","chairman"
"15","chemical"
"16","regulations"
"17","advisory"
"18","committee"
"19","february"
"20","the"
"21","chemical"
"22","regulations"
"23","advisory"
"24","committee"
"25","crac"
"26","is"
"27","most"
"28","intensely"
"29","active"
"30","in"
"31","preparing"
"32","draft"
"33","proposals"
"34","for"
"35","the"
"36","environ­"
"37","mental"
"38","protection"
"39","agencys"
"40","epa"
"41","use"
"42","through"
"43","its"
"44","office"
"45","of"
"46","toxic"
"47","substances"
"48","ots"
"49","in"
"50","drafting"
"51","regulations"
"52","and"
"53","definitions"
"54","required"
"55","on"
"56","a"
"57","time"
"58","schedule"
"59","established"
"60","by"
"61","the"
"62","toxic"
"63","substances"
"64","control"
"65","act"
"66","a"
"67","series"
"68","of"
"69","weekly"
"70","meetings"
"71","provided"
"72","epa"
"73","with"
"74","abbr"
"75","viated"
"76","views"
"77","on"
"78","basic"
"79","concepts"
"80","at"
"81","epa"
"82","public"
"83","meetings"
"84","december"
"85","and"
"86","prepared"
"87","statements"
"88","were"
"89","read"
"90","before"
"91","an"
"92","audi"
"93","nee"
"94","of"
"95","later"
"96","statements"
"97","were"
"98","presented"
"99","on"
"100","more"
"101","detailed"
"102","sections"
"103","and"
"104","issues"
"105","of"
"106","the"
"107","law"
"108","before"
"109","smaller"
"110","epa"
"111","sponsored"
"112","meetings"
"113","in"
"114","midjanuary"
"115","mca"
"116","views"
"117","were"
"118","developed"
"119","for"
"120","presentation"
"121","to"
"122","epa"
"123","on"
"124","twelve"
"125","records"
"126","and"
"127","reports"
"128","issues"
"129","delineated"
"130","by"
"131","epa"
"132","in"
"133","these"
"134","and"
"135","the"
"136","weekly"
"137","meetings"
"138","the"
"139","views"
"140","presented"
"141","were"
"142","largely"
"143","tentative"
"144","but"
"145","increasingly"
"146","convergent"
"147","i"
"148","on"
"149","workable"
"150","understanding"
"151","through"
"152","interaction"
"153","with"
"154","epa"
"155","as"
"156","epa"
"157","further"
"158","clarifies"
"159","its"
"160","strategies"
"161","this"
"162","frequency"
"163","of"
"164","meetings"
"165","is"
"166","likely"
"167","to"
"168","increase"
"169","to"
"170","complete"
"171","implementation"
"172","in"
"173","as"
"174","requir"
"175","d"
"176","by"
"177","law"
"178","the"
"179","results"
"180","of"
"181","these"
"182","sessions"
"183","are"
"184","manifest"
"185","in"
"186","changed"
"187","epa"
"188","positions"
"189","for"
"190","example"
"191","epas"
