"","dictionary"
"1","policy"
"2","committee"
"3","to"
"4","review"
"5","this"
"6","problem"
"7","and"
"8","to"
"9","develop"
"10","an"
"11","appropriate"
"12","cma"
"13","response"
"14","and"
"15","strategy"
"16","on"
"17","october"
"18","the"
"19","foreign"
"20","tax"
"21","task"
"22","group"
"23","met"
"24","on"
"25","disc"
"26","and"
"27","a"
"28","representative"
"29","will"
"30","present"
"31","a"
"32","status"
"33","report"
"34","to"
"35","the"
"36","board"
"37","at"
"38","its"
"39","november"
"40","meeting"
"41","in"
"42","the"
"43","interim"
"44","cma"
"45","president"
"46","robert"
"47","a"
"48","roland"
"49","has"
"50","written"
"51","directly"
"52","to"
"53","treasury"
"54","secretary"
"55","donald"
"56","t"
"57","regan"
"58","to"
"59","stress"
"60","the"
"61","prime"
"62","importance"
"63","of"
"64","disc"
"65","to"
"66","the"
"67","chemical"
"68","industry"
"69","and"
"70","cmas"
"71","desire"
"72","to"
"73","be"
"74","consulted"
"75","in"
"76","the"
"77","development"
"78","of"
"79","this"
"80","legislation"
"81","action"
"82","required"
"83","none"
"84","for"
"85","information"
"86","only"
"87","cma"
"88","cma"
"89","exhibit"
"90","c"
"91","report"
"92","on"
"93","disc"
"94","report"
"95","of"
"96","the"
"97","tax"
"98","policy"
"99","committee"
"100","on"
"101","disc"
"102","cma"
"103","enthusiastically"
"104","applauds"
"105","the"
"106","decision"
"107","of"
"108","the"
"109","reagan"
"110","administration"
"111","to"
"112","continue"
"113","its"
"114","support"
"115","of"
"116","the"
"117","provisions"
"118","of"
"119","the"
"120","internal"
"121","revenue"
"122","code"
"123","which"
"124","pertain"
"125","to"
"126","domestic"
"127","international"
"128","sales"
"129","corporations"
"130","disc"
"131","for"
"132","some"
"133","time"
"134","the"
"135","treasury"
"136","department"
"137","and"
"138","the"
"139","office"
"140","of"
"141","the"
"142","special"
"143","trade"
"144","representative"
"145","had"
"146","considered"
"147","proposals"
"148","to"
"149","modify"
"150","the"
"151","disc"
"152","provisions"
"153","this"
"154","review"
"155","stemmed"
"156","from"
"157","allegations"
"158","of"
"159","our"
"160","major"
"161","european"
"162","trading"
"163","partners"
"164","that"
"165","those"
"166","provisions"
"167","violate"
"168","the"
"169","gatt"
"170","subsidies"
"171","code"
"172","it"
"173","is"
"174","understood"
"175","that"
"176","the"
"177","gatt"
"178","council"
"179","may"
"180","make"
"181","a"
"182","final"
"183","decision"
"184","in"
"185","the"
"186","near"
"187","future"
"188","on"
"189","whether"
"190","disc"
"191","violates"
"192","gatt"
"193","it"
"194","is"
"195","possible"
"196","that"
"197","such"
"198","a"
"199","decision"
"200","could"
"201","be"
"202","delayed"
"203","for"
"204","an"
"205","month"
"206","period"
"207","cma"
"208","is"
"209","most"
"210","encouraged"
"211","that"
"212","the"
"213","administration"
"214","will"
"215","vigorously"
"216","defend"
"217","the"
"218","disc"
"219","provisions"
"220","however"
"221","if"
"222","it"
"223","is"
"224","ultimately"
"225","decided"
"226","that"
"227","disc"
"228","violates"
"229","gatt"
"230","the"
"231","united"
"232","states"
"233","will"
"234","be"
"235","faced"
"236","with"
"237","repealing"
"238","or"
"239","replacing"
"240","oisc"
"241","or"
"242","retaining"
"243","disc"
"244","and"
"245","allowing"
