"","dictionary"
"1","exhibit"
"2","h"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","manufacturing"
"10","chemists"
"11","association"
"12","international"
"13","trade"
"14","committee"
"15","october"
"16","in"
"17","an"
"18","effort"
"19","to"
"20","illustrate"
"21","to"
"22","you"
"23","the"
"24","relative"
"25","importance"
"26","of"
"27","matters"
"28","that"
"29","are"
"30","now"
"31","pending"
"32","pertaining"
"33","to"
"34","international"
"35","trade"
"36","would"
"37","like"
"38","to"
"39","quote"
"40","from"
"41","ambassador"
"42","frederick"
"43","dent"
"44","of"
"45","the"
"46","office"
"47","of"
"48","special"
"49","trade"
"50","representative"
"51","str"
"52","the"
"53","occasion"
"54","was"
"55","a"
"56","plenary"
"57","meeting"
"58","in"
"59","washington"
"60","some"
"61","two"
"62","weeks"
"63","ago"
"64","for"
"65","a"
"66","group"
"67","of"
"68","industry"
"69","sector"
"70","advisory"
"71","committees"
"72","or"
"73","isac"
"74","ambassador"
"75","pent"
"76","told"
"77","us"
"78","that"
"79","imports"
"80","into"
"81","this"
"82","country"
"83","in"
"84","are"
"85","expect­"
"86","ed"
"87","to"
"88","be"
"89","up"
"90","over"
"91","those"
"92","of"
"93","while"
"94","exports"
"95","will"
"96","be"
"97","up"
"98","only"
"99","the"
"100","expected"
"101","trade"
"102","deficit"
"103","will"
"104","be"
"105","approximately"
"106","o"
"107","billion"
"108","dollars"
"109","imports"
"110","of"
"111","petroleum"
"112","products"
"113","in"
"114","the"
"115","usa"
"116","were"
"117","valued"
"118","at"
"119","billion"
"120","dollars"
"121","this"
"122","year"
"123","they"
"124","are"
"125","expected"
"126","to"
"127","reach"
"128","billion"
"129","dollars"
"130","gentlemen"
"131","the"
"132","need"
"133","for"
"134","industry"
"135","support"
"136","in"
"137","the"
"138","international"
"139","trade"
"140","area"
"141","has"
"142","never"
"143","been"
"144","as"
"145","great"
"146","as"
"147","it"
"148","is"
"149","now"
"150","today"
"151","in"
"152","the"
"153","united"
"154","states"
"155","the"
"156","cost"
"157","of"
"158","feedstock"
"159","for"
"160","the"
"161","petrochemical"
"162","in­"
"163","dustry"
"164","is"
"165","less"
"166","than"
"167","the"
"168","corresponding"
"169","cost"
"170","in"
"171","the"
"172","common"
"173","market"
"174","ec"
"175","but"
"176","it"
"177","is"
"178","expected"
"179","to"
"180","be"
"181","equal"
"182","to"
"183","that"
"184","of"
"185","the"
"186","common"
"187","market"
"188","in"
"189","about"
"190","four"
"191","years"
"192","your"
"193","international"
"194","trade"
"195","committee"
"196","suggests"
"197","that"
"198","strong"
"199","continued"
"200","industry"
"201","support"
"202","on"
"203","internation­"
"204","al"
"205","trade"
"206","is"
"207","a"
"208","must"
"209","i"
"210","am"
"211","advised"
"212","that"
"213","the"
"214","subject"
"215","of"
"216","trade"
"217","did"
"218","not"
"219","appear"
"220","in"
"221","the"
"222","top"
"223","items"
"224","which"
"225","certain"
"226","mca"
"227","member"
"228","companies"
"229","agreed"
"230","to"
"231","be"
"232","those"
"233","subjects"
"234","of"
"235","the"
"236","greatest"
"237","concern"
"238","to"
"239","them"
"240","according"
"241","to"
"242","a"
"243","recent"
"244","survey"
"245","however"
"246","it"
"247","does"
"248","appear"
"249","that"
"250","we"
"251","could"
"252","have"
"253","longrange"
"254","problems"
"255","in"
"256","our"
"257","economy"
"258","unless"
"259","international"
"260","trade"
"261","for"
"262","our"
"263","country"
"264","increases"
"265","to"
"266","offset"
"267","these"
"268","deficits"
"269","with"
"270","this"
"271","scenario"
"272","in"
"273","mind"
"274","i"
"275","would"
"276","now"
"277","like"
"278","to"
"279","give"
"280","you"
"281","an"
"282","utline"
"283","of"
"284","what"
"285","i"
"286","hope"
"287","to"
"288","cover"
"289","in"
"290","the"
"291","next"
"292","to"
"293","minutes"
"294","first"
"295","i"
"296","plan"
"297","to"
"298","spend"
"299","about"
"300","minutes"
"301","on"
"302","the"
"303","status"
"304","of"
"305","the"
"306","t"
"307","negotiations"
"308","the"
"309","main"
"310","part"
"311","of"
"312","my"
"313","presentation"
"314","to"
"315","you"
"316","last"
"317","about"
"318","minutes"
"319","and"
