"","dictionary"
"1","involved"
"2","in"
"3","this"
"4","project"
"5","because"
"6","the"
"7","epa"
"8","draft"
"9","technical"
"10","publication"
"11","concerning"
"12","phthalate"
"13","esters"
"14","expressly"
"15","allowed"
"16","a"
"17","delisting"
"18","procedure"
"19","epa"
"20","biomonitoring"
"21","studies"
"22","comments"
"23","emcs"
"24","water"
"25","quality"
"26","criteria"
"27","and"
"28","standards"
"29","task"
"30","group"
"31","submitted"
"32","comments"
"33","to"
"34","epa"
"35","on"
"36","a"
"37","recent"
"38","biomonitoring"
"39","study"
"40","involving"
"41","the"
"42","kanawah"
"43","river"
"44","cmas"
"45","comments"
"46","addressed"
"47","several"
"48","scientific"
"49","and"
"50","technical"
"51","deficiencies"
"52","with"
"53","the"
"54","study"
"55","and"
"56","offered"
"57","recommendations"
"58","on"
"59","how"
"60","to"
"61","cure"
"62","several"
"63","of"
"64","them"
"65","the"
"66","biomonitoring"
"67","activity"
"68","is"
"69","of"
"70","special"
"71","concern"
"72","to"
"73","many"
"74","member"
"75","companies"
"76","since"
"77","epa"
"78","regional"
"79","offices"
"80","are"
"81","incorporating"
"82","biomonitoring"
"83","requirements"
"84","as"
"85","part"
"86","of"
"87","second"
"88","round"
"89","npdes"
"90","permits"
"91","litigation"
"92","and"
"93","related"
"94","legal"
"95","activities"
"96","stormwater"
"97","litigation"
"98","on"
"99","august"
"100","epa"
"101","decided"
"102","to"
"103","make"
"104","a"
"105","major"
"106","change"
"107","in"
"108","the"
"109","deadline"
"110","for"
"111","submitting"
"112","stormwater"
"113","permit"
"114","applications"
"115","under"
"116","the"
"117","clean"
"118","water"
"119","act"
"120","the"
"121","original"
"122","date"
"123","had"
"124","been"
"125","april"
"126","however"
"127","cma"
"128","and"
"129","other"
"130","industry"
"131","groups"
"132","mounted"
"133","a"
"134","major"
"135","effort"
"136","to"
"137","convince"
"138","epa"
"139","that"
"140","the"
"141","deadline"
"142","was"
"143","unreasonable"
"144","cma"
"145","member"
"146","companies"
"147","participated"
"148","in"
"149","the"
"150","effort"
"151","by"
"152","contacting"
"153","epa"
"154","and"
"155","documenting"
"156","the"
"157","practical"
"158","problems"
"159","posed"
"160","by"
"161","page"
"162","cma"
"163","the"
"164","deadline"
"165","on"
"166","august"
"167","epa"
"168","agreed"
"169","with"
"170","our"
"171","position"
"172","changing"
"173","the"
"174","deadline"
"175","to"
"176","december"
"177","for"
"178","industrial"
"179","group"
"180","i"
"181","discharges"
"182","and"
"183","june"
"184","for"
"185","other"
"186","group"
"187","ii"
"188","discharges"
"189","however"
"190","the"
"191","natural"
"192","resources"
"193","defense"
"194","council"
"195","nrdc"
"196","has"
"197","now"
"198","filed"
"199","suit"
"200","challenging"
"201","the"
"202","deadline"
"203","extension"
"204","since"
"205","the"
"206","extension"
"207","is"
"208","very"
"209","important"
"210","to"
"211","industry"
"212","and"
"213","rests"
"214","substantially"
"215","upon"
"216","concerns"
"217","brought"
"218","to"
"219","epas"
"220","attention"
"221","by"
"222","industry"
"223","cma"
"224","and"
"225","the"
"226","other"
"227","trade"
"228","associations"
"229","that"
"230","have"
"231","been"
"232","involved"
"233","with"
"234","the"
"235","stormwater"
"236","issue"
"237","have"
"238","decided"
"239","to"
"240","intervene"
"241","in"
"242","nrdcs"
"243","case"
"244","in"
"245","support"
"246","of"
"247","epa"
"248","we"
"249","will"
"250","jointly"
"251","present"
"252","the"
"253","argument"
"254","that"
"255","epa"
"256","was"
"257","justified"
"258","in"
"259","extending"
"260","the"
"261","deadline"
"262","in"
"263","order"
"264","to"
"265","remedy"
"266","serious"
"267","practical"
"268","defects"
"269","in"
"270","the"
"271","original"
"272","stormwater"
"273","regulations"
"274","pesticides"
"275","effluent"
"276","guidelines"
"277","litigation"
"278","on"
"279","october"
"280","epa"
"281","issued"
"282","effluent"
"283","guidelines"
"284","and"
"285","standards"
"286","under"
"287","the"
"288","clean"
"289","water"
"290","act"
"291","for"
"292","the"
"293","pesticides"
"294","industry"
"295","because"
"296","of"
"297","the"
"298","strong"
"299","connections"
"300","between"
"301","the"
"302","pesticides"
"303","and"
"304","organic"
"305","chemicals"
"306","industries"
"307","several"
"308","generic"
"309","regulatory"
"310","issues"
"311","addressed"
"312","in"
"313","the"
"314","pesticides"
"315","rules"
"316","are"
"317","also"
"318","important"
"319","in"
"320","the"
"321","ongoing"
"322","rulemaking"
"323","for"
"324","the"
"325","organic"
"326","chemicals"
"327","plastics"
"328","and"
"329","synthetic"
"330","fibers"
"331","ocpsf"
"332","industry"
"333","cma"
"334","has"
"335","therefore"
"336","decided"
"337","to"
"338","participate"
"339","in"
"340","litigation"
"341","on"
"342","the"
"343","pesticide"
"344","regulations"
"345","since"
"346","any"
"347","judicial"
"348","decision"
"349","on"
"350","those"
"351","questions"
"352","in"
"353","the"
"354","pesticide"
"355","context"
"356","will"
"357","surely"
"358","serve"
"359","as"
"360","precedent"
"361","for"
"362","epas"
"363","regulation"
"364","of"
"365","ocpsf"
"366","plants"
"367","in"
"368","the"
"369","litigation"
"370","cma"
"371","will"
"372","be"
"373","working"
"374","closely"
"375","with"
