"","dictionary"
"1","media"
"2","training"
"3","was"
"4","provided"
"5","for"
"6","member"
"7","company"
"8","representatives"
"9","who"
"10","will"
"11","participate"
"12","in"
"13","upcoming"
"14","media"
"15","tours"
"16","on"
"17","the"
"18","national"
"19","chemical"
"20","response"
"21","and"
"22","information"
"23","center"
"24","energy"
"25","and"
"26","petrochemical"
"27","feedstocks"
"28","regulatory"
"29","developments"
"30","and"
"31","response"
"32","page"
"33","cma"
"34","ferc"
"35","order"
"36","no"
"37","on"
"38","interstate"
"39","natural"
"40","gas"
"41","transportation"
"42","on"
"43","october"
"44","the"
"45","federal"
"46","energy"
"47","regulatory"
"48","commission"
"49","ferc"
"50","issued"
"51","a"
"52","rule"
"53","on"
"54","interstate"
"55","natural"
"56","gas"
"57","transportation"
"58","that"
"59","adopted"
"60","many"
"61","cma"
"62","recommendations"
"63","the"
"64","rule"
"65","authorizes"
"66","selfimplementing"
"67","nondiscriminatory"
"68","interstate"
"69","transportation"
"70","services"
"71","both"
"72","firm"
"73","and"
"74","interruptible"
"75","services"
"76","must"
"77","be"
"78","offered"
"79","by"
"80","participating"
"81","interstate"
"82","pipelines"
"83","also"
"84","reservation"
"85","fees"
"86","for"
"87","firm"
"88","services"
"89","are"
"90","permitted"
"91","the"
"92","ferc"
"93","subsequently"
"94","modified"
"95","the"
"96","rule"
"97","so"
"98","that"
"99","pipelines"
"100","must"
"101","permit"
"102","distribution"
"103","company"
"104","customers"
"105","to"
"106","reduce"
"107","their"
"108","existing"
"109","sales"
"110","demand"
"111","by"
"112","up"
"113","to"
"114","per"
"115","year"
"116","over"
"117","five"
"118","years"
"119","the"
"120","modified"
"121","rule"
"122","ferc"
"123","order"
"124","a"
"125","also"
"126","permitted"
"127","certain"
"128","transportation"
"129","programs"
"130","to"
"131","continue"
"132","until"
"133","february"
"134","thus"
"135","far"
"136","most"
"137","pipelines"
"138","have"
"139","been"
"140","unwilling"
"141","to"
"142","transport"
"143","gas"
"144","under"
"145","the"
"146","new"
"147","rules"
"148","the"
"149","justice"
"150","department"
"151","is"
"152","investigating"
"153","complaints"
"154","that"
"155","pipelines"
"156","have"
"157","colluded"
"158","in"
"159","refusing"
"160","to"
"161","carry"
"162","gas"
"163","under"
"164","those"
"165","terms"
"166","ferc"
"167","proposed"
"168","rules"
"169","on"
"170","natural"
"171","gas"
"172","pricing"
"173","cma"
"174","and"
"175","other"
"176","industrial"
"177","consumers"
"178","urged"
"179","the"
"180","ferc"
"181","not"
"182","to"
"183","implement"
"184","a"
"185","proposed"
"186","block"
"187","billing"
"188","mechanism"
"189","for"
"190","interstate"
"191","pipeline"
"192","sales"
"193","on"
"194","december"
"195","cma"
"196","testified"
"197","before"
"198","the"
"199","ferc"
"200","and"
"201","presented"
"202","results"
"203","of"
"204","an"
"205","economic"
"206","impact"
"207","study"
"208","on"
"209","the"
"210","proposed"
"211","block"
"212","billing"
"213","rule"
"214","cma"
"215","said"
"216","the"
"217","cost"
"218","of"
"219","the"
"220","rule"
"221","to"
"222","american"
"223","industry"
"224","would"
"225","be"
"226","billion"
"227","per"
"228","year"
"229","and"
"230","the"
"231","annual"
"232","cost"
"233","to"
"234","the"
"235","chemical"
"236","industry"
"237","alone"
"238","would"
"239","be"
"240","approximately"
"241","million"
"242","both"
"243","the"
"244","chemical"
"245","industry"
"246","and"
"247","industry"
"248","in"
"249","general"
"250","rely"
"251","substantially"
"252","on"
"253","gas"
"254","purchased"
"255","directly"
"256","from"
"257","producers"
"258","for"
"259","example"
"260","the"
"261","chemical"
"262","industry"
"263","purchases"
"264","of"
