"","dictionary"
"1","as"
"2","a"
"3","result"
"4","we"
"5","must"
"6","indemnify"
"7","plant"
"8","managers"
"9","against"
"10","the"
"11","risk"
"12","of"
"13","working"
"14","with"
"15","the"
"16","media"
"17","at"
"18","the"
"19","local"
"20","plant"
"21","level"
"22","especially"
"23","as"
"24","the"
"25","caer"
"26","program"
"27","is"
"28","implemented"
"29","in"
"30","each"
"31","community"
"32","of"
"33","all"
"34","the"
"35","activities"
"36","associated"
"37","with"
"38","the"
"39","caer"
"40","program"
"41","the"
"42","most"
"43","difficult"
"44","for"
"45","your"
"46","plant"
"47","managers"
"48","is"
"49","talking"
"50","to"
"51","the"
"52","press"
"53","their"
"54","fear"
"55","i"
"56","think"
"57","is"
"58","that"
"59","a"
"60","slip"
"61","of"
"62","the"
"63","tongue"
"64","or"
"65","a"
"66","misquote"
"67","will"
"68","have"
"69","negative"
"70","repercussions"
"71","at"
"72","the"
"73","home"
"74","office"
"75","if"
"76","were"
"77","serious"
"78","about"
"79","caer"
"80","and"
"81","local"
"82","communications"
"83","we"
"84","must"
"85","create"
"86","a"
"87","climate"
"88","where"
"89","plant"
"90","managers"
"91","can"
"92","be"
"93","confident"
"94","of"
"95","management"
"96","support"
"97","when"
"98","they"
"99","speak"
"100","out"
"101","i"
"102","realize"
"103","that"
"104","different"
"105","companies"
"106","have"
"107","different"
"108","policies"
"109","in"
"110","this"
"111","area"
"112","and"
"113","ther"
"114","are"
"115","some"
"116","risks"
"117","involved"
"118","but"
"119","we"
"120","feel"
"121","that"
"122","cma"
"123","the"
"124","risks"
"125","are"
"126","greater"
"127","if"
"128","plant"
"129","managers"
"130","do"
"131","not"
"132","work"
"133","with"
"134","their"
"135","local"
"136","media"
"137","especially"
"138","where"
"139","the"
"140","cash"
"141","program"
"142","is"
"143","involved"
"144","a"
"145","corollary"
"146","to"
"147","this"
"148","recommendation"
"149","is"
"150","that"
"151","the"
"152","industrys"
"153","conaunicatlons"
"154","people"
"155","have"
"156","to"
"157","ensure"
"158","that"
"159","our"
"160","plant"
"161","people"
"162","have"
"163","the"
"164","training"
"165","and"
"166","support"
"167","to"
"168","handle"
"169","this"
"170","eore"
"171","active"
"172","communications"
"173","role"
"174","as"
"175","an"
"176","example"
"177","the"
"178","comaunlcatlons"
"179","portion"
"180","of"
"181","the"
"182","caer"
"183","handbook"
"184","was"
"185","a"
"186","joint"
"187","effort"
"188","of"
"189","the"
"190","conaunicatlons"
"191","conaittee"
"192","and"
"193","cma"
"194","staff"
"195","our"
"196","second"
"197","reconaendation"
"198","is"
"199","based"
"200","on"
"201","the"
"202","fact"
"203","that"
"204","the"
"205","public"
"206","and"
"207","soae"
"208","of"
"209","the"
"210","media"
"211","nake"
"212","little"
"213","distinction"
"214","between"
"215","one"
"216","cheaical"
"217","company"
"218","and"
"219","another"
"220","to"
"221","the"
"222","public"
"223","we"
"224","are"
"225","all"
"226","part"
"227","of"
"228","the"
"229","saae"
"230","industry"
"231","for"
"232","better"
"233","or"
"234","worse"
"235","the"
"236","entire"
"237","industry"
"238","suffers"
"239","when"
"240","one"
"241","of"
"242","us"
"243","bakes"
"244","page"
"245","one"
"246","with"
"247","an"
"248","eaergency"
"249","of"
"250","soae"
"251","sort"
"252","with"
"253","this"
"254","in"
"255","bind"
"256","each"
"257","cheaical"
"258","company"
"259","nust"
"260","ensure"
"261","that"
"262","its"
"263","eaergency"
"264","conaunicatlons"
"265","procedures"
"266","are"
"267","asuptodate"
"268","as"
"269","its"
"270","eaergency"
"271","operating"
"272","procedures"
"273","we"
"274","should"
"275","reneaber"
"276","that"
"277","there"
"278","is"
"279","no"
"280","such"
"281","thing"
"282","as"
"283","a"
"284","national"
"285","cheaical"
"286","eaergency"
"287","only"
"288","a"
"289","local"
"290","incident"
"291","that"
"292","develops"
