"","dictionary"
"1","exhibit"
"2","e"
"3","report"
"4","by"
"5","the"
"6","director"
"7","of"
"8","government"
"9","relations"
"10","william"
"11","m"
"12","stover"
"13","may"
"14","senate"
"15","committee"
"16","working"
"17","on"
"18","tax"
"19","legislation"
"20","the"
"21","senate"
"22","finance"
"23","committee"
"24","began"
"25","markup"
"26","of"
"27","tax"
"28","reformtax"
"29","reduction"
"30","legislation"
"31","on"
"32","april"
"33","and"
"34","is"
"35","expected"
"36","to"
"37","report"
"38","some"
"39","type"
"40","of"
"41","tax"
"42","measure"
"43","by"
"44","midjune"
"45","although"
"46","it"
"47","is"
"48","not"
"49","clear"
"50","just"
"51","what"
"52","the"
"53","scope"
"54","of"
"55","the"
"56","committees"
"57","action"
"58","will"
"59","be"
"60","it"
"61","is"
"62","entirely"
"63","possible"
"64","that"
"65","their"
"66","bill"
"67","will"
"68","simply"
"69","extend"
"70","tax"
"71","reduction"
"72","pro­"
"73","visions"
"74","which"
"75","expire"
"76","on"
"77","june"
"78","thus"
"79","delaying"
"80","action"
"81","on"
"82","a"
"83","tax"
"84","reform"
"85","package"
"86","until"
"87","later"
"88","in"
"89","the"
"90","year"
"91","senator"
"92","russell"
"93","long"
"94","chairman"
"95","of"
"96","the"
"97","finance"
"98","conxnittee"
"99","has"
"100","indicated"
"101","that"
"102","such"
"103","a"
"104","course"
"105","is"
"106","a"
"107","distinct"
"108","possibility"
"109","during"
"110","the"
"111","past"
"112","two"
"113","weeks"
"114","of"
"115","markup"
"116","sessions"
"117","the"
"118","senate"
"119","committee"
"120","dealt"
"121","primarily"
"122","with"
"123","tax"
"124","shelters"
"125","of"
"126","little"
"127","direct"
"128","interest"
"129","to"
"130","the"
"131","chemical"
"132","industry"
"133","it"
"134","is"
"135","significant"
"136","to"
"137","note"
"138","however"
"139","that"
"140","most"
"141","decisions"
"142","could"
"143","be"
"144","characterized"
"145","as"
"146","easing"
"147","off"
"148","on"
"149","limitations"
"150","or"
"151","restrictions"
"152","included"
"153","in"
"154","the"
"155","housepassed"
"156","tax"
"157","reform"
"158","bill"
"159","hr"
"160","many"
"161","observers"
"162","are"
"163","concluding"
"164","therefore"
"165","that"
"166","when"
"167","the"
"168","conmictee"
"169","takes"
"170","up"
"171","capital"
"172","formation"
"173","and"
"174","foreign"
"175","income"
"176","provisions"
"177","its"
"178","actions"
"179","will"
"180","be"
"181","generally"
"182","more"
"183","favorable"
"184","to"
"185","industry"
"186","than"
"187","chat"
"188","of"
"189","the"
"190","house"
"191","however"
"192","there"
"193","is"
"194","still"
"195","danger"
"196","ahead"
