"","dictionary"
"1","exhibit"
"2","i"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","of"
"10","the"
"11","manufacturing"
"12","chemists"
"13","association"
"14","by"
"15","matthew"
"16","p"
"17","landers"
"18","november"
"19","i"
"20","appreciate"
"21","the"
"22","opportunity"
"23","to"
"24","report"
"25","to"
"26","you"
"27","again"
"28","on"
"29","the"
"30","activities"
"31","of"
"32","the"
"33","tax"
"34","policy"
"35","committee"
"36","since"
"37","the"
"38","vice"
"39","chairman"
"40","of"
"41","our"
"42","committee"
"43","frederick"
"44","barbour"
"45","of"
"46","rohm"
"47","and"
"48","haas"
"49","reported"
"50","to"
"51","you"
"52","in"
"53","september"
"54","of"
"55","we"
"56","have"
"57","been"
"58","concerned"
"59","primarily"
"60","with"
"61","the"
"62","legislative"
"63","activity"
"64","which"
"65","led"
"66","up"
"67","to"
"68","enactment"
"69","of"
"70","the"
"71","tax"
"72","reform"
"73","act"
"74","of"
"75","on"
"76","october"
"77","last"
"78","year"
"79","when"
"80","the"
"81","house"
"82","ways"
"83","and"
"84","means"
"85","committee"
"86","conducted"
"87","ts"
"88","h"
"89","aring"
"90","on"
"91","tax"
"92","reform"
"93","i"
"94","had"
"95","the"
"96","honor"
"97","to"
"98","testify"
"99","on"
"100","behalf"
"101","fj"
"102","th"
"103","association"
"104","after"
"105","passing"
"106","the"
"107","house"
"108","late"
"109","in"
"110","the"
"111","tax"
"112","reform"
"113","act"
"114","was"
"115","referred"
"116","to"
"117","the"
"118","senate"
"119","where"
"120","it"
"121","underwent"
"122","hearings"
"123","in"
"124","the"
"125","senate"
"126","finance"
"127","committee"
"128","this"
"129","past"
"130","spring"
"131","at"
"132","that"
"133","time"
"134","as"
"135","you"
"136","will"
"137","recall"
"138","mr"
"139","f"
"140","perry"
"141","wilson"
"142","chairman"
"143","of"
"144","the"
"145","board"
"146","of"
"147","union"
"148","carbide"
"149","appeared"
"150","on"
"151","behalf"
"152","of"
"153","the"
"154","association"
"155","our"
"156","testimony"
"157","before"
"158","both"
"159","committees"
"160","was"
"161","devoted"
"162","to"
"163","two"
"164","principal"
"165","areas"
"166","namely"
"167","capital"
"168","formation"
"169","and"
"170","taxation"
"171","of"
"172","foreign"
