"","dictionary"
"1","exhibit"
"2","e"
"3","report"
"4","to"
"5","the"
"6","board"
"7","of"
"8","directors"
"9","manufacturing"
"10","chemists"
"11","association"
"12","dennis"
"13","p"
"14","bridge"
"15","chairman"
"16","solid"
"17","wastes"
"18","management"
"19","committee"
"20","april"
"21","the"
"22","primary"
"23","solid"
"24","wastes"
"25","management"
"26","committee"
"27","swmc"
"28","concern"
"29","is"
"30","for"
"31","legislative"
"32","proposals"
"33","for"
"34","socalled"
"35","hazardous"
"36","waste"
"37","materials"
"38","for"
"39","the"
"40","last"
"41","several"
"42","years"
"43","the"
"44","swmc"
"45","reports"
"46","have"
"47","indicated"
"48","legislative"
"49","activity"
"50","during"
"51","the"
"52","previous"
"53","year"
"54","and"
"55","the"
"56","expectation"
"57","of"
"58","restrictive"
"59","legislation"
"60","the"
"61","following"
"62","year"
"63","al­"
"64","though"
"65","i"
"66","am"
"67","pleased"
"68","to"
"69","say"
"70","that"
"71","these"
"72","forebodings"
"73","have"
"74","not"
"75","come"
"76","to"
"77","pass"
"78","i"
"79","quickly"
"80","note"
"81","that"
"82","the"
"83","current"
"84","situation"
"85","is"
"86","quite"
"87","similar"
"88","to"
"89","that"
"90","of"
"91","past"
"92","years"
"93","legislation"
"94","may"
"95","well"
"96","be"
"97","passed"
"98","during"
"99","this"
"100","election"
"101","year"
"102","the"
"103","first"
"104","significant"
"105","act"
"106","dealing"
"107","with"
"108","solid"
"109","waste"
"110","was"
"111","passed"
"112","in"
"113","and"
"114","the"
"115","second"
"116","legislative"
"117","action"
"118","followed"
"119","in"
"120","during"
"121","there"
"122","was"
"123","legislative"
"124","activity"
"125","in"
"126","this"
"127","area"
"128","and"
"129","assuming"
"130","five"
"131","years"
"132","to"
"133","be"
"134","a"
"135","reasonable"
"136","gestation"
"137","period"
"138","could"
"139","be"
"140","the"
"141","year"
"142","this"
"143","legislation"
"144","will"
"145","not"
"146","be"
"147","as"
"148","far"
"149","reaching"
"150","as"
"151","that"
"152","being"
"153","proposed"
"154","for"
"155","toxic"
"156","substances"
"157","but"
"158","it"
"159","will"
"160","significantly"
"161","impact"
"162","chemical"
"163","process"
"164","industry"
"165","cpi"
"166","operations"
"167","since"
"168","the"
"169","last"
"170","swmc"
"171","report"
"172","to"
"173","the"
"174","board"
"175","there"
"176","have"
"177","been"
"178","nine"
"179","major"
"180","legislative"
"181","proposals"
"182","either"
"183","actual"
"184","bills"
"185","or"
"186","working"
"187","drafts"
"188","concerning"
"189","solid"
"190","waste"
"191","of"
"192","these"
"193","the"
"194","senate"
"195","public"
"196","works"
