"","dictionary"
"1","cma"
"2","has"
"3","sent"
"4","to"
"5","every"
"6","senator"
"7","and"
"8","every"
"9","house"
"10","member"
"11","a"
"12","letter"
"13","in"
"14","opposition"
"15","to"
"16","freezing"
"17","of"
"18","natural"
"19","gas"
"20","wellhead"
"21","prices"
"22","and"
"23","extending"
"24","of"
"25","price"
"26","controls"
"27","as"
"28","part"
"29","of"
"30","a"
"31","coalition"
"32","effort"
"33","we"
"34","are"
"35","also"
"36","meeting"
"37","with"
"38","key"
"39","senators"
"40","to"
"41","discuss"
"42","the"
"43","deficiencies"
"44","of"
"45","existing"
"46","law"
"47","regarding"
"48","natural"
"49","gas"
"50","and"
"51","the"
"52","need"
"53","to"
"54","deal"
"55","with"
"56","natural"
"57","gas"
"58","issues"
"59","in"
"60","a"
"61","comprehensive"
"62","manner"
"63","in"
"64","the"
"65","next"
"66","congress"
"67","environment"
"68","clean"
"69","air"
"70","act"
"71","amendment"
"72","unlikely"
"73","in"
"74","the"
"75","congressional"
"76","postelection"
"77","session"
"78","there"
"79","has"
"80","been"
"81","no"
"82","action"
"83","on"
"84","amendments"
"85","to"
"86","the"
"87","clean"
"88","air"
"89","act"
"90","despite"
"91","statements"
"92","by"
"93","president"
"94","reagan"
"95","and"
"96","administration"
"97","officials"
"98","that"
"99","continue"
"100","to"
"101","cite"
"102","this"
"103","as"
"104","a"
"105","top"
"106","economic"
"107","priority"
"108","white"
"109","house"
"110","pressure"
"111","for"
"112","a"
"113","bill"
"114","has"
"115","not"
"116","materialized"
"117","senate"
"118","majority"
"119","leader"
"120","howard"
"121","baker"
"122","and"
"123","other"
"124","senate"
"125","leaders"
"126","interested"
"127","in"
"128","clean"
"129","air"
"130","act"
"131","amendment"
"132","needed"
"133","to"
"134","be"
"135","convinced"
"136","by"
"137","the"
"138","white"
"139","house"
"140","not"
"141","just"
"142","industry"
"143","that"
"144","passage"
"145","of"
"146","a"
"147","bill"
"148","this"
"149","year"
"150","is"
"151","essential"
"152","but"
"153","several"
"154","very"
"155","controversial"
"156","issues"
"157","made"
"158","agreement"
"159","on"
"160","a"
"161","short"
"162","bill"
"163","impossible"
"164","thus"
"165","the"
"166","only"
"167","senate"
"168","vehicle"
"169","continues"
"170","to"
"171","be"
"172","the"
"173","unsatisfactory"
"174","bill"
"175","reported"
"176","november"
"177","by"
"178","the"
"179","senate"
"180","environment"
"181","and"
"182","public"
"183","works"
"184","committee"
"185","s"
"186","report"
"187","no"
"188","this"
"189","bill"
"190","otherwise"
"191","known"
"192","as"
"193","the"
"194","stafford"
"195","bill"
"196","is"
"197","opposed"
"198","by"
"199","the"
"200","industry"
"201","coalition"
"202","as"
"203","well"
"204","as"
"205","the"
"206","administration"
"207","the"
"208","section"
"209","hazardous"
"210","air"
"211","pollutant"
"212","acid"
"213","rain"
"214","and"
"215","psd"
"216","prevention"
"217","of"
"218","significant"
"219","deterioration"
"220","provisions"
"221","are"
"222","especially"
"223","damaging"
"224","since"
"225","the"
"226","november"
"227","reelection"
"228","of"
"229","environment"
"230","committee"
"231","chairman"
"232","robert"
"233","stafford"
"234","rvt"
"235","who"
"236","would"
"237","shepherd"
"238","s"
"239","on"
"240","the"
"241","senate"
"242","floor"
"243","he"
"244","has"
"245","shown"
"246","no"
"247","interest"
"248","in"
"249","further"
"250","consideration"
"251","there"
"252","already"
"253","are"
"254","indications"
"255","that"
"256","environment"
"257","committee"
"258","staff"
"259","are"
"260","preparing"
"261","improvements"
"262","for"
"263","the"
"264","bill"
"265","next"
"266","year"
"267","the"
"268","senate"
"269","committees"
"270","loss"
"271","of"
"272","two"
"273","northwestern"
"274","members"
"275","replaced"
"276","by"
"277","another"
"278","new"
"279","englander"
"280","and"
"281","a"
"282","midwesterner"
"283","probably"
"284","will"
"285","be"
"286","helpful"
"287","to"
"288","industry"
"289","next"
"290","year"
"291","in"
"292","the"
"293","house"
"294","the"
"295","industry"
"296","and"
"297","administrationsupported"
"298","luken"
"299","bill"
"300","hr"
"301","severely"
"302","damaged"
"303","during"
"304","markup"
"305","relative"
"306","to"
"307","psd"
"308","and"
"309","section"
"310","has"
"311","been"
"312","pending"
"313","in"
"314","the"
"315","energy"
"316","and"
"317","commerce"
"318","committee"
"319","since"
"320","august"
"321","in"
"322","the"
"323","new"
"324","congress"
"325","it"
"326","is"
"327","unclear"
"328","whether"
"329","the"
"330","committee"
"331","balance"
"332","of"
"333","power"
"334","will"
"335","remain"
"336","the"
"337","same"
"338","or"
"339","how"
"340","and"
"341","when"
"342","a"
"343","comprehensive"
"344","clean"
"345","air"
"346","bill"
"347","might"
"348","be"
"349","introduced"
"350","furthermore"
"351","we"
"352","do"
"353","not"
"354","know"
"355","whether"
"356","congressman"
"357","james"
"358","broyhill"
"359","rnc"
"360","can"
"361","continue"
"362","to"
"363","prevent"
"364","passage"
"365","of"
"366","a"
"367","committee"
"368","bill"
"369","containing"
"370","adverse"
"371","psd"
"372","cma"
"373","or"
"374","section"
"375","provisions"
"376","we"
"377","do"
"378","know"
"379","that"
"380","congressman"
"381","billy"
"382","tauzin"
"383","dla"
"384","intends"
"385","to"
"386","actively"
"387","address"
"388","section"
"389","again"
"390","tauzin"
"391","cosponsored"
"392","with"
"393","congressman"
"394","james"
"395","florio"
"396","dmj"
"397","the"
"398","section"
"399","automatic"
"400","listingdelisting"
"401","amendment"
"402","to"
"403","hr"
"404","it"
"405","is"
"406","entirely"
"407","possible"
"408","that"
"409","this"
"410","committee"
"411","will"
"412","have"
"413","an"
"414","even"
"415","stronger"
"416","environmental"
"417","tilt"
"418","next"
"419","year"
"420","i"
"421","i"
"422","by"
"423","mid"
"424","the"
"425","effort"
"426","will"
"427","be"
"428","made"
"429","to"
"430","pass"
"431","some"
"432","type"
"433","of"
"434","clean"
"435","air"
"436","act"
"437","amendment"
"438","in"
"439","order"
"440","to"
"441","stave"
"442","off"
"443","epa"
"444","enforcement"
"445","of"
"446","sanctions"
"447","in"
"448","areas"
"449","not"
"450","attaining"
"451","primary"
"452","ambient"
"453","air"
"454","quality"
"455","standards"
"456","these"
"457","sanctions"
"458","including"
"459","construction"
"460","bans"
"461","and"
"462","withholding"
"463","of"
"464","federal"
"465","funds"
"466","for"
"467","transporta­"
"468","tion"
"469","and"
"470","sewage"
"471","treatment"
"472","projects"
"473","become"
"474","effective"
"475","december"
"476","but"
"477","are"
"478","not"
"479","immediately"
"480","enforceable"
"481","environment"
"482","clean"
"483","water"
"484","act"
"485","amendments"
"486","stmjed"
"487","f"
"488","earlier"
"489","this"
"490","year"
"491","epa"
"492","leaders"
"493","determined"
"494","there"
"495","was"
"496","not"
"497","enough"
"498","time"
"499","for"
"500","congress"
"501","to"
"502","consider"
"503","a"
"504","comprehensive"
"505","package"
"506","of"
"507","clean"
"508","water"
"509","act"
"510","amendments"
"511","that"
"512","they"
"513","had"
"514","proposed"
"515","as"
"516","a"
"517","result"
"518","the"
"519","agency"
"520","advanced"
"521","a"
"522","set"
"523","of"
"524","scaleddown"
"525","amendments"
"526","in"
"527","the"
