"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","0","0","0","0","exhibit","0","0","0","0","exhibit","TRUE"
"2","0","0","0","0","c","0","0","0","0","c","TRUE"
"3","*","*","exhibit","c","upon","by","the","unmamn","f","report","FALSE"
"4","0","0","0","0","by","0","0","0","0","by","TRUE"
"5","0","0","0","0","the","0","0","0","0","the","TRUE"
"6","c","upon","by","the","unmamn","f","sovmmmm","relations","william","director","FALSE"
"7","0","0","0","0","f","0","0","0","0","of","TRUE"
"8","by","the","unmamn","f","sovmmmm","relations","william","m","stover","government","FALSE"
"9","0","0","0","0","relations","0","0","0","0","relations","TRUE"
"10","0","0","0","0","william","0","0","0","0","william","TRUE"
"11","0","0","0","0","m","0","0","0","0","m","TRUE"
"12","0","0","0","0","stover","0","0","0","0","stover","TRUE"
"13","0","0","0","0","january","0","0","0","0","january","TRUE"
"14","0","0","0","0","ullman","0","0","0","0","ullman","TRUE"
"15","0","0","0","0","at","0","0","0","0","at","TRUE"
"16","0","0","0","0","the","0","0","0","0","the","TRUE"
"17","0","0","0","0","chemical","0","0","0","0","chemical","TRUE"
"18","ullman","at","the","chemical","mum","featured","speaker","at","todays","forum","FALSE"
"19","0","0","0","0","featured","0","0","0","0","featured","TRUE"
"20","0","0","0","0","speaker","0","0","0","0","speaker","TRUE"
"21","0","0","0","0","at","0","0","0","0","at","TRUE"
"22","0","0","0","0","todays","0","0","0","0","todays","TRUE"
"23","0","0","0","0","chemical","0","0","0","0","chemical","TRUE"
"24","speaker","at","todays","chemical","mum","luncheon","will","be","the","forum","FALSE"
"25","0","0","0","0","luncheon","0","0","0","0","luncheon","TRUE"
"26","0","0","0","0","will","0","0","0","0","will","TRUE"
"27","0","0","0","0","be","0","0","0","0","be","TRUE"
"28","0","0","0","0","the","0","0","0","0","the","TRUE"
"29","0","0","0","0","honorable","0","0","0","0","honorable","TRUE"
"30","will","be","the","honorable","al","ullman","bfored","chalrman","of","a","FALSE"
"31","0","0","0","0","ullman","0","0","0","0","uliman","TRUE"
"32","the","honorable","al","ullman","bfored","chalrman","of","the","house","dore","FALSE"
"33","0","0","0","0","chalrman","0","0","0","0","chairman","TRUE"
"34","0","0","0","0","of","0","0","0","0","of","TRUE"
"35","0","0","0","0","the","0","0","0","0","the","TRUE"
"36","0","0","0","0","house","0","0","0","0","house","TRUE"
"37","0","0","0","0","ways","0","0","0","0","ways","TRUE"
"38","0","0","0","0","and","0","0","0","0","and","TRUE"
"39","0","0","0","0","means","0","0","0","0","means","TRUE"
"40","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
"41","ways","and","means","commlttee","slnce","replaclng","wllbur","m","as","since","FALSE"
"42","0","0","0","0","replaclng","0","0","0","0","replacing","TRUE"
"43","0","0","0","0","wllbur","0","0","0","0","wilbur","TRUE"
"44","0","0","0","0","m","0","0","0","0","mills","TRUE"
"45","0","0","0","0","as","0","0","0","0","as","TRUE"
"46","0","0","0","0","leader","0","0","0","0","leader","TRUE"
"47","0","0","0","0","of","0","0","0","0","of","TRUE"
"48","m","as","leader","of","thls","powerful","commlttee","n","mr","this","FALSE"
"49","0","0","0","0","powerful","0","0","0","0","powerful","TRUE"
"50","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
"51","0","0","0","0","n","0","0","0","0","in","TRUE"
"52","0","0","0","0","mr","0","0","0","0","mr","TRUE"
"53","0","0","0","0","ullman","0","0","0","0","ullman","TRUE"
"54","0","0","0","0","has","0","0","0","0","has","TRUE"
"55","0","0","0","0","succeeded","0","0","0","0","succeeded","TRUE"
"56","0","0","0","0","n","0","0","0","0","in","TRUE"
"57","0","0","0","0","puttlng","0","0","0","0","putting","TRUE"
"58","0","0","0","0","crltlcal","0","0","0","0","critical","TRUE"
"59","0","0","0","0","lssues","0","0","0","0","issues","TRUE"
"60","0","0","0","0","of","0","0","0","0","of","TRUE"
"61","0","0","0","0","tax","0","0","0","0","tax","TRUE"
"62","crltlcal","lssues","of","tax","refom","trade","regulatlon","energy","conseri","reform","FALSE"
"63","0","0","0","0","trade","0","0","0","0","trade","TRUE"
"64","0","0","0","0","regulatlon","0","0","0","0","regulation","TRUE"
"65","0","0","0","0","energy","0","0","0","0","energy","TRUE"
"66","0","0","0","0","conseri","0","0","0","0","conser","TRUE"
"67","0","0","0","0","vatlon","0","0","0","0","vation","TRUE"
"68","0","0","0","0","penslon","0","0","0","0","pension","TRUE"
"69","0","0","0","0","reform","0","0","0","0","reform","TRUE"
"70","0","0","0","0","and","0","0","0","0","and","TRUE"
"71","vatlon","penslon","reform","and","congresslonal","budget","he","within","the","congressional","FALSE"
"72","0","0","0","0","budget","0","0","0","0","budget","TRUE"
"73","0","0","0","0","he","0","0","0","0","lie","TRUE"
"74","0","0","0","0","within","0","0","0","0","within","TRUE"
"75","0","0","0","0","the","0","0","0","0","the","TRUE"
"76","budget","he","within","the","jurlsdlctlon","of","ways","and","means","jurisdiction","FALSE"
"77","0","0","0","0","of","0","0","0","0","of","TRUE"
"78","0","0","0","0","ways","0","0","0","0","ways","TRUE"
"79","0","0","0","0","and","0","0","0","0","and","TRUE"
"80","0","0","0","0","means","0","0","0","0","means","TRUE"
"81","0","0","0","0","most","0","0","0","0","most","TRUE"
"82","0","0","0","0","central","0","0","0","0","central","TRUE"
"83","0","0","0","0","to","0","0","0","0","to","TRUE"
"84","0","0","0","0","our","0","0","0","0","our","TRUE"
"85","0","0","0","0","nterests","0","0","0","0","interests","TRUE"
"86","0","0","0","0","today","0","0","0","0","today","TRUE"
"87","0","0","0","0","will","0","0","0","0","will","TRUE"
"88","0","0","0","0","be","0","0","0","0","be","TRUE"
"89","0","0","0","0","congressman","0","0","0","0","congressman","TRUE"
"90","0","0","0","0","ullmans","0","0","0","0","ullmans","TRUE"
"91","0","0","0","0","comments","0","0","0","0","comments","TRUE"
"92","0","0","0","0","on","0","0","0","0","on","TRUE"
"93","0","0","0","0","the","0","0","0","0","the","TRUE"
"94","ullmans","comments","on","the","forthcomlng","the","audlence","at","the","forthcoming","FALSE"
"95","0","0","0","0","the","0","0","0","0","the","TRUE"
"96","0","0","0","0","audlence","0","0","0","0","audience","TRUE"
"97","0","0","0","0","at","0","0","0","0","at","TRUE"
"98","0","0","0","0","the","0","0","0","0","the","TRUE"
