"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","*","*","*","*","dentlfy","leglslatlve","lssues","whlch","best","identify","FALSE"
"2","0","0","0","0","leglslatlve","0","0","0","0","legislative","TRUE"
"3","*","*","dentlfy","leglslatlve","lssues","whlch","best","lend","them","issues","FALSE"
"4","*","dentlfy","leglslatlve","lssues","whlch","best","lend","them","selves","which","FALSE"
"5","0","0","0","0","best","0","0","0","0","best","TRUE"
"6","0","0","0","0","lend","0","0","0","0","lend","TRUE"
"7","0","0","0","0","them","0","0","0","0","them","TRUE"
"8","0","0","0","0","selves","0","0","0","0","selves","TRUE"
"9","0","0","0","0","m","0","0","0","0","to","TRUE"
"10","0","0","0","0","constltuent","0","0","0","0","constituent","TRUE"
"11","them","selves","m","constltuent","communlcatlons","dentlfy","communlcatlons","lssues","from","communications","FALSE"
"12","selves","m","constltuent","communlcatlons","dentlfy","communlcatlons","lssues","from","a","identify","FALSE"
"13","m","constltuent","communlcatlons","dentlfy","communlcatlons","lssues","from","a","mm","communications","FALSE"
"14","constltuent","communlcatlons","dentlfy","communlcatlons","lssues","from","a","mm","perspectlve","issues","FALSE"
"15","0","0","0","0","from","0","0","0","0","from","TRUE"
"16","0","0","0","0","a","0","0","0","0","a","TRUE"
"17","communlcatlons","lssues","from","a","mm","perspectlve","survey","the","constltuent","similar","FALSE"
"18","0","0","0","0","perspectlve","0","0","0","0","perspective","TRUE"
"19","0","0","0","0","survey","0","0","0","0","survey","TRUE"
"20","0","0","0","0","the","0","0","0","0","the","TRUE"
"21","0","0","0","0","constltuent","0","0","0","0","constituent","TRUE"
"22","0","0","0","0","contacts","0","0","0","0","contacts","TRUE"
"23","0","0","0","0","capabilities","0","0","0","0","capabilities","TRUE"
"24","0","0","0","0","of","0","0","0","0","of","TRUE"
"25","0","0","0","0","member","0","0","0","0","member","TRUE"
"26","0","0","0","0","companles","0","0","0","0","companies","TRUE"
"27","capabilities","of","member","companles","dentlfy","congresslonal","commlttees","whlch","handle","identify","FALSE"
"28","of","member","companles","dentlfy","congresslonal","commlttees","whlch","handle","the","congressional","FALSE"
"29","0","0","0","0","commlttees","0","0","0","0","committees","TRUE"
"30","companles","dentlfy","congresslonal","commlttees","whlch","handle","the","most","mportant","which","FALSE"
"31","0","0","0","0","handle","0","0","0","0","handle","TRUE"
"32","0","0","0","0","the","0","0","0","0","the","TRUE"
"33","0","0","0","0","most","0","0","0","0","most","TRUE"
"34","0","0","0","0","mportant","0","0","0","0","important","TRUE"
"35","handle","the","most","mportant","mus","develop","more","detalled","home","bills","FALSE"
"36","0","0","0","0","develop","0","0","0","0","develop","TRUE"
"37","0","0","0","0","more","0","0","0","0","more","TRUE"
"38","0","0","0","0","detalled","0","0","0","0","detailed","TRUE"
"39","0","0","0","0","home","0","0","0","0","home","TRUE"
"40","0","0","0","0","dlstrlct","0","0","0","0","district","TRUE"
"41","0","0","0","0","data","0","0","0","0","data","TRUE"
"42","0","0","0","0","on","0","0","0","0","on","TRUE"
"43","0","0","0","0","congressmenwho","0","0","0","0","congressmenwho","TRUE"
"44","0","0","0","0","serve","0","0","0","0","serve","TRUE"
"45","0","0","0","0","on","0","0","0","0","on","TRUE"
"46","0","0","0","0","key","0","0","0","0","key","TRUE"
"47","0","0","0","0","commlttees","0","0","0","0","committees","TRUE"
"48","0","0","0","0","develop","0","0","0","0","develop","TRUE"
"49","0","0","0","0","a","0","0","0","0","a","TRUE"
"50","key","commlttees","develop","a","votlng","record","evaluatlon","of","key","voting","FALSE"
"51","0","0","0","0","record","0","0","0","0","record","TRUE"
"52","0","0","0","0","evaluatlon","0","0","0","0","evaluation","TRUE"
"53","0","0","0","0","of","0","0","0","0","of","TRUE"
"54","0","0","0","0","key","0","0","0","0","key","TRUE"
"55","0","0","0","0","mem","0","0","0","0","mem","TRUE"
"56","0","0","0","0","bers","0","0","0","0","bers","TRUE"
"57","0","0","0","0","of","0","0","0","0","of","TRUE"
"58","0","0","0","0","congress","0","0","0","0","congress","TRUE"
"59","mem","bers","of","congress","cm","cm","exhibit","a","supplement","cma","FALSE"
"60","bers","of","congress","cm","cm","exhibit","a","supplement","by","cma","FALSE"
"61","0","0","0","0","exhibit","0","0","0","0","exhibit","TRUE"
"62","0","0","0","0","a","0","0","0","0","c","TRUE"
"63","0","0","0","0","supplement","0","0","0","0","supplement","TRUE"
"64","0","0","0","0","by","0","0","0","0","by","TRUE"
"65","0","0","0","0","robert","0","0","0","0","robert","TRUE"
"66","0","0","0","0","e","0","0","0","0","e","TRUE"
"67","0","0","0","0","hampton","0","0","0","0","hampton","TRUE"
"68","0","0","0","0","chairman","0","0","0","0","chairman","TRUE"
"69","0","0","0","0","government","0","0","0","0","government","TRUE"
"70","0","0","0","0","relations","0","0","0","0","relations","TRUE"
"71","0","0","0","0","committee","0","0","0","0","committee","TRUE"
"72","0","0","0","0","august","0","0","0","0","august","TRUE"
"73","0","0","0","0","i","0","0","0","0","i","TRUE"
"74","0","0","0","0","am","0","0","0","0","am","TRUE"
"75","0","0","0","0","pleased","0","0","0","0","pleased","TRUE"
"76","0","0","0","0","to","0","0","0","0","to","TRUE"
"77","0","0","0","0","have","0","0","0","0","have","TRUE"
"78","0","0","0","0","thls","0","0","0","0","this","TRUE"
"79","0","0","0","0","opportunlty","0","0","0","0","opportunity","TRUE"
"80","0","0","0","0","to","0","0","0","0","to","TRUE"
"81","0","0","0","0","present","0","0","0","0","present","TRUE"
"82","0","0","0","0","the","0","0","0","0","the","TRUE"
"83","0","0","0","0","annual","0","0","0","0","annual","TRUE"
"84","0","0","0","0","grc","0","0","0","0","grc","TRUE"
"85","0","0","0","0","report","0","0","0","0","report","TRUE"
"86","0","0","0","0","x","0","0","0","0","x","TRUE"
"87","0","0","0","0","would","0","0","0","0","would","TRUE"
"88","0","0","0","0","llke","0","0","0","0","like","TRUE"
"89","0","0","0","0","to","0","0","0","0","to","TRUE"
"90","0","0","0","0","call","0","0","0","0","call","TRUE"
"91","0","0","0","0","your","0","0","0","0","your","TRUE"
"92","0","0","0","0","attentlon","0","0","0","0","attention","TRUE"
"93","0","0","0","0","m","0","0","0","0","to","TRUE"
"94","0","0","0","0","the","0","0","0","0","the","TRUE"
"95","your","attentlon","m","the","wrltten","report","prevlously","d","trlbuted","written","FALSE"
"96","0","0","0","0","report","0","0","0","0","report","TRUE"
"97","0","0","0","0","prevlously","0","0","0","0","previously","TRUE"
"98","0","0","0","0","d","0","0","0","0","dis","TRUE"
"99","0","0","0","0","trlbuted","0","0","0","0","tributed","TRUE"
"100","0","0","0","0","to","0","0","0","0","to","TRUE"
"101","0","0","0","0","you","0","0","0","0","you","TRUE"
"102","d","trlbuted","to","you","partlcularly","sectlon","v","commlttee","dbjectlves","particularly","FALSE"
"103","0","0","0","0","sectlon","0","0","0","0","section","TRUE"
"104","0","0","0","0","v","0","0","0","0","v","TRUE"
"105","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
"106","partlcularly","sectlon","v","commlttee","dbjectlves","and","progress","sectlon","v","objectives","FALSE"
"107","0","0","0","0","and","0","0","0","0","and","TRUE"
"108","0","0","0","0","progress","0","0","0","0","progress","TRUE"
"109","0","0","0","0","sectlon","0","0","0","0","section","TRUE"
"110","0","0","0","0","v","0","0","0","0","vi","TRUE"
"111","0","0","0","0","keymens","0","0","0","0","keymens","TRUE"
"112","0","0","0","0","report","0","0","0","0","report","TRUE"
"113","0","0","0","0","on","0","0","0","0","on","TRUE"
"114","0","0","0","0","the","0","0","0","0","the","TRUE"
"115","0","0","0","0","substantlve","0","0","0","0","substantive","TRUE"
"116","0","0","0","0","issues","0","0","0","0","issues","TRUE"
"117","0","0","0","0","and","0","0","0","0","and","TRUE"
"118","0","0","0","0","sectlon","0","0","0","0","section","TRUE"
"119","0","0","0","0","v","0","0","0","0","vii","TRUE"
