"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","*","*","*","*","exhlblt","a","fry","manufacturing","chemists","exhibit","FALSE"
"2","0","0","0","0","a","0","0","0","0","h","TRUE"
"3","0","0","0","0","fry","0","0","0","0","fry","TRUE"
"4","0","0","0","0","manufacturing","0","0","0","0","manufacturing","TRUE"
"5","0","0","0","0","chemists","0","0","0","0","chemists","TRUE"
"6","0","0","0","0","association","0","0","0","0","association","TRUE"
"7","0","0","0","0","by","0","0","0","0","by","TRUE"
"8","0","0","0","0","r","0","0","0","0","r","TRUE"
"9","0","0","0","0","e","0","0","0","0","e","TRUE"
"10","0","0","0","0","phillips","0","0","0","0","phillips","TRUE"
"11","0","0","0","0","chairman","0","0","0","0","chairman","TRUE"
"12","0","0","0","0","transportation","0","0","0","0","transportation","TRUE"
"13","0","0","0","0","equipment","0","0","0","0","equipment","TRUE"
"14","0","0","0","0","committee","0","0","0","0","committee","TRUE"
"15","0","0","0","0","may","0","0","0","0","may","TRUE"
"16","0","0","0","0","comprlsed","0","0","0","0","comprised","TRUE"
"17","0","0","0","0","of","0","0","0","0","of","TRUE"
"18","committee","may","comprlsed","of","representatlves","of","member","companles","and","representatives","FALSE"
"19","0","0","0","0","of","0","0","0","0","of","TRUE"
"20","0","0","0","0","member","0","0","0","0","member","TRUE"
"21","0","0","0","0","companles","0","0","0","0","companies","TRUE"
"22","0","0","0","0","and","0","0","0","0","and","TRUE"
"23","0","0","0","0","handles","0","0","0","0","handles","TRUE"
"24","member","companles","and","handles","technlcal","and","technlcally","related","problems","technical","FALSE"
"25","0","0","0","0","and","0","0","0","0","and","TRUE"
"26","0","0","0","0","technlcally","0","0","0","0","technically","TRUE"
"27","0","0","0","0","related","0","0","0","0","related","TRUE"
"28","0","0","0","0","problems","0","0","0","0","problems","TRUE"
"29","and","technlcally","related","problems","havlng","to","do","mm","the","having","FALSE"
"30","0","0","0","0","to","0","0","0","0","to","TRUE"
"31","0","0","0","0","do","0","0","0","0","do","TRUE"
"32","problems","havlng","to","do","mm","the","transportatlon","of","chemlcals","with","FALSE"
"33","0","0","0","0","the","0","0","0","0","the","TRUE"
"34","to","do","mm","the","transportatlon","of","chemlcals","by","tank","transportation","FALSE"
"35","0","0","0","0","of","0","0","0","0","of","TRUE"
"36","mm","the","transportatlon","of","chemlcals","by","tank","car","tank","chemicals","FALSE"
"37","0","0","0","0","by","0","0","0","0","by","TRUE"
"38","0","0","0","0","tank","0","0","0","0","tank","TRUE"
"39","0","0","0","0","car","0","0","0","0","car","TRUE"
"40","0","0","0","0","tank","0","0","0","0","tank","TRUE"
"41","0","0","0","0","truck","0","0","0","0","truck","TRUE"
"42","0","0","0","0","portable","0","0","0","0","portable","TRUE"
"43","0","0","0","0","and","0","0","0","0","and","TRUE"
"44","tank","truck","portable","and","ntemodal","tank","barge","and","bulk","intermodal","FALSE"
"45","0","0","0","0","tank","0","0","0","0","tank","TRUE"
"46","0","0","0","0","barge","0","0","0","0","barge","TRUE"
"47","0","0","0","0","and","0","0","0","0","and","TRUE"
"48","0","0","0","0","bulk","0","0","0","0","bulk","TRUE"
"49","0","0","0","0","ship","0","0","0","0","ship","TRUE"
"50","0","0","0","0","to","0","0","0","0","to","TRUE"
"51","and","bulk","ship","to","accompllsh","thls","task","three","the","accomplish","FALSE"
"52","bulk","ship","to","accompllsh","thls","task","three","the","chalrmen","this","FALSE"
"53","0","0","0","0","task","0","0","0","0","task","TRUE"
"54","0","0","0","0","three","0","0","0","0","three","TRUE"
"55","0","0","0","0","the","0","0","0","0","the","TRUE"
"56","thls","task","three","the","chalrmen","of","these","groups","are","chairmen","FALSE"
"57","0","0","0","0","of","0","0","0","0","of","TRUE"
"58","0","0","0","0","these","0","0","0","0","these","TRUE"
"59","0","0","0","0","groups","0","0","0","0","groups","TRUE"
"60","0","0","0","0","are","0","0","0","0","are","TRUE"
"61","0","0","0","0","e","0","0","0","0","e","TRUE"
"62","0","0","0","0","g","0","0","0","0","g","TRUE"
"63","0","0","0","0","hansen","0","0","0","0","hansen","TRUE"
"64","are","e","g","hansen","duponty","v","a","goodwln","exxon","dupont","FALSE"
"65","0","0","0","0","v","0","0","0","0","v","TRUE"
"66","0","0","0","0","a","0","0","0","0","h","TRUE"
"67","hansen","duponty","v","a","goodwln","exxon","and","we","operate","goodwin","FALSE"
"68","0","0","0","0","exxon","0","0","0","0","exxon","TRUE"
"69","0","0","0","0","and","0","0","0","0","and","TRUE"
"70","0","0","0","0","we","0","0","0","0","we","TRUE"
"71","0","0","0","0","operate","0","0","0","0","operate","TRUE"
"72","0","0","0","0","under","0","0","0","0","under","TRUE"
"73","0","0","0","0","rules","0","0","0","0","rules","TRUE"
"74","0","0","0","0","of","0","0","0","0","of","TRUE"
"75","operate","under","rules","of","practlce","as","by","the","mca","practice","FALSE"
"76","0","0","0","0","as","0","0","0","0","as","TRUE"
"77","0","0","0","0","by","0","0","0","0","by","TRUE"
"78","0","0","0","0","the","0","0","0","0","the","TRUE"
"79","0","0","0","0","mca","0","0","0","0","mca","TRUE"
"80","0","0","0","0","board","0","0","0","0","board","TRUE"
"81","0","0","0","0","approved","0","0","0","0","approved","TRUE"
"82","the","mca","board","approved","englneers","and","we","have","an","engineers","FALSE"
"83","0","0","0","0","and","0","0","0","0","and","TRUE"
"84","0","0","0","0","we","0","0","0","0","we","TRUE"
"85","0","0","0","0","have","0","0","0","0","have","TRUE"
"86","0","0","0","0","an","0","0","0","0","an","TRUE"
"87","0","0","0","0","assoclate","0","0","0","0","associate","TRUE"
"88","0","0","0","0","member","0","0","0","0","member","TRUE"
"89","0","0","0","0","from","0","0","0","0","from","TRUE"
"90","0","0","0","0","the","0","0","0","0","the","TRUE"
"91","0","0","0","0","bureau","0","0","0","0","bureau","TRUE"
"92","0","0","0","0","of","0","0","0","0","of","TRUE"
"93","from","the","bureau","of","exploslves","the","ma","chalrman","represents","explosives","FALSE"
"94","0","0","0","0","the","0","0","0","0","the","TRUE"
"95","bureau","of","exploslves","the","ma","chalrman","represents","the","mca","tec","FALSE"
"96","of","exploslves","the","ma","chalrman","represents","the","mca","as","chairman","FALSE"
"97","0","0","0","0","represents","0","0","0","0","represents","TRUE"
"98","0","0","0","0","the","0","0","0","0","the","TRUE"
"99","0","0","0","0","mca","0","0","0","0","mca","TRUE"
"100","0","0","0","0","as","0","0","0","0","as","TRUE"
"101","0","0","0","0","a","0","0","0","0","a","TRUE"
"102","0","0","0","0","member","0","0","0","0","member","TRUE"
"103","0","0","0","0","of","0","0","0","0","of","TRUE"
"104","0","0","0","0","the","0","0","0","0","the","TRUE"
"105","0","0","0","0","aar","0","0","0","0","aar","TRUE"
"106","0","0","0","0","tank","0","0","0","0","tank","TRUE"
"107","0","0","0","0","car","0","0","0","0","car","TRUE"
"108","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
"109","0","0","0","0","we","0","0","0","0","we","TRUE"
"110","0","0","0","0","have","0","0","0","0","have","TRUE"
"111","0","0","0","0","a","0","0","0","0","a","TRUE"
"112","commlttee","we","have","a","volce","on","the","amerlcan","natlonal","voice","FALSE"
"113","0","0","0","0","on","0","0","0","0","on","TRUE"
"114","0","0","0","0","the","0","0","0","0","the","TRUE"
"115","a","volce","on","the","amerlcan","natlonal","standards","instltute","commlttee","american","FALSE"
"116","volce","on","the","amerlcan","natlonal","standards","instltute","commlttee","deallng","national","FALSE"
"117","0","0","0","0","standards","0","0","0","0","standards","TRUE"
"118","0","0","0","0","instltute","0","0","0","0","institute","TRUE"
"119","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
