"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","0","0","0","0","proposed","0","0","0","0","proposed","TRUE"
"2","0","0","0","0","research","0","0","0","0","research","TRUE"
"3","0","0","0","0","program","0","0","0","0","program","TRUE"
"4","0","0","0","0","on","0","0","0","0","on","TRUE"
"5","proposed","research","program","on","carclnogenlc","potentlal","of","mel","chlorlde","carcinogenic","FALSE"
"6","0","0","0","0","potentlal","0","0","0","0","potential","TRUE"
"7","0","0","0","0","of","0","0","0","0","of","TRUE"
"8","on","carclnogenlc","potentlal","of","mel","chlorlde","exhibit","a","purpose","vinyl","FALSE"
"9","0","0","0","0","chlorlde","0","0","0","0","chloride","TRUE"
"10","0","0","0","0","exhibit","0","0","0","0","exhibit","TRUE"
"11","0","0","0","0","a","0","0","0","0","a","TRUE"
"12","0","0","0","0","purpose","0","0","0","0","purpose","TRUE"
"13","chlorlde","exhibit","a","purpose","nfomatlon","to","clarlfy","the","status","information","FALSE"
"14","0","0","0","0","to","0","0","0","0","to","TRUE"
"15","a","purpose","nfomatlon","to","clarlfy","the","status","of","vinyl","clarify","FALSE"
"16","0","0","0","0","the","0","0","0","0","the","TRUE"
"17","0","0","0","0","status","0","0","0","0","status","TRUE"
"18","0","0","0","0","of","0","0","0","0","of","TRUE"
"19","0","0","0","0","vinyl","0","0","0","0","vinyl","TRUE"
"20","0","0","0","0","chlorlde","0","0","0","0","chloride","TRUE"
"21","0","0","0","0","monomer","0","0","0","0","monomer","TRUE"
"22","0","0","0","0","n","0","0","0","0","in","TRUE"
"23","0","0","0","0","reference","0","0","0","0","reference","TRUE"
"24","0","0","0","0","to","0","0","0","0","to","TRUE"
"25","monomer","n","reference","to","carclnogenlclty","proj","eat","as","recommended","carcinogenicity","FALSE"
"26","0","0","0","0","proj","0","0","0","0","proj","TRUE"
"27","reference","to","carclnogenlclty","proj","eat","as","recommended","by","an","ect","FALSE"
"28","0","0","0","0","as","0","0","0","0","as","TRUE"
"29","0","0","0","0","recommended","0","0","0","0","recommended","TRUE"
"30","0","0","0","0","by","0","0","0","0","by","TRUE"
"31","0","0","0","0","an","0","0","0","0","an","TRUE"
"32","0","0","0","0","ad","0","0","0","0","ad","TRUE"
"33","0","0","0","0","hoc","0","0","0","0","hoc","TRUE"
"34","0","0","0","0","plannlng","0","0","0","0","planning","TRUE"
"35","0","0","0","0","group","0","0","0","0","group","TRUE"
"36","0","0","0","0","for","0","0","0","0","for","TRUE"
"37","hoc","plannlng","group","for","mel","chlorlde","research","composed","of","vinyl","FALSE"
"38","0","0","0","0","chlorlde","0","0","0","0","chloride","TRUE"
"39","0","0","0","0","research","0","0","0","0","research","TRUE"
"40","0","0","0","0","composed","0","0","0","0","composed","TRUE"
"41","0","0","0","0","of","0","0","0","0","of","TRUE"
"42","chlorlde","research","composed","of","representatlves","of","eight","mca","mg","representatives","FALSE"
"43","0","0","0","0","of","0","0","0","0","of","TRUE"
"44","0","0","0","0","eight","0","0","0","0","eight","TRUE"
"45","0","0","0","0","mca","0","0","0","0","mca","TRUE"
"46","representatlves","of","eight","mca","mg","research","under","whlch","experlmental","ing","FALSE"
"47","0","0","0","0","research","0","0","0","0","research","TRUE"
"48","0","0","0","0","under","0","0","0","0","under","TRUE"
"49","mca","mg","research","under","whlch","experlmental","annuals","would","nhale","which","FALSE"
"50","mg","research","under","whlch","experlmental","annuals","would","nhale","vinyl","experimental","FALSE"
"51","research","under","whlch","experlmental","annuals","would","nhale","vinyl","chlorlde","animals","FALSE"
"52","0","0","0","0","would","0","0","0","0","would","TRUE"
"53","whlch","experlmental","annuals","would","nhale","vinyl","chlorlde","monomer","vapor","inhale","FALSE"
"54","0","0","0","0","vinyl","0","0","0","0","vinyl","TRUE"
"55","0","0","0","0","chlorlde","0","0","0","0","chloride","TRUE"
"56","0","0","0","0","monomer","0","0","0","0","monomer","TRUE"
"57","0","0","0","0","vapor","0","0","0","0","vapor","TRUE"
"58","0","0","0","0","at","0","0","0","0","at","TRUE"
"59","0","0","0","0","selected","0","0","0","0","selected","TRUE"
"60","monomer","vapor","at","selected","concentratlon","levels","and","be","examlned","concentration","FALSE"
"61","0","0","0","0","levels","0","0","0","0","levels","TRUE"
"62","0","0","0","0","and","0","0","0","0","and","TRUE"
"63","0","0","0","0","be","0","0","0","0","be","TRUE"
"64","concentratlon","levels","and","be","examlned","n","accord","hlth","an","examined","FALSE"
"65","0","0","0","0","n","0","0","0","0","in","TRUE"
"66","0","0","0","0","accord","0","0","0","0","accord","TRUE"
"67","be","examlned","n","accord","hlth","an","agreediupon","testlng","and","with","FALSE"
"68","0","0","0","0","an","0","0","0","0","an","TRUE"
"69","n","accord","hlth","an","agreediupon","testlng","and","examlnatlon","protocol","agreedupon","FALSE"
"70","accord","hlth","an","agreediupon","testlng","and","examlnatlon","protocol","three","testing","FALSE"
"71","0","0","0","0","and","0","0","0","0","and","TRUE"
"72","an","agreediupon","testlng","and","examlnatlon","protocol","three","years","accordlng","examination","FALSE"
"73","0","0","0","0","protocol","0","0","0","0","protocol","TRUE"
"74","0","0","0","0","three","0","0","0","0","three","TRUE"
"75","0","0","0","0","years","0","0","0","0","years","TRUE"
"76","examlnatlon","protocol","three","years","accordlng","to","quotatlons","from","industrlal","according","FALSE"
"77","0","0","0","0","to","0","0","0","0","to","TRUE"
"78","three","years","accordlng","to","quotatlons","from","industrlal","slowest","and","quotations","FALSE"
"79","0","0","0","0","from","0","0","0","0","from","TRUE"
"80","accordlng","to","quotatlons","from","industrlal","slowest","and","an","allowance","industrial","FALSE"
"81","to","quotatlons","from","industrlal","slowest","and","an","allowance","for","biotest","FALSE"
"82","0","0","0","0","and","0","0","0","0","and","TRUE"
"83","0","0","0","0","an","0","0","0","0","an","TRUE"
"84","0","0","0","0","allowance","0","0","0","0","allowance","TRUE"
"85","0","0","0","0","for","0","0","0","0","for","TRUE"
"86","0","0","0","0","vinyl","0","0","0","0","vinyl","TRUE"
"87","0","0","0","0","chlorlde","0","0","0","0","chloride","TRUE"
"88","0","0","0","0","supply","0","0","0","0","supply","TRUE"
"89","0","0","0","0","and","0","0","0","0","and","TRUE"
"90","vinyl","chlorlde","supply","and","contlngencles","fundlng","fundlng","commltments","have","contingencies","FALSE"
"91","chlorlde","supply","and","contlngencles","fundlng","fundlng","commltments","have","been","funding","FALSE"
"92","supply","and","contlngencles","fundlng","fundlng","commltments","have","been","recelved","funding","FALSE"
"93","and","contlngencles","fundlng","fundlng","commltments","have","been","recelved","from","commitments","FALSE"
"94","0","0","0","0","have","0","0","0","0","have","TRUE"
"95","0","0","0","0","been","0","0","0","0","been","TRUE"
"96","fundlng","commltments","have","been","recelved","from","seventeen","mca","member","received","FALSE"
"97","0","0","0","0","from","0","0","0","0","from","TRUE"
"98","0","0","0","0","seventeen","0","0","0","0","seventeen","TRUE"
"99","0","0","0","0","mca","0","0","0","0","mca","TRUE"
"100","0","0","0","0","member","0","0","0","0","member","TRUE"
