"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","0","0","0","0","medla","0","0","0","0","media","TRUE"
"2","0","0","0","0","training","0","0","0","0","training","TRUE"
"3","0","0","0","0","was","0","0","0","0","was","TRUE"
"4","0","0","0","0","provlded","0","0","0","0","provided","TRUE"
"5","0","0","0","0","for","0","0","0","0","for","TRUE"
"6","0","0","0","0","member","0","0","0","0","member","TRUE"
"7","0","0","0","0","company","0","0","0","0","company","TRUE"
"8","provlded","for","member","company","representatlves","who","will","partlclpate","n","representatives","FALSE"
"9","0","0","0","0","who","0","0","0","0","who","TRUE"
"10","0","0","0","0","will","0","0","0","0","will","TRUE"
"11","0","0","0","0","partlclpate","0","0","0","0","participate","TRUE"
"12","0","0","0","0","n","0","0","0","0","in","TRUE"
"13","0","0","0","0","upcomlng","0","0","0","0","upcoming","TRUE"
"14","0","0","0","0","medla","0","0","0","0","media","TRUE"
"15","0","0","0","0","tours","0","0","0","0","tours","TRUE"
"16","0","0","0","0","on","0","0","0","0","on","TRUE"
"17","0","0","0","0","the","0","0","0","0","the","TRUE"
"18","0","0","0","0","natlonal","0","0","0","0","national","TRUE"
"19","tours","on","the","natlonal","chemlcal","response","and","informatlon","center","chemical","FALSE"
"20","0","0","0","0","response","0","0","0","0","response","TRUE"
"21","0","0","0","0","and","0","0","0","0","and","TRUE"
"22","natlonal","chemlcal","response","and","informatlon","center","energy","and","petrochemlcal","information","FALSE"
"23","0","0","0","0","center","0","0","0","0","center","TRUE"
"24","0","0","0","0","energy","0","0","0","0","energy","TRUE"
"25","0","0","0","0","and","0","0","0","0","and","TRUE"
"26","informatlon","center","energy","and","petrochemlcal","feedstock","regulatory","developments","and","petrochemical","FALSE"
"27","center","energy","and","petrochemlcal","feedstock","regulatory","developments","and","response","feedstocks","FALSE"
"28","0","0","0","0","regulatory","0","0","0","0","regulatory","TRUE"
"29","0","0","0","0","developments","0","0","0","0","developments","TRUE"
"30","0","0","0","0","and","0","0","0","0","and","TRUE"
"31","0","0","0","0","response","0","0","0","0","response","TRUE"
"32","0","0","0","0","page","0","0","0","0","page","TRUE"
"33","0","0","0","0","","0","0","0","0","","TRUE"
"34","and","response","page","","cm","ferc","order","no","on","cma","FALSE"
"35","0","0","0","0","ferc","0","0","0","0","ferc","TRUE"
"36","0","0","0","0","order","0","0","0","0","order","TRUE"
"37","0","0","0","0","no","0","0","0","0","no","TRUE"
"38","0","0","0","0","on","0","0","0","0","on","TRUE"
"39","0","0","0","0","interstate","0","0","0","0","interstate","TRUE"
"40","0","0","0","0","natural","0","0","0","0","natural","TRUE"
"41","0","0","0","0","gas","0","0","0","0","gas","TRUE"
"42","on","interstate","natural","gas","transportatlon","on","october","the","federal","transportation","FALSE"
"43","0","0","0","0","on","0","0","0","0","on","TRUE"
"44","0","0","0","0","october","0","0","0","0","october","TRUE"
"45","0","0","0","0","the","0","0","0","0","the","TRUE"
"46","0","0","0","0","federal","0","0","0","0","federal","TRUE"
"47","0","0","0","0","energy","0","0","0","0","energy","TRUE"
"48","0","0","0","0","regulatory","0","0","0","0","regulatory","TRUE"
"49","the","federal","energy","regulatory","commlsslon","ferq","lssued","a","rule","commission","FALSE"
"50","federal","energy","regulatory","commlsslon","ferq","lssued","a","rule","on","ferc","FALSE"
"51","0","0","0","0","lssued","0","0","0","0","issued","TRUE"
"52","0","0","0","0","a","0","0","0","0","a","TRUE"
"53","0","0","0","0","rule","0","0","0","0","rule","TRUE"
"54","0","0","0","0","on","0","0","0","0","on","TRUE"
"55","0","0","0","0","nterstate","0","0","0","0","interstate","TRUE"
"56","0","0","0","0","natural","0","0","0","0","natural","TRUE"
"57","0","0","0","0","gas","0","0","0","0","gas","TRUE"
"58","on","nterstate","natural","gas","transportatlon","that","adopted","many","cma","transportation","FALSE"
"59","0","0","0","0","that","0","0","0","0","that","TRUE"
"60","0","0","0","0","adopted","0","0","0","0","adopted","TRUE"
"61","0","0","0","0","many","0","0","0","0","many","TRUE"
"62","0","0","0","0","cma","0","0","0","0","cma","TRUE"
"63","that","adopted","many","cma","recommendatlons","the","rule","authorlzes","selcqmplemennng","recommendations","FALSE"
"64","0","0","0","0","the","0","0","0","0","the","TRUE"
"65","0","0","0","0","rule","0","0","0","0","rule","TRUE"
"66","cma","recommendatlons","the","rule","authorlzes","selcqmplemennng","nondlscrlmlnatory","nterstate","transportatlon","authorizes","FALSE"
"67","recommendatlons","the","rule","authorlzes","selcqmplemennng","nondlscrlmlnatory","nterstate","transportatlon","servlces","selfimplementing","FALSE"
"68","the","rule","authorlzes","selcqmplemennng","nondlscrlmlnatory","nterstate","transportatlon","servlces","both","nondiscriminatory","FALSE"
"69","0","0","0","0","nterstate","0","0","0","0","interstate","TRUE"
"70","authorlzes","selcqmplemennng","nondlscrlmlnatory","nterstate","transportatlon","servlces","both","mm","and","transportation","FALSE"
"71","selcqmplemennng","nondlscrlmlnatory","nterstate","transportatlon","servlces","both","mm","and","nterruptble","services","FALSE"
"72","0","0","0","0","both","0","0","0","0","both","TRUE"
"73","nterstate","transportatlon","servlces","both","mm","and","nterruptble","servlces","must","firm","FALSE"
"74","0","0","0","0","and","0","0","0","0","and","TRUE"
"75","servlces","both","mm","and","nterruptble","servlces","must","be","offered","interruptible","FALSE"
"76","both","mm","and","nterruptble","servlces","must","be","offered","by","services","FALSE"
"77","0","0","0","0","must","0","0","0","0","must","TRUE"
"78","0","0","0","0","be","0","0","0","0","be","TRUE"
"79","0","0","0","0","offered","0","0","0","0","offered","TRUE"
"80","0","0","0","0","by","0","0","0","0","by","TRUE"
"81","must","be","offered","by","partlclpatlng","nterstate","pipellnes","also","reservatlon","participating","FALSE"
"82","0","0","0","0","nterstate","0","0","0","0","interstate","TRUE"
"83","0","0","0","0","pipellnes","0","0","0","0","pipelines","TRUE"
"84","0","0","0","0","also","0","0","0","0","also","TRUE"
"85","0","0","0","0","reservatlon","0","0","0","0","reservation","TRUE"
"86","0","0","0","0","fees","0","0","0","0","fees","TRUE"
"87","0","0","0","0","for","0","0","0","0","for","TRUE"
