"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","*","*","*","*","publlc","relatlons","commlttee","novembr","th","public","FALSE"
"2","0","0","0","0","relatlons","0","0","0","0","relations","TRUE"
"3","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
"4","*","publlc","relatlons","commlttee","novembr","th","hazrds","of","holdlng","november","FALSE"
"5","0","0","0","0","th","0","0","0","0","th","TRUE"
"6","relatlons","commlttee","novembr","th","hazrds","of","holdlng","the","same","hazards","FALSE"
"7","0","0","0","0","of","0","0","0","0","of","TRUE"
"8","0","0","0","0","holdlng","0","0","0","0","holding","TRUE"
"9","0","0","0","0","the","0","0","0","0","the","TRUE"
"10","0","0","0","0","same","0","0","0","0","same","TRUE"
"11","of","holdlng","the","same","offlce","for","two","years","are","office","FALSE"
"12","0","0","0","0","for","0","0","0","0","for","TRUE"
"13","0","0","0","0","two","0","0","0","0","two","TRUE"
"14","0","0","0","0","years","0","0","0","0","years","TRUE"
"15","0","0","0","0","are","0","0","0","0","are","TRUE"
"16","for","two","years","are","obvlous","my","pos","tlon","today","obvious","FALSE"
"17","0","0","0","0","my","0","0","0","0","my","TRUE"
"18","years","are","obvlous","my","pos","tlon","today","not","unllke","position","FALSE"
"19","are","obvlous","my","pos","tlon","today","not","unllke","that","today","FALSE"
"20","0","0","0","0","today","0","0","0","0","is","TRUE"
"21","0","0","0","0","not","0","0","0","0","not","TRUE"
"22","pos","tlon","today","not","unllke","that","of","a","raielected","unlike","FALSE"
"23","0","0","0","0","that","0","0","0","0","that","TRUE"
"24","0","0","0","0","of","0","0","0","0","of","TRUE"
"25","0","0","0","0","a","0","0","0","0","a","TRUE"
"26","unllke","that","of","a","raielected","polltlclan","in","the","publlc","reelected","FALSE"
"27","0","0","0","0","polltlclan","0","0","0","0","politician","TRUE"
"28","0","0","0","0","in","0","0","0","0","in","TRUE"
"29","0","0","0","0","the","0","0","0","0","the","TRUE"
"30","raielected","polltlclan","in","the","publlc","relatlons","commlttee","report","covered","public","FALSE"
"31","0","0","0","0","relatlons","0","0","0","0","relations","TRUE"
"32","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
"33","0","0","0","0","report","0","0","0","0","report","TRUE"
"34","0","0","0","0","covered","0","0","0","0","covered","TRUE"
"35","0","0","0","0","two","0","0","0","0","two","TRUE"
"36","commlttee","report","covered","two","maln","polnts","for","future","actlon","main","FALSE"
"37","0","0","0","0","polnts","0","0","0","0","points","TRUE"
"38","0","0","0","0","for","0","0","0","0","for","TRUE"
"39","0","0","0","0","future","0","0","0","0","future","TRUE"
"40","maln","polnts","for","future","actlon","tha","we","would","focus","action","FALSE"
"41","polnts","for","future","actlon","tha","we","would","focus","more","that","FALSE"
"42","0","0","0","0","we","0","0","0","0","we","TRUE"
"43","0","0","0","0","would","0","0","0","0","would","TRUE"
"44","0","0","0","0","focus","0","0","0","0","focus","TRUE"
"45","0","0","0","0","more","0","0","0","0","more","TRUE"
"46","we","would","focus","more","shazply","on","major","opportunltles","as","sharply","FALSE"
"47","0","0","0","0","on","0","0","0","0","on","TRUE"
"48","0","0","0","0","major","0","0","0","0","major","TRUE"
"49","more","shazply","on","major","opportunltles","as","well","as","the","opportunities","FALSE"
"50","0","0","0","0","as","0","0","0","0","as","TRUE"
"51","0","0","0","0","well","0","0","0","0","well","TRUE"
"52","0","0","0","0","as","0","0","0","0","as","TRUE"
"53","0","0","0","0","the","0","0","0","0","the","TRUE"
"54","0","0","0","0","larger","0","0","0","0","larger","TRUE"
"55","0","0","0","0","problems","0","0","0","0","problems","TRUE"
"56","0","0","0","0","of","0","0","0","0","of","TRUE"
"57","0","0","0","0","the","0","0","0","0","the","TRUE"
"58","larger","problems","of","the","chemlcal","ndustry","and","tha","we","chemical","FALSE"
"59","problems","of","the","chemlcal","ndustry","and","tha","we","would","industry","FALSE"
"60","0","0","0","0","and","0","0","0","0","and","TRUE"
"61","the","chemlcal","ndustry","and","tha","we","would","establlsh","closer","that","FALSE"
"62","0","0","0","0","we","0","0","0","0","we","TRUE"
"63","0","0","0","0","would","0","0","0","0","would","TRUE"
"64","0","0","0","0","establlsh","0","0","0","0","establish","TRUE"
"65","0","0","0","0","closer","0","0","0","0","closer","TRUE"
"66","we","would","establlsh","closer","relatlonshlps","mm","other","functlonal","total","relationships","FALSE"
"67","would","establlsh","closer","relatlonshlps","mm","other","functlonal","total","ommunlcatlons","with","FALSE"
"68","0","0","0","0","other","0","0","0","0","other","TRUE"
"69","closer","relatlonshlps","mm","other","functlonal","total","ommunlcatlons","could","be","functional","FALSE"
"70","0","0","0","0","total","0","0","0","0","total","TRUE"
"71","mm","other","functlonal","total","ommunlcatlons","could","be","made","these","communications","FALSE"
"72","0","0","0","0","could","0","0","0","0","could","TRUE"
"73","0","0","0","0","be","0","0","0","0","be","TRUE"
"74","0","0","0","0","made","0","0","0","0","made","TRUE"
"75","0","0","0","0","these","0","0","0","0","these","TRUE"
"76","could","be","made","these","hlngs","have","been","done","the","things","FALSE"
"77","0","0","0","0","have","0","0","0","0","have","TRUE"
"78","0","0","0","0","been","0","0","0","0","been","TRUE"
"79","0","0","0","0","done","0","0","0","0","done","TRUE"
"80","0","0","0","0","the","0","0","0","0","the","TRUE"
"81","have","been","done","the","asaults","on","the","chemlcal","ndustry","assaults","FALSE"
"82","0","0","0","0","on","0","0","0","0","on","TRUE"
"83","0","0","0","0","the","0","0","0","0","the","TRUE"
"84","the","asaults","on","the","chemlcal","ndustry","by","medla","and","chemical","FALSE"
"85","asaults","on","the","chemlcal","ndustry","by","medla","and","government","industry","FALSE"
"86","0","0","0","0","by","0","0","0","0","by","TRUE"
"87","the","chemlcal","ndustry","by","medla","and","government","n","in","media","FALSE"
"88","0","0","0","0","and","0","0","0","0","and","TRUE"
"89","0","0","0","0","government","0","0","0","0","government","TRUE"
"90","0","0","0","0","n","0","0","0","0","in","TRUE"
"91","0","0","0","0","in","0","0","0","0","in","TRUE"
"92","and","government","n","in","addtlon","the","toxlc","ubstances","leglslatlon","addition","FALSE"
"93","0","0","0","0","the","0","0","0","0","the","TRUE"
"94","n","in","addtlon","the","toxlc","ubstances","leglslatlon","demonstrated","what","toxic","FALSE"
"95","in","addtlon","the","toxlc","ubstances","leglslatlon","demonstrated","what","can","substances","FALSE"
"96","addtlon","the","toxlc","ubstances","leglslatlon","demonstrated","what","can","be","legislation","FALSE"
"97","0","0","0","0","demonstrated","0","0","0","0","demonstrated","TRUE"
"98","0","0","0","0","what","0","0","0","0","what","TRUE"
"99","0","0","0","0","can","0","0","0","0","can","TRUE"
"100","0","0","0","0","be","0","0","0","0","be","TRUE"
"101","0","0","0","0","accompllshed","0","0","0","0","accomplished","TRUE"
"102","0","0","0","0","spurrd","0","0","0","0","spurred","TRUE"
"103","0","0","0","0","by","0","0","0","0","by","TRUE"
"104","0","0","0","0","todays","0","0","0","0","todays","TRUE"
"105","accompllshed","spurrd","by","todays","publlc","demands","and","the","proof","public","FALSE"
"106","0","0","0","0","demands","0","0","0","0","demands","TRUE"
"107","0","0","0","0","and","0","0","0","0","and","TRUE"
"108","0","0","0","0","the","0","0","0","0","the","TRUE"
"109","0","0","0","0","proof","0","0","0","0","proof","TRUE"
"110","0","0","0","0","that","0","0","0","0","that","TRUE"
"111","and","the","proof","that","jolnt","commlttee","actlon","can","get","joint","FALSE"
"112","0","0","0","0","commlttee","0","0","0","0","committee","TRUE"
