"","n1","n2","n3","n4","word","n5","n6","n7","n8","truth","TF"
"1","*","*","*","*","nvolved","n","thls","project","because","involved","FALSE"
"2","0","0","0","0","n","0","0","0","0","in","TRUE"
"3","*","*","nvolved","n","thls","project","because","the","epa","this","FALSE"
"4","0","0","0","0","project","0","0","0","0","project","TRUE"
"5","0","0","0","0","because","0","0","0","0","because","TRUE"
"6","0","0","0","0","the","0","0","0","0","the","TRUE"
"7","0","0","0","0","epa","0","0","0","0","epa","TRUE"
"8","0","0","0","0","draft","0","0","0","0","draft","TRUE"
"9","because","the","epa","draft","technlcal","publlcatlon","concernlng","phthalate","esters","technical","FALSE"
"10","0","0","0","0","publlcatlon","0","0","0","0","publication","TRUE"
"11","0","0","0","0","concernlng","0","0","0","0","concerning","TRUE"
"12","0","0","0","0","phthalate","0","0","0","0","phthalate","TRUE"
"13","0","0","0","0","esters","0","0","0","0","esters","TRUE"
"14","0","0","0","0","expressly","0","0","0","0","expressly","TRUE"
"15","0","0","0","0","allowed","0","0","0","0","allowed","TRUE"
"16","0","0","0","0","a","0","0","0","0","a","TRUE"
"17","0","0","0","0","dellstlng","0","0","0","0","delisting","TRUE"
"18","0","0","0","0","procedure","0","0","0","0","procedure","TRUE"
"19","0","0","0","0","epa","0","0","0","0","epa","TRUE"
"20","a","dellstlng","procedure","epa","blomonltorlng","studles","comments","emcs","water","biomonitoring","FALSE"
"21","0","0","0","0","studles","0","0","0","0","studies","TRUE"
"22","0","0","0","0","comments","0","0","0","0","comments","TRUE"
"23","0","0","0","0","emcs","0","0","0","0","emcs","TRUE"
"24","0","0","0","0","water","0","0","0","0","water","TRUE"
"25","0","0","0","0","quallty","0","0","0","0","quality","TRUE"
"26","0","0","0","0","crlterla","0","0","0","0","criteria","TRUE"
"27","0","0","0","0","and","0","0","0","0","and","TRUE"
"28","0","0","0","0","standards","0","0","0","0","standards","TRUE"
"29","0","0","0","0","task","0","0","0","0","task","TRUE"
"30","0","0","0","0","group","0","0","0","0","group","TRUE"
"31","0","0","0","0","submltted","0","0","0","0","submitted","TRUE"
"32","0","0","0","0","comments","0","0","0","0","comments","TRUE"
"33","0","0","0","0","to","0","0","0","0","to","TRUE"
