"","dictionary"
"1","exhibit"
"2","d"
"3","staff"
"4","report"
"5","ma"
"6","rch"
"7","by"
"8","william"
"9","j"
"10","driver"
"11","congressional"
"12","action"
"13","involving"
"14","portions"
"15","of"
"16","the"
"17","foreign"
"18","trade"
"19","and"
"20","investment"
"21","act"
"22","suddenly"
"23","loomed"
"24","as"
"25","a"
"26","possibility"
"27","last"
"28","week"
"29","when"
"30","it"
"31","was"
"32","learned"
"33","that"
"34","aflcio"
"35","planned"
"36","to"
"37","attempt"
"38","attaching"
"39","titles"
"40","vi"
"41","vii"
"42","proposed"
"43","administrations"
"44","gold"
"45","legislation"
"46","through"
"47","agreement"
"48","with"
"49","house"
"50","ways"
"51","means"
"52","committee"
"53","chairman"
"54","wilbur"
"55","mills"
"56","dark"
"57","banking"
"58","currency"
"59","has"
"60","been"
"61","given"
"62","jurisdiction"
"63","over"
"64","socalled"
"65","latter"
"66","scheduled"
"67","bill"
"68","hearings"
"69","march"
"70","immediately"
"71","afterward"
"72","is"
"73","expected"
"74","begin"
"75","executive"
"76","session"
"77","mark­"
"78","rapid"
"79","enactment"
"80","anticipated"
"81","organized"
"82","labors"
"83","position"
"84","be"
"85","presented"
"86","day"
"87","hear­"
"88","ings"
"89","dollar"
"90","devaluation"
"91","in"
"92","itself"
"93","does"
"94","not"
"95","provide"
"96","adequate"
"97","remedies"
"98","stronger"
"99","measures"
"100","embodied"
"101","hartkeburke"
"102","are"
"103","needed"
"104","title"
"105","measure"
"106","would"
"107","empower"
"108","president"
"109","prohibit"
"110","any"
"111","transactions"
"112","direct"
"113","or"
"114","indirect"
"115","transfer"
"116","capital"
"117","within"
"118","country"
"119","his"
"120","judgment"
"121","result"
"122","net"
"123","de­"
"124","crease"
"125","l"
"126","s"
"127","employment"
"128","holder"
"129","u"
"130","patent"
"131","from"
"132","manufacturing"
"133","patented"
"134","product"
"135","using"
"136","process"
"137","licens­"
"138","ing"
"139","others"
"140","manufacture"
"141","outside"
"142","united"
"143","states"
"144","territory"
"145","presidents"
"146","such"
"147","prohibition"
"148","will"
"149","contribute"
"150","increased"
"151","require"
"152","onerous"
"153","reporting"
"154","provisions"
"155","including"
"156","complete"
"157","statistics"
"158","on"
"159","working"
"160","conditions"
"161","multinational"
"162","com­"
"163","panies"
"164","well"
"165","products"
"166","their"
"167","distribution"
"168","also"
"169","imposes"
"170","burdensome"
"171","requirements"
"172","for"
"173","labeling"
"174","advertising"
"175","after"
"176","key"
"177","members"
"178","were"
"179","alerted"
"180","strategy"
"181","assurances"
"182","obtained"
"183","kept"
"184","free"
"185","encumbering"
"186","amendments"
"187","ruled"
"188","nongermane"
"189","senate"
"190","approved"
"191","required"
"192","implement"
"193","negotiated"
"194","international"
"195","monetary"
"196","agree­"
"197","ments"
"198","cma"
"199","qa"
"200","subcommittee"
"201","environment"
"202","begun"
"203","consideration"
"204","pending"
"205","toxic"
"206","substances"
"207","february"
"208","made"
"209","public"
"210","draft"
"211","no"
"212","we"
"213","invited"
"214","submit"
"215","con­"
"216","sideration"
"217","memorandum"
"218","dealing"
"219","section"
"220","document"
"221","prepared"
"222","our"
"223","general"
"224","counsel"
"225","submitted"
"226","additional"
"227","changes"
"228","improvements"
"229","recommended"
"230","more"
"231","prehensive"
"232","comments"
"233","letter"
"234","acting"
"235","subcom­"
"236","mittee"
"237","senator"
"238","b"
"239","spong"
"240","dva"
"241","emphasized"
"242","concern"
"243","certain"
"244","relative"
"245","premarket"
"246","testing"
