"","dictionary"
"1","exhibit"
"2","c"
"3","report"
"4","by"
"5","the"
"6","director"
"7","of"
"8","government"
"9","relations"
"10","william"
"11","m"
"12","stover"
"13","january"
"14","ullman"
"15","at"
"16","the"
"17","chemical"
"18","forum"
"19","featured"
"20","speaker"
"21","at"
"22","todays"
"23","chemical"
"24","forum"
"25","luncheon"
"26","will"
"27","be"
"28","the"
"29","honorable"
"30","a"
"31","uliman"
"32","dore"
"33","chairman"
"34","of"
"35","the"
"36","house"
"37","ways"
"38","and"
"39","means"
"40","committee"
"41","since"
"42","replacing"
"43","wilbur"
"44","mills"
"45","as"
"46","leader"
"47","of"
"48","this"
"49","powerful"
"50","committee"
"51","in"
"52","mr"
"53","ullman"
"54","has"
"55","succeeded"
"56","in"
"57","putting"
"58","his"
"59","own"
"60","personal"
"61","stamp"
"62","of"
"63","its"
"64","methods"
"65","and"
"66","achievements"
"67","the"
"68","critical"
"69","issues"
"70","of"
"71","tax"
"72","reform"
"73","trade"
"74","regulation"
"75","energy"
"76","conser­"
"77","vation"
"78","pension"
"79","reform"
"80","and"
"81","congressional"
"82","budget"
"83","lie"
"84","within"
"85","the"
"86","jurisdiction"
"87","of"
"88","ways"
"89","and"
"90","means"
"91","most"
"92","central"
"93","to"
"94","our"
"95","interests"
"96","today"
"97","will"
"98","be"
"99","congressman"
"100","ullmans"
"101","comments"
"102","on"
"103","the"
"104","forthcoming"
"105","carter"
"106","economic"
"107","stimulus"
"108","package"
"109","and"
"110","how"
"111","it"
"112","is"
"113","likely"
"114","to"
"115","be"
"116","re­"
"117","ceived"
"118","by"
"119","the"
"120","congress"
"121","he"
"122","is"
"123","expected"
"124","to"
"125","take"
"126","questions"
"127","from"
"128","the"
"129","audience"
"130","at"
"131","the"
"132","conclusion"
"133","of"
"134","his"
"135","remarks"
"136","senate"
"137","and"
"138","house"
"139","convene"
"140","the"
"141","th"
"142","congress"
"143","began"
"144","on"
"145","january"
"146","as"
"147","members"
"148","of"
"149","the"
"150","house"
"151","and"
"152","senate"
"153","gathered"
"154","to"
"155","elect"
"156","new"
"157","leaders"
"158","and"
"159","to"
"160","commence"
"161","an"
"162","am­"
"163","bitious"
"164","program"
"165","of"
"166","organization"
"167","reorganization"
"168","and"
"169","legislative"
"170","problemsolving"
"171","in"
"172","scarcely"
"173","more"
"174","than"
"175","a"
"176","week"
"177","the"
"178","congress"
"179","elected"
"180","new"
"181","leaders"
"182","four"
"183","new"
"184","faces"
"185","in"
"186","the"
"187","five"
"188","top"
"189","leadership"
"190","posts"
"191","began"
"192","work"
"193","on"
"194","rules"
"195","changes"
"196","and"
"197","reorganization"
"198","plans"
"199","house"
"200","procedural"
"201","changes"
"202","are"
"203","aimed"
"204","primarily"
"205","at"
"206","fa­"
"207","cilitating"
"208","consideration"
"209","of"
"210","legislation"
"211","on"
"212","the"
"213","floor"
"214","while"
"215","senate"
"216","reorganization"
"217","is"
"218","a"
"219","potentially"
"220","farreaching"
"221","consolidation"
"222","of"
"223","committee"
"224","jurisdictions"
"225","cma"
"226","began"
"227","senate"
"228","confirmation"
"229","hearings"
"230","on"
"231","carter"
"232","cabinet"
"233","choices"
"234","introduced"
"235","a"
"236","flood"
"237","of"
"238","bills"
"239","some"
"240","introduced"
"241","on"
"242","the"
"243","first"
"244","day"
"245","in"
"246","the"
"247","house"
"248","of"
"249","representatives"
"250","alone"
"251","engaged"
"252","in"
"253","the"
"254","process"
"255","of"
"256","assigning"
"257","members"
"258","to"
"259","commit­"
"260","tees"
"261","and"
"262","determining"
"263","chairmanships"
"264","the"
"265","house"
"266","could"
"267","complete"
"268","committee"
"269","assignments"
"270","by"
"271","january"
"272","but"
"273","the"
"274","senate"
"275","will"
"276","require"
"277","considerably"
"278","longer"
"279","to"
"280","finalize"
"281","its"
"282","structure"
"283","the"
"284","massive"
"285","reorganization"
"286","plan"
"287","under"
"288","consideration"
"289","by"
"290","the"
"291","senate"
"292","rules"
"293","conmittee"
"294","will"
"295","cause"
"296","delay"
"297","and"
"298","until"
"299","its"
"300","fate"
"301","is"
"302","determined"
"303","the"
"304","freshmen"
"305","senators"
"306","have"
"307","been"
"308","given"
"309","temporary"
"310","assignments"
"311","decided"
"312","by"
"313","chance"
"314","president"
"315","ford"
"316","remains"
"317","active"
"318","amid"
"319","preparations"
"320","for"
"321","the"
"322","delivery"
"323","of"
"324","his"
"325","final"
"326","stateoftheunion"
"327","message"
"328","january"
"329","president"
"330","ford"
"331","has"
"332","found"
"333","time"
"334","to"
"335","submit"
"336","a"
"337","number"
"338","of"
"339","policy"
"340","proposals"
"341","for"
"342","public"
"343","consideration"
"344","and"
"345","possible"
"346","congressional"
"347","action"
"348","in"
"349","recent"
"350","days"
"351","he"
"352","has"
"353","proposed"
"354","that"
"355","puerto"
"356","rico"
"357","be"
"358","granted"
"359","statehood"
"360","sent"
"361","to"
"362","the"
"363","congress"
"364","a"
