"","dictionary"
"1","exhibit"
"2","d"
"3","report"
"4","of"
"5","education"
"6","activities"
"7","committee"
"8","to"
"9","manufacturing"
"10","chemists"
"11","association"
"12","november"
"13","by"
"14","henry"
"15","w"
"16","rahn"
"17","chairman"
"18","it"
"19","is"
"20","three"
"21","years"
"22","since"
"23","the"
"24","eac"
"25","committee"
"26","last"
"27","reported"
"28","directly"
"29","to"
"30","this"
"31","board"
"32","in"
"33","the"
"34","interim"
"35","several"
"36","significant"
"37","developments"
"38","have"
"39","occurred"
"40","affecting"
"41","the"
"42","area"
"43","wherein"
"44","the"
"45","committee"
"46","functions"
"47","namely"
"48","the"
"49","industrialacademic"
"50","interface"
"51","these"
"52","include"
"53","first"
"54","employment"
"55","opportunities"
"56","for"
"57","new"
"58","technical"
"59","graduates"
"60","in"
"61","the"
"62","chemical"
"63","industry"
"64","shrank"
"65","to"
"66","low"
"67","levels"
"68","seeond"
"69","a"
"70","wave"
"71","of"
"72","technical"
"73","staff"
"74","reductions"
"75","by"
"76","job"
"77","termination"
"78","ran"
"79","through"
"80","the"
"81","industry"
"82","in"
"83","and"
"84","and"
"85","third"
"86","societys"
"87","attitude"
"88","toward"
"89","our"
"90","industry"
"91","underwent"
"92","deterioration"
"93","to"
"94","where"
"95","we"
"96","now"
"97","labor"
"98","under"
"99","the"
"100","burden"
"101","of"
"102","a"
"103","negative"
"104","public"
"105","image"
"106","it"
"107","is"
"108","most"
"109","appropriate"
"110","therefore"
"111","and"
"112","i"
"113","welcome"
"114","this"
"115","op­"
"116","portunity"
"117","to"
"118","review"
"119","for"
"120","you"
"121","the"
"122","committees"
"123","objectives"
"124","plans"
"125","and"
"126","activities"
"127","structured"
"128","to"
"129","meet"
"130","our"
"131","assignment"
"132","and"
"133","responsibility"
"134","to"
"135","the"
"136","mca"
"137","under"
"138","conditions"
"139","so"
"140","changed"
"141","from"
"142","the"
"143","past"
"144","committee"
"145","evolution"
"146","the"
"147","committee"
"148","was"
"149","first"
"150","established"
"151","in"
"152","the"
"153","mid"
"154","s"
"155","when"
"156","as"
"157","you"
"158","will"
"159","recall"
"160","there"
"161","was"
"162","a"
"163","shortage"
"164","of"
"165","graduate"
"166","chemists"
"167","the"
"168","initial"
"169","objective"
"170","was"
"171","to"
"172","encourage"
"173","students"
"174","i"
"175","pursue"
"176","a"
"177","career"
"178","in"
"179","chemistry"
"180","so"
"181","as"
"182","to"
"183","assure"
"184","an"
"185","adequate"
"186","supply"
"187","of"
"188","chemists"
"189","for"
"190","the"
"191","xpanding"
"192","needs"
"193","of"
"194","our"
"195","industry"
"196","until"
"197","the"
"198","mid"
"199","s"
"200","the"
"201","committee"
"202","continued"
"203","to"
"204","follow"
"205","a"
"206","program"
"207","of"
"208","recruiting"
"209","students"
"210","into"
"211","chemistry"
"212","but"
"213","then"
"214","some"
"215","red"
"216","flags"
"217","went"
"218","up"
"219","when"
"220","careful"
"221","reviews"
"222","of"
"223","technical"
"224","graduate"
"225","supplydemand"
"226","studies"
"227","lad"
"228","several"
"229","of"
"230","our"
"231","members"
"232","to"
"233","predict"
"234","that"
"235","the"
"236","high"
"237","post"
"238","world"
"239","war"
"240","ii"
"241","birth"
"242","rates"
"243","would"
"244","result"
"245","in"
"246","an"
"247","oversupply"
"248","of"
"249","chemists"
"250","in"
"251","the"
"252","early"
"253","s"
"254","the"
"255","rough"
"256","coincidence"
"257","of"
"258","this"
"259","graduate"
"260","oversupply"
"261","timing"
"262","with"
