"","dictionary"
"1","characteristics"
"2","and"
"3","transport"
"4","of"
"5","contaminants"
"6","ebr"
"7","states"
"8","where"
"9","groundwater"
"10","quantity"
"11","is"
"12","a"
"13","concern"
"14","this"
"15","may"
"16","not"
"17","be"
"18","separable"
"19","from"
"20","the"
"21","quality"
"22","issue"
"23","states"
"24","may"
"25","choose"
"26","to"
"27","regulate"
"28","the"
"29","withdrawal"
"30","of"
"31","groundwater"
"32","as"
"33","may"
"34","be"
"35","appropriate"
"36","to"
"37","protect"
"38","groundwater"
"39","quality"
"40","as"
"41","part"
"42","of"
"43","its"
"44","state"
"45","groundwater"
"46","quality"
"47","protection"
"48","program"
"49","cma"
"50","does"
"51","not"
"52","see"
"53","a"
"54","federal"
"55","role"
"56","in"
"57","state"
"58","evaluation"
"59","of"
"60","water"
"61","quality"
"62","impacts"
"63","of"
"64","withdrawal"
"65","programs"
"66","and"
"67","statutes"
"68","under"
"69","some"
"70","circumstances"
"71","such"
"72","as"
"73","in"
"74","vulnerable"
"75","hydrogeological"
"76","areas"
"77","state"
"78","or"
"79","local"
"80","governments"
"81","may"
"82","choose"
"83","to"
"84","implement"
"85","planning"
"86","of"
"87","the"
"88","use"
"89","of"
"90","the"
"91","land"
"92","for"
"93","future"
"94","activities"
"95","overlying"
"96","the"
"97","aquifer"
"98","or"
"99","the"
"100","recharge"
"101","zone"
"102","to"
"103","assure"
"104","protection"
"105","of"
"106","groundwater"
"107","quality"
"108","land"
"109","use"
"110","and"
"111","soils"
"112","information"
"113","should"
"114","be"
"115","used"
"116","in"
"117","conjunction"
"118","with"
"119","aquifer"
"120","mapping"
"121","to"
"122","develop"
"123","appropriate"
"124","land"
"125","use"
"126","management"
"127","decisions"
"128","such"
"129","controls"
"130","may"
"131","include"
"132","zoning"
"133","restrictions"
"134","requirements"
"135","for"
"136","septic"
"137","tank"
"138","placement"
"139","requirements"
"140","for"
"141","the"
"142","siting"
"143","of"
"144","new"
"145","facilities"
"146","where"
"147","potential"
"148","adverse"
"149","impacts"
"150","from"
"151","groundwater"
"152","contamination"
"153","are"
"154","especially"
"155","significant"
"156","restrictions"
"157","on"
"158","other"
"159","activities"
"160","related"
"161","to"
"162","land"
"163","use"
"164","that"
"165","may"
"166","potentially"
"167","affect"
"168","groundwater"
"169","quality"
"170","cma"
"171","t"
"172","tha"
"173","federal"
"174","government"
"175","should"
"176","continue"
"177","to"
"178","usist"
"179","states"
"180","in"
"181","the"
"182","development"
"183","guidance"
"184","and"
"185","technical"
"186","assistance"
"187","lating"
"188","land"
"189","uses"
"190","hydrogeology"
"191","and"
"192","soils"
"193","with"
"194","potential"
"195","groundwater"
"196","impacts"
"197","kill"
"198","also"
"199","assist"
"200","stats"
"201","and"
"202","local"
"203","government"
"204","in"
"205","making"
"206","land"
"207","use"
"208","decisions"
"209","where"
"210","necessary"
"211","cma"
"212","believes"
"213","the"
"214","federal"
"215","government"
"216","should"
"217","not"
"218","involve"
"219","itself"
"220","in"
"221","land"
"222","use"
"223","decisions"
"224","f"
"225","quifar"
"226","mapping"
"227","and"
"228","soils"
"229","information"
"230","where"
"231","point"
"232","source"
"233","discharges"
"234","to"
"235","groundwater"
"236","are"
"237","not"
"238","currently"
"239","permitted"
"240","under"
"241","existing"
"242","regulations"
"243","states"
"244","may"
"245","choose"
"246","to"
"247","incorporate"
"248","a"
"249","permit"
"250","system"
"251","under"
"252","their"
"253","groundwater"
"254","quality"
"255","protection"
"256","progrms"
"257","to"
"258","regulate"
"259","discharges"
"260","to"
"261","groundwater"
"262","where"
"263","a"
"264","permit"
"265","system"
"266","is"
"267","employed"
"268","cma"
"269","endorses"
"270","the"
"271","use"
"272","of"
"273","permits"
"274","with"
"275","performancebased"
"276","limits"
"277","and"
"278","conditions"
"279","cma"
"280","i"
"281","cma"
"282","t"
"283","energy"
"284","committee"
"285","annual"
"286","report"
"287","presented"
"288","to"
"289","the"
"290","board"
"291","op"
"292","directors"
"293","op"
"294","the"
"295","chemical"
"296","manufacturers"
"297","association"
"298","gary"
"299","s"
"300","furman"
"301","chairman"
"302","september"
"303","cma"
"304","introduction"
"305","relative"
"306","to"
"307","other"
"308","cma"
"309","issues"
"310","energy"
"311","is"
"312","not"
"313","a"
"314","major"
"315","concern"
"316","at"
"317","this"
"318","time"
"319","crude"
"320","oil"
"321","prices"
"322","have"
"323","dropped"
"324","fuel"
"325","oil"
"326","prices"
"327","have"
"328","remained"
"329","stable"
"330","natural"
"331","gas"
"332","prices"
"333","have"
"334","declined"
"335","the"
"336","supply"
"337","of"
