"","dictionary"
"1","haldor"
"2","topsoe"
"3","inc"
"4","bayport"
"5","boulevard"
"6","pasadena"
"7","tx"
"8","cma"
"9","cma"
"10","proposed"
"11","program"
"12","on"
"13","oleylamine"
"14","problembackground"
"15","on"
"16","november"
"17","the"
"18","interagency"
"19","testing"
"20","committee"
"21","itc"
"22","recommended"
"23","that"
"24","oleylamine"
"25","be"
"26","considered"
"27","for"
"28","testing"
"29","for"
"30","its"
"31","toxic"
"32","effects"
"33","on"
"34","human"
"35","health"
"36","the"
"37","itc"
"38","recommended"
"39","the"
"40","following"
"41","studies"
"42","toxicokinetics"
"43","genotoxicity"
"44","and"
"45","teratogenicity"
"46","in"
"47","response"
"48","to"
"49","the"
"50","itcs"
"51","recommendation"
"52","epa"
"53","proposed"
"54","oral"
"55","teratogenicity"
"56","dermal"
"57","subchronic"
"58","and"
"59","muta­"
"60","genicity"
"61","tests"
"62","as"
"63","a"
"64","result"
"65","of"
"66","epas"
"67","proposal"
"68","oleylamine"
"69","manufacturers"
"70","asked"
"71","cma"
"72","to"
"73","set"
"74","up"
"75","a"
"76","program"
"77","on"
"78","this"
"79","chemical"
"80","accordingly"
"81","the"
"82","special"
"83","programs"
"84","division"
"85","convenedan"
"86","explora­"
"87","tory"
"88","meeting"
"89","to"
"90","discuss"
"91","testing"
"92","issues"
"93","and"
"94","options"
"95","for"
"96","action"
"97","objectives"
"98","the"
"99","panel"
"100","will"
"101","work"
"102","with"
"103","epa"
"104","to"
"105","develop"
"106","a"
"107","reasonable"
"108","and"
"109","sufficient"
"110","response"
"111","to"
"112","the"
"113","itcs"
"114","recommendations"
"115","for"
"116","testing"
"117","the"
"118","panel"
"119","intends"
"120","to"
"121","evaluate"
"122","the"
"123","agencys"
"124","testing"
"125","recommendation"
"126","in"
"127","conjunction"
"128","with"
"129","additional"
"130","data"
"131","in"
"132","order"
"133","to"
"134","determine"
"135","the"
"136","need"
"137","for"
"138","a"
"139","testing"
"140","proposal"
"141","recommendation"
"142","it"
"143","is"
"144","proposed"
"145","that"
"146","the"
"147","executive"
"148","committee"
"149","accept"
"150","spacs"
"151","recommendation"
"152","for"
"153","approval"
"154","for"
"155","this"
"156","program"
"157","impact"
"158","money"
"159","participating"
"160","companies"
"161","will"
"162","support"
"163","program"
"164","activities"
"165","and"
"166","necessary"
"167","overhead"
"168","company"
"169","personnel"
"170","one"
"171","representative"
"172","from"
"173","each"
"174","participating"
"175","company"
"176","cma"
"177","personnel"
"178","no"
"179","additional"
"180","staff"
"181","required"
"182","approval"
"183","of"
"184","recommendation"
"185","cma"
"186","cma"
"187","t"
"188","oleylamine"
"189","program"
"190","proposedcharter"
"191","the"
"192","participating"
"193","companies"
"194","will"
"195","work"
"196","with"
"197","epa"
"198","to"
"199","develop"
"200","a"
"201","reasonable"
"202","and"
"203","sufficient"
"204","response"
"205","to"
"206","the"
"207","interagency"
"208","testing"
"209","committees"
"210","recommendations"
"211","for"
"212","testing"
"213","of"
"214","oleylamine"
"215","the"
"216","panel"
"217","will"
"218","review"
"219","and"
"220","evaluate"
"221","published"
"222","and"
"223","unpublished"
"224","literature"
"225","on"
"226","health"
"227","effects"
"228","and"
"229","will"
"230","design"
"231","con­"
"232","duct"
"233","and"
"234","monitor"
"235","a"
"236","testing"
"237","program"
"238","if"
"239","appropriate"
"240","the"
"241","panel"
"242","will"
"243","adopt"
"244","and"
"245","convey"
"246","advocacy"
"247","positions"
"248","to"
"249","other"
"250","agencies"
"251","on"
"252","oleylamine"
"253","as"
"254","needed"
"255","the"
"256","panel"
"257","will"
"258","be"
"259","responsible"
