"","dictionary"
"1","chemical"
"2","industry"
"3","positions"
"4","with"
"5","the"
"6","texas"
"7","delegation"
"8","demonstra­"
"9","ting"
"10","its"
"11","potential"
"12","for"
"13","influencing"
"14","the"
"15","political"
"16","process"
"17","and"
"18","impacting"
"19","public"
"20","opinion"
"21","cma"
"22","o"
"23","the"
"24","business"
"25","climate"
"26","in"
"27","texas"
"28","continues"
"29","to"
"30","be"
"31","favorable"
"32","but"
"33","is"
"34","threatened"
"35","by"
"36","the"
"37","deficit"
"38","induced"
"39","search"
"40","for"
"41","new"
"42","taxes"
"43","o"
"44","as"
"45","a"
"46","result"
"47","of"
"48","competitive"
"49","pressures"
"50","texas"
"51","chemical"
"52","industry"
"53","employment"
"54","has"
"55","declined"
"56","since"
"57","we"
"58","have"
"59","been"
"60","able"
"61","to"
"62","successfully"
"63","use"
"64","the"
"65","jobs"
"66","issue"
"67","thus"
"68","far"
"69","to"
"70","counter"
"71","the"
"72","thrust"
"73","toward"
"74","higher"
"75","taxes"
"76","it"
"77","has"
"78","been"
"79","necessary"
"80","to"
"81","raise"
"82","tcc"
"83","dues"
"84","based"
"85","on"
"86","employee"
"87","roll"
"88","count"
"89","to"
"90","maintain"
"91","program"
"92","effectiveness"
"93","during"
"94","period"
"95","of"
"96","declining"
"97","employment"
"98","goals"
"99","for"
"100","a"
"101","push"
"102","for"
"103","state"
"104","budgetary"
"105","restraint"
"106","with"
"107","minimum"
"108","need"
"109","for"
"110","new"
"111","taxes"
"112","and"
"113","equitable"
"114","basis"
"115","for"
"116","those"
"117","that"
"118","occur"
"119","without"
"120","a"
"121","tax"
"122","increase"
"123","texas"
"124","faces"
"125","a"
"126","biennium"
"127","budget"
"128","deficit"
"129","of"
"130","four"
"131","to"
"132","five"
"133","billion"
"134","dollars"
"135","out"
"136","of"
"137","a"
"138","total"
"139","budget"
"140","of"
"141","around"
"142","billion"
"143","dollars"
"144","governor"
"145","clements"
"146","is"
"147","expected"
"148","to"
"149","push"
"150","for"
"151","budget"
"152","cuts"
"153","consistent"
"154","with"
"155","campaign"
"156","pledge"
"157","legislature"
"158","reluctant"
"159","to"
"160","make"
"161","deep"
"162","cuts"
"163","despite"
"164","fact"
"165","that"
"166","increases"
"167","over"
"168","last"
"169","decade"
"170","are"
"171","far"
"172","in"
"173","excess"
"174","of"
"175","inflation"
"176","and"
"177","population"
"178","growth"
"179","chemical"
"180","industry"
"181","represents"
"182","a"
"183","convenient"
"184","target"
"185","for"
"186","new"
"187","taxes"
"188","with"
"189","several"
"190","proposals"
"191","aimed"
"192","at"
"193","broadening"
"194","the"
"195","sales"
"196","tax"
"197","base"
"198","to"
"199","include"
"200","energy"
"201","manufacturing"
"202","materials"
"203","contract"
"204","labor"
"205","and"
"206","intrastate"
"207","freight"
"208","texas"
"209","comptroller’s"
"210","proposal"
"211","would"
"212","raise"
"213","chemical"
"214","industry"
"215","taxes"
"216","by"
"217","million"
"218","dollars"
"219","per"
"220","year"
"221","which"
"222","represents"
"223","a"
"224","increase"
"225","in"
"226","state"
"227","taxes"
"228","lobbying"
"229","effort"
"230","has"
"231","been"
"232","effectively"
"233","supported"
"234","by"
"235","tcc"
"236","member"
"237","company"
"238","surveys"
"239","and"
"240","publications"
"241","which"
"242","dramatize"
"243","the"
"244","disastrous"
"245","effect"
"246","such"
"247","actions"
"248","would"
"249","have"
"250","on"
"251","our"
"252","industry"
"253","employment"
"254","and"
"255","the"
"256","states"
