"","dictionary"
"1","communications"
"2","network"
"3","member"
"4","companies"
"5","are"
"6","strongly"
"7","encouraged"
"8","to"
"9","provide"
"10","this"
"11","needed"
"12","support"
"13","the"
"14","state"
"15","advocacy"
"16","program"
"17","including"
"18","the"
"19","new"
"20","cmalinc"
"21","computer"
"22","network"
"23","will"
"24","be"
"25","heavily"
"26","involved"
"27","in"
"28","in"
"29","the"
"30","critical"
"31","environmental"
"32","issues"
"33","identified"
"34","by"
"35","the"
"36","national"
"37","conference"
"38","of"
"39","state"
"40","legislators"
"41","namely"
"42","groundwater"
"43","and"
"44","the"
"45","disposal"
"46","of"
"47","hazardous"
"48","wastes"
"49","of"
"50","course"
"51","other"
"52","issues"
"53","will"
"54","continue"
"55","to"
"56","be"
"57","of"
"58","major"
"59","concern"
"60","such"
"61","as"
"62","state"
"63","superfunds"
"64","which"
"65","are"
"66","currently"
"67","under"
"68","detailed"
"69","study"
"70","by"
"71","the"
"72","cma"
"73","state"
"74","hazardous"
"75","wastegroundwater"
"76","task"
"77","group"
"78","state"
"79","righttoknow"
"80","action"
"81","continues"
"82","to"
"83","grow"
"84","and"
"85","even"
"86","expand"
"87","in"
"88","scope"
"89","new"
"90","jerseys"
"91","toxic"
"92","catastrophe"
"93","prevention"
"94","act"
"95","signed"
"96","in"
"97","early"
"98","january"
"99","not"
"100","only"
"101","requires"
"102","the"
"103","reporting"
"104","of"
"105","information"
"106","concerning"
"107","industrys"
"108","operations"
"109","but"
"110","also"
"111","allows"
"112","the"
"113","state"
"114","to"
"115","order"
"116","risk"
"117","reduction"
"118","measures"
"119","or"
"120","even"
"121","order"
"122","the"
"123","cessation"
"124","of"
"125","operations"
"126","toxic"
"127","air"
"128","will"
"129","become"
"130","even"
"131","more"
"132","important"
"133","at"
"134","the"
"135","state"
"136","level"
"137","as"
"138","federal"
"139","epa"
"140","pushes"
"141","this"
"142","issue"
"143","along"
"144","with"
"145","groundwater"
"146","to"
"147","the"
"148","states"
"149","cmas"
"150","state"
"151","affairs"
"152","program"
"153","has"
"154","been"
"155","an"
"156","active"
"157","participant"
"158","in"
"159","cmas"
"160","development"
"161","of"
"162","an"
"163","air"
"164","toxics"
"165","policy"
"166","a"
"167","new"
"168","but"
"169","rapidly"
"170","growing"
"171","issue"
"172","at"
"173","the"
"174","state"
"175","and"
"176","federal"
"177","level"
"178","is"
"179","liability"
"180","insurance"
"181","and"
"182","the"
"183","related"
"184","issue"
"185","of"
"186","tort"
"187","reform"
"188","cmas"
"189","state"
"190","affairs"
"191","program"
"192","is"
"193","actively"
"194","participating"
"195","in"
"196","a"
"197","large"
"198","coalition"
"199","of"
"200","interested"
"201","trade"
"202","associations"
"203","and"
"204","individual"
"205","companies"
"206","under"
"207","the"
"208","auspices"
"209","of"
"210","the"
"211","american"
"212","legislative"
"213","exchange"
"214","council"
"215","nearly"
"216","all"
"217","states"
"218","are"
"219","involved"
"220","in"
"221","some"
"222","aspect"
"223","of"
"224","this"
"225","issue"
"226","of"
"227","course"
"228","hazardous"
"229","material"
"230","transportation"
"231","public"
"232","compensation"
"233","and"
"234","chronic"
"235","health"
"236","issues"
"237","will"
"238","continue"
"239","to"
"240","be"
"241","active"
"242","issues"
"243","as"
"244","well"
"245","in"
"246","media"
"247","page"
"248","cma"
"249","the"
"250","closing"
"251","months"
"252","of"
"253","saw"
"254","concentrated"
"255","media"
"256","attention"
"257","on"
"258","the"
"259","subject"
"260","of"
"261","air"
"262","toxics"
"263","the"
"264","first"
"265","anniversary"
"266","of"
"267","bhopal"
"268","and"
"269","related"
"270","activities"
"271","of"
"272","environmental"
"273","groups"
"274","the"
"275","epa"
"276","hazardous"
"277","chemicals"
"278","listing"
"279","and"
"280","in"
"281","depth"
"282","media"
"283","analysis"
"284","made"
"285","headlines"
"286","at"
"287","the"
"288","same"
"289","time"
"290","reauthoriation"
"291","of"
"292","superfund"
"293","probably"
"294","gained"
"295","more"
"296","media"
"297","attention"
"298","than"
"299","expected"
"300","primarily"
"301","because"
"302","of"
"303","its"
"304","intrusion"
"305","into"
"306","the"
"307","budget"
"308","reconciliation"
"309","process"
"310","most"
"311","of"
"312","this"
"313","attention"
"314","was"
"315","in"
"316","the"
"317","form"
"318","of"
"319","news"
"320","rather"
"321","than"
"322","editorial"
"323","coverage"
"324","as"
"325","might"
"326","have"
"327","been"
"328","anticipated"
"329","following"
"330","the"
"331","december"
"332","bhopal"
"333","accident"
