"","dictionary"
"1","exhibit"
"2","d"
"3","report"
"4","by"
"5","the"
"6","director"
"7","of"
"8","government"
"9","relations"
"10","william"
"11","m"
"12","stover"
"13","april"
"14","congress"
"15","in"
"16","recess"
"17","but"
"18","activity"
"19","continues"
"20","at"
"21","high"
"22","level"
"23","the"
"24","congress"
"25","is"
"26","currently"
"27","in"
"28","a"
"29","district"
"30","work"
"31","period"
"32","a"
"33","term"
"34","now"
"35","used"
"36","to"
"37","describe"
"38","the"
"39","easter"
"40","recess"
"41","from"
"42","which"
"43","they"
"44","return"
"45","next"
"46","monday"
"47","april"
"48","there"
"49","has"
"50","been"
"51","much"
"52","recent"
"53","activity"
"54","however"
"55","and"
"56","more"
"57","important"
"58","work"
"59","awaits"
"60","the"
"61","taxation"
"62","portion"
"63","of"
"64","the"
"65","presidents"
"66","economic"
"67","stimulus"
"68","program"
"69","has"
"70","been"
"71","approved"
"72","by"
"73","the"
"74","house"
"75","and"
"76","the"
"77","senate"
"78","committee"
"79","version"
"80","is"
"81","now"
"82","ready"
"83","for"
"84","th"
"85","floor"
"86","amendments"
"87","to"
"88","both"
"89","the"
"90","air"
"91","quality"
"92","and"
"93","water"
"94","quality"
"95","laws"
"96","are"
"97","approaching"
"98","the"
"99","latter"
"100","stages"
"101","of"
"102","consideration"
"103","both"
"104","the"
"105","s"
"106","nate"
"107","and"
"108","house"
"109","have"
"110","recently"
"111","approved"
"112","detailed"
"113","codes"
"114","of"
"115","ethics"
"116","govern­"
"117","ing"
"118","the"
"119","conduct"
"120","of"
"121","the"
"122","members"
"123","labor"
"124","has"
"125","sustained"
"126","a"
"127","surprising"
"128","defeat"
"129","in"
"130","house"
"131","rejection"
"132","of"
"133","common"
"134","situs"
"135","picketing"
"136","legislation"
"137","a"
"138","defeat"
"139","which"
"140","raises"
"141","questions"
"142","about"
"143","the"
"144","carter"
"145","administrations"
"146","relationship"
"147","with"
"148","organized"
"149","labor"
"150","and"
"151","prospects"
"152","for"
"153","other"
"154","laborbacked"
"155","bills"
"156","at"
"157","the"
"158","white"
"159","house"
"160","the"
"161","activity"
"162","has"
"163","been"
"164","equally"
"165","intense"
"166","the"
"167","president"
"168","recently"
"169","signed"
"170","into"
"171","law"
"172","the"
"173","government"
"174","reorganiz­"
"175","ation"
"176","bill"
"177","he"
"178","has"
"179","long"
"180","sought"
"181","a"
"182","comprehensive"
"183","administration"
"184","proposal"
"185","on"
"186","election"
"187","reform"
"188","has"
"189","been"
"190","sent"
"191","to"
"192","the"
"193","congress"
"194","in"
"195","the"
"196","near"
"197","future"
"198","mr"
"199","carter"
"200","is"
"201","expected"
"202","to"
"203","send"
"204","three"
"205","more"
"206","major"
"207","messages"
"208","to"
"209","capitol"
"210","hill"
"211","one"
"212","dealing"
"213","with"
"214","inflation"
"215","another"
"216","on"
"217","his"
"218","national"
"219","energy"
"220","program"
"221","and"
"222","a"
"223","third"
"224","on"
"225","the"
"226","environment"
"227","energy"
"228","and"
"229","environmental"
"230","messages"
"231","expected"
"232","soon"
"233","according"
"234","to"
"235","mental"
"236","message"
"237","to"
"238","preliminary"
"239","draft"
"240","public"
"241","the"
"242","final"
"243","the"
"244","original"
"245","timetable"
"246","the"
"247","presidents"
"248","environ­"
"249","congress"
"250","was"
"251","due"
"252","on"
"253","april"
"254","but"
"255","although"
"256","a"
"257","from"
"258","the"
"259","council"
"260","on"
"261","environmental"
"262","quality"
"263","became"
"264","text"
"265","has"
"266","not"
"267","been"
