"","dictionary"
"1","company"
"2","respondents"
"3","out"
"4","of"
"5","us"
"6","cma"
"7","member"
"8","companies"
"9","were"
"10","compared"
"11","on"
"12","a"
"13","cma"
"14","confidential"
"15","basis"
"16","with"
"17","sales"
"18","revenues"
"19","and"
"20","earnings"
"21","of"
"22","those"
"23","companies"
"24","staff"
"25","analyzed"
"26","potential"
"27","ssost"
"28","dry"
"29","weight"
"30","wasteend"
"31","tax"
"32","liability"
"33","of"
"34","cma"
"35","member"
"36","companies"
"37","using"
"38","waste"
"39","disposal"
"40","and"
"41","chemical"
"42","salesprofits"
"43","with"
"44","the"
"45","cma"
"46","wasteend"
"47","tax"
"48","proposal"
"49","as"
"50","the"
"51","tax"
"52","vehicle"
"53","responding"
"54","cma"
"55","member"
"56","company"
"57","impacts"
"58","on"
"59","an"
"60","annual"
"61","basis"
"62","would"
"63","be"
"64","the"
"65","following"
"66","j"
"67","cma"
"68","o"
"69","comparison"
"70","with"
"71","anticipated"
"72","revenues"
"73","w"
"74","expected"
"75","that"
"76","cma"
"77","member"
"78","companies"
"79","would"
"80","pay"
"81","million"
"82","of"
"83","the"
"84","million"
"85","annual"
"86","sst"
"87","dry"
"88","weight"
"89","tax"
"90","members"
"91","in"
"92","the"
"93","respondent"
"94","group"
"95","would"
"96","pay"
"97","million"
"98","or"
"99","percent"
"100","of"
"101","anticipated"
"102","taxes"
"103","for"
"104","the"
"105","entire"
"106","cma"
"107","membership"
"108","o"
"109","concentration"
"110","ten"
"111","of"
"112","respondents"
"113","would"
"114","pay"
"115","million"
"116","of"
"117","the"
"118","million"
"119","total"
"120","o"
"121","economic"
"122","impact"
"123","of"
"124","the"
"125","top"
"126","taxpayers"
"127","two"
"128","lost"
"129","money"
"130","in"
"131","a"
"132","third"
"133","company"
"134","would"
"135","pay"
"136","percent"
"137","of"
"138","earnings"
"139","and"
"140","the"
"141","remaining"
"142","seven"
"143","would"
"144","pay"
"145","to"
"146","percent"
"147","of"
"148","earnings"
"149","none"
"150","of"
"151","those"
"152","taxpayers"
"153","would"
"154","pay"
"155","more"
"156","than"
"157","percent"
"158","of"
"159","sales"
"160","outside"
"161","of"
"162","the"
"163","top"
"164","taxpayers"
"165","none"
"166","of"
"167","the"
"168","remaining"
"169","would"
"170","be"
"171","taxed"
"172","in"
"173","excess"
"174","of"
"175","percent"
"176","of"
"177","earnings"
"178","i"
"179","i"
"180","j"
"181","hr"
"182","wasteend"
"183","tax"
"184","when"
"185","data"
"186","on"
"187","industry"
"188","averages"
"189","are"
"190","used"
"191","it"
"192","appears"
"193","that"
"194","the"
"195","wasteend"
"196","tax"
"197","of"
"198","hr"
"199","could"
"200","cost"
"201","cma"
"202","members"
"203","as"
"204","much"
"205","as"
"206","percent"
"207","of"
"208","cmas"
"209","sst"
"210","proposal"
"211","since"
"212","hr"
"213","would"
"214","tax"
"215","dilute"
"216","streams"
"217","with"
"218","low"
"219","solids"
"220","content"
"221","on"
"222","a"
"223","liquid"
"224","basis"
"225","rather"
"226","than"
"227","a"
"228","dry"
"229","weight"
"230","basis"
"231","the"
"232","to"
"233","metric"
"234","ton"
"235","tax"
"236","on"
"237","the"
"238","liquids"
"239","basis"
"240","could"
"241","be"
"242","as"
"243","much"
"244","as"
"245","to"
"246","st"
"247","on"
"248","a"
"249","dry"
"250","weight"
"251","basis"
"252","companies"
"253","disposing"
"254","of"
"255","streams"
"256","more"
"257","dilute"
"258","than"
"259","average"
"260","would"
"261","of"
"262","course"
"263","pay"
"264","even"
"265","higher"
"266","rates"
"267","and"
"268","be"
"269","penalized"
"270","for"
"271","water"
"272","added"
"273","to"
"274","make"
"275","the"
"276","waste"
"277","disposal"
"278","safer"
"279","and"
"280","improve"
"281","operability"
"282","jobsimportsexportsbalance"
"283","of"
"284","payments"
"285","two"
"286","econometric"
"287","models"
"288","which"
"289","we"
"290","hoped"
"291","to"
"292","adapt"
"293","to"
"294","show"
"295","the"
"296","impact"
"297","of"
"298","higher"
"299","taxes"
"300","on"
"301","petrochemical"
"302","investment"
"303","jobs"
"304","and"
"305","balance"
"306","of"
"307","payments"
"308","were"
"309","found"
"310","to"
"311","be"
"312","not"
"313","sufficiently"
"314","sensitive"
"315","or"
"316","convertible"
"317","on"
"318","a"
"319","timely"
"320","basis"
"321","for"
"322","that"
"323","purpose"
"324","we"
"325","are"
"326","revising"
"327","methodology"
"328","to"
"329","use"
"330","an"
"331","empirical"
"332","approach"
"333","to"
"334","analysis"
"335","of"
"336","past"
"337","data"
"338","to"
"339","develop"
"340","projections"
"341","of"
"342","economic"
"343","impacts"
"344","the"
"345","results"
"346","will"
"347","likely"
"348","rely"
"349","on"
"350","examples"
"351","rather"
"352","than"
"353","completely"
"354","quantitative"
"355","results"
"356","but"
"357","will"
"358","demonstrate"
"359","that"
"360","excessive"
"361","superfund"
"362","taxes"
"363","will"
"364","adversely"
"365","affect"
"366","jobs"
"367","international"
"368","competitiveness"
"369","and"
"370","balance"
"371","of"
"372","payments"
"373","in"
"374","petrochemicals"
"375","action"
"376","required"
"377","ec"
"378","d"
"379","for"
"380","information"
"381","only"
"382","hugh"
"383","irvine"
"384","cma"
"385","exhibit"
"386","e"
"387","report"
"388","on"
"389","public"
"390","compensation"
"391","to"
"392","the"
"393","executive"
"394","committee"
"395","as"
"396","requested"
"397","by"
"398","the"
"399","executive"
"400","committee"
"401","the"
"402","public"
"403","compensation"
"404","task"
"405","group"
"406","has"
"407","continued"
"408","to"
"409","analyze"
"410","various"
"411","issues"
"412","related"
"413","to"
"414","public"
