"","dictionary"
"1","cma"
"2","submitted"
"3","comments"
"4","to"
"5","doe"
"6","on"
"7","the"
"8","ce"
"9","energy"
"10","con­"
"11","servation"
"12","reporting"
"13","program"
"14","recommending"
"15","that"
"16","doe"
"17","not"
"18","make"
"19","technical"
"20","changes"
"21","to"
"22","the"
"23","reporting"
"24","methodology"
"25","that"
"26","would"
"27","be"
"28","costly"
"29","to"
"30","cma"
"31","members"
"32","and"
"33","that"
"34","doe"
"35","delete"
"36","ambiguous"
"37","parts"
"38","of"
"39","the"
"40","report"
"41","reporting"
"42","program"
"43","particidating"
"44","members"
"45","are"
"46","also"
"47","being"
"48","surveyed"
"49","to"
"50","help"
"51","determine"
"52","further"
"53","improvements"
"54","as"
"55","part"
"56","of"
"57","the"
"58","comments"
"59","to"
"60","the"
"61","omb"
"62","on"
"63","paperwork"
"64","reduction"
"65","cma"
"66","also"
"67","recommended"
"68","that"
"69","new"
"70","data"
"71","collection"
"72","initiatives"
"73","he"
"74","subject"
"75","to"
"76","a"
"77","public"
"78","hearing"
"79","process"
"80","and"
"81","that"
"82","survey"
"83","respondents"
"84","be"
"85","permitted"
"86","the"
"87","option"
"88","of"
"89","reporting"
"90","through"
"91","a"
"92","trade"
"93","association"
"94","to"
"95","assure"
"96","greater"
"97","confiden­"
"98","tiality"
"99","protection"
"100","national"
"101","l"
"102","i"
"103","i"
"104","i"
"105","i"
"106","electrical"
"107","coda"
"108","the"
"109","engineering"
"110","advisory"
"111","committee"
"112","eac"
"113","submitted"
"114","comments"
"115","on"
"116","preprinting"
"117","the"
"118","national"
"119","electrical"
"120","code"
"121","american"
"122","national"
"123","standards"
"124","eac"
"125","voted"
"126","on"
"127","eight"
"128","standards"
"129","american"
"130","national"
"131","standards"
"132","proposed"
"133","for"
"134","adoption"
"135","as"
"136","nfpa"
"137","standards"
"138","council"
"139","cma"
"140","asked"
"141","the"
"142","nfpa"
"143","standards"
"144","council"
"145","to"
"146","return"
"147","proposed"
"148","cogeneration"
"149","requirements"
"150","to"
"151","committee"
"152","because"
"153","of"
"154","the"
"155","needless"
"156","heavy"
"157","expense"
"158","to"
"159","industrv"
"160","iso"
"161","pump"
"162","standards"
"163","eac"
"164","submitted"
"165","cma"
"166","views"
"167","on"
"168","iso"
"169","chemical"
"170","pump"
"171","standardiza­"
"172","tion"
"173","to"
"174","the"
"175","ns"
"176","technical"
"177","advisory"
"178","group"
"179","wealth"
"180","safety"
"181","and"
"182","chemical"
"183","regulations"
"184","pmn"
"185","exemption"
"186","rules"
"187","clay"
"188","and"
"189","b"
"190","klein"
"191","to"
"192","express"
"193","cmas"
"194","concern"
"195","regarding"
"196","the"
"197","proposed"
"198","pmn"
"199","exemption"
"200","rules"
"201","specific­"
"202","ally"
"203","cma"
"204","believes"
"205","the"
"206","polymer"
"207","proposal"
"208","is"
"209","so"
"210","burdensome"
"211","few"
"212","companies"
"213","will"
"214","use"
"215","it"
"216","on"
"217","october"
"218","cma"
"219","filed"
"220","comments"
"221","on"
"222","these"
"223","proposed"
"224","rules"
"225","cma"
"226","informed"
"227","epa"
"228","that"
"229","the"
"230","lowvolume"
"231","chemical"
"232","sitelimited"
"233","intermediates"
"234","proposal"
"235","would"
"236","benefit"
"237","the"
"238","industry"
"239","i"
"240","cma"
"241","the"
"242","association"
"243","proposed"
"244","a"
"245","clarification"
"246","of"
"247","the"
"248","industry"
"249","qualified"
"250","experts"
"251","role"
"252","cma"
"253","offered"
"254","major"
"255","modifications"
"256","to"
"257","the"
"258","polymer"
"259","proposal"
"260","the"
"261","association"
"262","commented"
"263","that"
"264","new"
"265","polymer"
"266","materials"
"267","should"
"268","be"
"269","exempt"
"270","from"
"271","the"
"272","full"
"273","pmn"
"274","process"
"275","according"
"276","to"
"277","broad"
"278","categories"
"279","based"
"280","on"
"281","average"
"282","molecular"
"283","weight"
"284","crac"
"285","developed"
"286","a"
"287","comprehensive"
"288","plan"
"289","to"
"290","portray"
"291","the"
"292","bene­"
"293","fits"
"294","of"
"295","the"
"296","proposed"
"297","pmn"
"298","exemption"
"299","rules"
"300","to"
"301","various"
"302","audi­"
"303","ences"
"304","these"
"305","audiences"
"306","could"
"307","affect"
"308","the"
"309","outcome"
"310","of"
"311","the"
"312","final"
"313","rules"
"314","the"
"315","campaign"
"316","includes"
"317","meetings"
"318","with"
"319","the"
"320","press"
"321","and"
"322","distributing"
"323","a"
"324","comprehensive"
"325","information"
"326","pack­"
"327","age"
"328","to"
"329","congress"
"330","trade"
"331","associations"
"332","and"
"333","the"
"334","press"
"335","on"
"336","november"
"337","cma"
"338","participated"
"339","in"
"340","epas"
"341","public"
"342","hearing"
"343","regarding"
"344","the"
"345","proposed"
"346","pmn"
"347","exemption"
"348","rules"
"349","crac"
"350","chairman"
"351","was"
"352","the"
"353","spokesman"
"354","cma"
"355","emphasized"
"356","the"
"357","points"
"358","made"
"359","in"
"360","its"
"361","comments"
"362","and"
"363","addressed"
"364","specific"
"365","con­"
"366","cerns"
"367","raised"
"368","by"
"369","the"
"370","natural"
"371","resources"
"372","defense"
"373","council"
"374","and"
"375","other"
"376","interested"
"377","groups"
"378","on"
"379","november"
"380","cma"
"381","filed"
"382","comments"
"383","responding"
"384","to"
"385","specific"
"386","epa"
"387","questions"
"388","and"
"389","assertions"
"390","made"
"391","by"
"392","public"
"393","interest"
"394","groups"
"395","at"
"396","the"
"397","november"
"398","epa"
"399","public"
"400","hearing"
"401","in"
"402","these"
"403","comments"
"404","cma"
"405","provided"
"406","further"
"407","justification"
"408","for"
"409","relaxing"
"410","the"
"411","burdensome"
"412","pmn"
"413","exemption"
