"","dictionary"
"1","exhibit"
"2","f"
"3","report"
"4","by"
"5","the"
"6","director"
"7","of"
"8","government"
"9","relations"
"10","william"
"11","m"
"12","stover"
"13","november"
"14","awsttess"
"15","left"
"16","unfinished"
"17","business"
"18","the"
"19","second"
"20","session"
"21","of"
"22","the"
"23","th"
"24","congress"
"25","came"
"26","to"
"27","an"
"28","end"
"29","in"
"30","the"
"31","early"
"32","morning"
"33","hours"
"34","of"
"35","october"
"36","its"
"37","day"
"38","duration"
"39","making"
"40","it"
"41","the"
"42","second"
"43","shortest"
"44","congressional"
"45","session"
"46","since"
"47","of"
"48","the"
"49","more"
"50","than"
"51","bills"
"52","introduced"
"53","only"
"54","about"
"55","survived"
"56","to"
"57","final"
"58","enactment"
"59","fifteen"
"60","bills"
"61","were"
"62","vetoed"
"63","and"
"64","four"
"65","vetoes"
"66","were"
"67","overridden"
"68","during"
"69","the"
"70","second"
"71","session"
"72","the"
"73","senate"
"74","took"
"75","recorded"
"76","votes"
"77","and"
"78","the"
"79","house"
"80","the"
"81","total"
"82","of"
"83","being"
"84","a"
"85","new"
"86","record"
"87","amid"
"88","the"
"89","frantic"
"90","flurry"
"91","of"
"92","lastminute"
"93","activity"
"94","brills"
"95","of"
"96","significance"
"97","were"
"98","moved"
"99","on"
"100","toward"
"101","enactment"
"102","congress"
"103","also"
"104","left"
"105","behind"
"106","some"
"107","unfinished"
"108","business"
"109","in"
"110","bills"
"111","not"
"112","completed"
"113","bills"
"114","which"
"115","are"
"116","sure"
"117","to"
"118","reappear"
"119","one"
"120","form"
"121","or"
"122","another"
"123","a"
"124","number"
"125","of"
"126","but"
"127","the"
"128","th"
"129","the"
"130","form"
"131","of"
"132","next"
"133","year"
"134","in"
"135","among"
"136","the"
"137","important"
"138","new"
"139","laws"
"140","written"
"141","during"
"142","the"
"143","closing"
"144","days"
"145","were"
"146","the"
"147","toxic"
"148","substances"
"149","control"
"150","act"
"151","pl"
"152","finally"
"153","became"
"154","law"
"155","after"
"156","five"
"157","years"
"158","of"
"159","deliberation"
"160","and"
"161","controversy"
"162","thus"
"163","establishing"
"164","federal"
"165","controls"
"166","over"
"167","the"
"168","manufacture"
"169","distribution"
"170","and"
"171","use"
"172","of"
"173","chemicals"
"174","antitrust"
"175","enforcement"
"176","pl"
"177","survived"
"178","two"
"179","senate"
"180","fili­"
"181","busters"
"182","and"
"183","lastditch"
"184","house"
"185","opposition"
"186","authorizes"
"187","states"
"188","attorneys"
"189","general"
"190","to"
"191","bring"
"192","class"
"193","action"
"194","type"
"195","suits"
"196","on"
"197","behalf"
"198","of"
"199","citizens"
"200","requires"
"201","large"
"202","companies"
"203","to"
"204","notify"
"205","government"
"206","of"
"207","planned"
"208","mergers"
"209","strengthens"
"210","federal"
"211","antitrust"
"212","investigatory"
"213","powers"
"214","k"
"215","v"
"216","tax"
"217","revision"
"218","pl"
"219","was"
"220","the"
"221","product"
"222","of"
"223","three"
"224","years"
"225","work"
"226","but"
"227","fell"
"228","far"
"229","short"
"230","of"
"231","reforms"
"232","promised"
"233","by"
"234","democratic"
"235","congressional"
"236","leaders"
"237","plans"
"238","for"
"239","major"
"240","overhaul"
"241","of"
"242","taxation"
"243","of"
"244","us"
"245","multinational"
"246","corporations"
"247","were"
"248","dropped"
"249","from"
"250","the"
"251","bill"
"252","which"
"253","in"
"254","final"
"255","form"
"256","extended"
"257","the"
"258","investment"
"259","tax"
"260","credit"
"261","for"
"262","another"
"263","four"
"264","years"
"265","increased"
"266","the"
"267","minimum"
"268","tax"
"269","for"
"270","business"
"271","and"
"272","altered"
"273","somewhat"
"274","the"
"275","rules"
"276","for"
"277","corporate"
"278","foreign"
"279","tax"
"280","credits"
"281","cma"
"282","expands"
"283","federal"
"284","and"
"285","state"
"286","programs"
"287","with"
"288","new"
"289","authorizations"
"290","and"
"291","powers"
"292","for"
"293","epa"
"294","a"
"295","federal"
"296","regulatory"
"297","program"
"298","for"
"299","hazardous"
"300","wastes"
"301","a"
"302","ban"
"303","on"
"304","open"
"305","dumping"
"306","within"
"307","five"
"308","years"
"309","and"
"310","authorizations"
"311","for"
"312","state"
"313","and"
"314","local"
"315","solid"
"316","waste"
"317","management"
"318","and"
"319","research"
"320","programs"
"321","however"
"322","electionyear"
"323","jitters"
"324","veto"
"325","threats"
"326","internal"
"327","squabbles"
"328","and"
"329","the"
"330","pressure"
"331","of"
"332","an"
"333","abbreviated"
"334","congressional"
"335","session"
"336","combined"
"337","to"
"338","forestall"
"339","enactment"
"340","of"
"341","a"
"342","number"
"343","of"
"344","other"
"345","proposals"
"346","virtually"
"347","all"
"348","of"
